COGID	dutch	english	french	german
1469-1	z ɛ n d ə			
2047-1	z oː n			
2054-1	d oː n ə r			
1375-1	l ɛɪ t			
760-1	w ɪ n t			
756-1	s n aː n			
726-1	m uː d ə r			
1351-1	x r oː s + v aː d ə r			
1353-1	x r uː s + m uː d ə r			
412-1	s w eː ɣ ə r + w aː d ə r			
406-1	s x w eː ɣ ə r + m uː d ə r			
1005-1	s t eː v + v aː d ə r			
1012-1	s t eː v + m uː d ə r			
1016-1	w ɪ t w ə r			
1069-1	ɪ			
509-1	v ʉ l ə			
693-1	m ɑu w ə l + d iː r			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r n			
2241-1	n aː v ə r + z ə			
2244-1	l ɛɪ p			
610-1	iː n			
945-1	h ɛ r t			
1534-1	l iː k			
384-1	s ɔ k			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z aː n			
1385-1	v ə r + z aː t			
792-1	j ɔ k			
1111-1	m ɛ s t			
197-1	v ə r + z øː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ t ə			
2017-1	j ɛɪ n			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h iː l			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z iː			
1832-1	r ɑu w			
-1816-1	oː t aː aː n			
-335-1	l ɑ ɣ uː n ə			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r aː n + b aː n			
1368-1	s ɑ t ə			
1365-1	t ɑu w			
754-1	r aː n			
768-1	w eː d ə r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b aː j b ɛɪ			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	ɛ n t			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə r + z ɔ n			
402-1	z w eː ɣ ə r + t ɔ k t ə r			
1014-1	s t ɛ p + d ɔ t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	s ɔ k			
2199-1	k ɑ l f			
2197-1	s aː v			
1523-1	z aː n			
1521-1	b ɔ k			
512-1	m aː r ə			
2141-1	h uː n			
2147-1	x ɑ n t			
814-1	k r aː n			
