COGID	dutch	english	french	german
993	x l ɑ s	ɡ l ɑː s		ɡ l aː s
-2121	r ɔ l ə	r əʊ l		r ɔ l ə n
1692	v ɑ l ə	f ɔː l		f a l ə n
1694	d r ʉ p ə l ə	d r ɪ p		t r ɔ pf ə n
1062	z ɪ ŋ k ə	s ɪ ŋ k		z ɛ ŋ k ə n
476	z w ɛ m ə	s w ɪ m		ʃ v ɪ m ə n
1051	v l iː ɣ ə	f l aɪ		f l iː ɡ ə n
1075	b l aː z ə	b l əʊ		b l aː z ə n
135	x l ɛɪ d ə	s l aɪ d		ɡ l ai t ə n
-134	d ɑ n s ə	d ɑː n s		t a n ts ə n
1839	w ɛ + ɣ aː n	ɡ əʊ + aʊ t		au s + ɡ eː ə n
1097	t ə r ʉ x + k oː m ə	k ʌ m + b æ k		ts uː r ʏ k + k ɔ m ə n
1777	v ɔ l ɣ ə	f ɔ l əʊ		f ɔ l ɡ ə n
1434	b r ɛ ŋ ə	b r ɪ ŋ		b r ɪ ŋ ə n
1417	l ɛɪ d ə	l iː d		l ai t ə n
1424	r ɛɪ d ə	r aɪ d		r ai t ə n
778	p ɑ t	p ɑː θ		pf aː t
790	b r ʉ x	b r ɪ dʒ		b r ʏ k ə
1223	p ɛ d ə l	p æ d l̩		p a d ə l
1117	z ɛɪ l	s eɪ l		z eː ɡ ə l
1411	h ɛ b ə	h æ v		h aː b ə n
1407	v ɑ s t + h ɑu d ə	h əʊ l d		h a l t ə n
1390	d ɪ ŋ	θ ɪ ŋ		d ɪ ŋ
2086	x eː v ə	ɡ ɪ v		ɡ eː b ə n
2082	t ə r ʉ + ɣ eː v ə	ɡ ɪ v + b æ k		ts uː r ʏ k + ɡ eː b ə n
576	z uː k ə	s iː k		z uː x ə n
579	v ɪ n d ə	f aɪ n d		f ɪ n d ə n
581	v ə r + l iː z ə	l uː z		f ɛ r + l iː r ə n
-1791	r ɛɪ k	r ɪ tʃ		r ai x
-225	p r ɛɪ s	p r aɪ s		p r ai s
-2284	p l aː ts	p l eɪ s		p l a ts
1479	oː p ə n ə	əʊ p ə n		œ f n ə n
847	h oː x	h aɪ		h oː x
659	b oː d ə m	b ɔ t ə m		b oː d ə n
860	m ɪ d ə	m ɪ d l̩		m ɪ t ə
213	r ɛ x ts	r aɪ t		r ɛ x t
1286	v ɛ r	f ɑː r		f ɛ r n
1293	w ɛ s t ə	w ɛ s t		v ɛ s t ə n
474	d ɪ k	θ ɪ k		d ɪ k
467	d ʉ n	θ ɪ n		d ʏ n
1177	d iː p	d iː p		t iː f
588	v l ɑ k		p l a	f l a x
584	h aː k	h ʊ k		h aː k ə n
-1153	r ɔ n t	r aʊ n d		r ʊ n t
700	t w aː l f	t w ɛ l v		ts v œ l f
875	d œy z ə n t	θ aʊ z n̩ d		t au z ə n t
1559	ɑ l ə	ɔː l		a l ə
1565	m eː r	m ɔː r		m eː r
1968	h ɛ l f t	h ɑː f		h ɛ l f t ə
-350	p aː r	p ɛ ə r		p aː r
1478	b oː d ə m			b oː d ə n
