COGID	dutch	english	french	german
1469-1	ʃ Ø Ø x			
2047-1	ʃ Ø x x x			
2054-1	x Ø n Ø Ø Ø			
1375-1	l Ø x Ø x x x			
760-1	Ø Ø Ø Ø			
756-1	Ø n Ø Ø			
726-1	m Ø pf ɛ Ø			
1351-1	Ø Ø Ø Ø Ø Ø Ø pf ɛ Ø			
1353-1	Ø Ø Ø Ø m Ø pf ɛ Ø			
412-1	x x x x x x x Ø Ø pf ɛ Ø + Ø Ø + Ø Ø			
406-1	x x x x x x x m Ø pf ɛ Ø + Ø Ø + Ø Ø			
1005-1	Ø s Ø Ø x Ø Ø pf ɛ Ø			
1012-1	Ø Ø ɛː x m Ø pf ɛ Ø			
1016-1	Ø ʊ Ø Ø x ɛ Ø			
1069-1	Ø Ø x			
509-1	Ø Ø l Ø x			
693-1	m j Ø l x x x x x			
2179-1	n Ø Ø s			
1753-1	x Ø Ø Ø Ø			
1131-1	Ø Ø l Ø x			
1198-1	b Ø ɛ Ø x			
2032-1	Ø Ø Ø n			
2241-1	n Ø Ø x			
2244-1	l Ø Ø x x			
610-1	Ø x n Ø			
945-1	Ø Ø Ø x			
1534-1	l Ø Ø x x			
384-1	ʃ Ø Ø x x			
1650-1	n x Ø s			
1663-1	ʃ Ø l s			
2279-1	l ʊ Ø Ø Ø			
471-1	ʃ Ø x x x			
1385-1	ʃ ai x x Ø			
792-1	Ø Ø Ø			
1111-1	m Ø Ø s			
197-1	ʃ Ø x x x			
2020-1	l ə Ø			
867-1	Ø Ø Ø Ø x Ø ɛ Ø			
1970-1	Ø Ø l Ø			
1230-1	x x x Ø Ø x x x			
2017-1	n x j Ø			
968-1	n Ø l t			
1674-1	l Ø n t			
1671-1	h ʊ Ø Ø l			
829-1	x l ʊ f Ø			
1025-1	n Ø t ɛ r			
1027-1	ʃ ai			
1832-1	r Ø f			
-1816-1	Ø Ø Ø Ø Ø			
-335-1	l ɛ Ø ʊ n Ø			
1043-1	ʃ t r ai m			
423-1	ʃ t Ø n			
2049-1	m ʊ n Ø			
2062-1	ʃ t Ø Ø m			
2065-1	r Ø Ø Ø n + b Ø Ø Ø Ø			
1368-1	Ø Ø t Ø Ø			
1365-1	t Ø ʊ			
754-1	r Ø Ø Ø n			
768-1	n ɛ Ø ɛ r			
1211-1	f Ø ɛ r			
106-1	m Ø n			
-98-1	b Ø b ʊ			
719-1	f Ø Ø ɛ r			
1341-1	ʃ Ø n			
-2027-1	Ø Ø n t Ø			
-2026-1	n ɛ v Ø ʊ			
409-1	ʃ Ø Ø Ø Ø n + Ø ʊ n + l Ø			
402-1	Ø Ø Ø Ø Ø Ø Ø t Ø Ø t ɛ r + ʊ n + l Ø			
1014-1	ʃ t ɛ pf + t Ø Ø t ɛ r			
1059-1	n ai Ø			
120-1	ʃ t Ø l			
2183-1	pf t Ø Ø			
2194-1	ə x ʃ Ø			
2199-1	x Ø Ø f			
2197-1	Ø ai pf			
1523-1	ʃ Ø			
1521-1	b Ø x			
512-1	m Ø r Ø			
2141-1	h ɛ n			
2147-1	Ø ʊ Ø ʃ			
814-1	x r Ø Ø			
810-1	t Ø v Ø			
1755-1	Ø Ø Ø pf pf			
1758-1	m Ø z			
1760-1	Ø Ø s			
1620-1	f ʊ n Ø			
1282-1	n Ø l			
1136-1	f ə x ʃ			
1309-1	l Ø ʃ			
1307-1	n ʊ t Ø			
1305-1	f l ai			
711-1	n ə ʃ pf Ø			
1442-1	f l Ø Ø Ø			
62-1	m ʊ Ø Ø			
-73-1	m ɛ ʃ x ai t Ø			
1810-1	h Ø t			
1805-1	f l ɛ Ø			
1813-1	h ɛ ɛ r			
1811-1	b l Ø t			
690-1	r ʊ b Ø			
2177-1	h ɛ Ø t			
246-1	Ø Ø Ø Ø + b r Ø Ø			
