COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n			
2054-1	d ɔ n t ə r			
1375-1	l ɛɪ t			
760-1	w ɪ n t			
756-1	s n ə			
726-1	m uː d ə r			
1351-1	x r øː s + v aː d ə r			
1353-1	x r øː s + m uː d ə r			
412-1	s x oː n ə r + v aː d ə r			
406-1	z w iː ɣ ə r + m uː d ə r			
1005-1	s t iː v + v aː d ə r			
1012-1	s t iː v + m uː d ə r			
1016-1	w ɪ t w ə r			
1069-1	ɛɪ			
509-1	v ɔ l ə			
693-1	m œy l + t iː r			
2179-1	n eː s t			
1753-1	v ɪ s			
1131-1	l ɔ			
1198-1	b aː r t			
2032-1	h ɑ n			
2241-1	n aː z ə			
2244-1	l ɪ p			
610-1	n eː			
945-1	h ɑ t			
1534-1	l eː k ə			
384-1	s ɔ k			
1650-1	n ɔ t			
1663-1	ə l			
2279-1	l ɛɪ n ə			
471-1	z øː x			
1385-1	z ɛɪ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɔ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	n ɑu w			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɔ x t ə r			
1027-1	z eː			
1832-1	r ɑu w			
-1816-1	oː t eː aː n			
-335-1	l ɑ x uː n ə			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		θ aʊ n d ə r		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n eɪ		
726-2		m aʊ ð ə r		
1351-2		ɡ r ɛ d + f ɑː ð ə r		
1353-2		ɡ r ɛ d + m æ d ə r		
412-2		ʃ ʌ n + f ɑː ð ə r		
406-2		ʃ ʌ n + m æ d ə r		
1005-2		s t ɛ p + f ɑː d ə r		
1012-2		s t ɛ p + m ʌ t ə r		
1016-2		w ɪ t w ə r		
1069-2		ɪ k		
509-2		f ɔː l		
693-2		m iː l d ə r		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ɔ l f		
1198-2		b ɑː d		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h æ r t		
1534-2		l ɪ k		
384-2		s aɪ		
1650-2		n ɔ t		
1663-2		s əʊ l d		
2279-2		l ɪ n		
471-2		s eɪ ə		
1385-2		s eɪ d		
792-2		ʌ ʒ		
1111-2		m ɑː s t		
197-2		s ʌ d		
2020-2		l æ ŋ		
867-2		h ʌ n d ə r t		
1970-2		f ɔ l		
1230-2		d r ɪ d l̩		
2017-2		n eɪ		
968-2		w ɛ l d		
1674-2		l ɑː n t		
1671-2		h ɪ v ə l		
829-2		k l ɪ v		
1025-2		w ɛ t ə r		
1027-2		s ɪ		
1832-2		r aʊ		
-1816-2		iː t ɪ ɑː n		
-335-2		l æ ɡ ʌ n		
1043-2		s t r iː m		
1469-3			z ʃ t	
2047-3			z u ʀ ɛ ʀ	
2054-3			d u ʀ ɛ ʀ	
1375-3			l e aɪ t	
760-3			ɡ ɪ t	
756-3			o ʀ p	
726-3			s ɑ̃ t ɛ ʀ	
1351-3			a ʀ v s + f aː t ɛ ʀ	
1353-3			a ʀ v s + s ɑ̃ t ɛ ʀ	
412-3			ɡ o ɔ a ʀ + f aː t ɛ ʀ	
406-3			ɡ o ɔ a ʀ + s ɑ̃ t ɛ ʀ	
1005-3			t ɔ o f + f aː t ɛ ʀ	
1012-3			t ɔ o f + s ɑ̃ t ɛ ʀ	
1016-3			ɡ ɪ t ɡ ɛ ʀ	
1069-3			aɪ	
509-3			p øː l e	
693-3			m j ɔ l e	
2179-3			n y ɛ ʀ	
1753-3			p ɪ ɛ	
1131-3			w u l f	
1198-3			b aː t ʀ	
2032-3			ʃ u ʀ y	
2241-3			n øː ɛ	
2244-3			l e i p	
610-3			k n t	
945-3			ʃ r ʀ a	
1534-3			l e i k	
384-3			ʀ u k	
1650-3			n u t	
1663-3			ʀ ɔː l e t	
2279-3			ɪ n s ɛ l	
471-3			əʊ ʀ	
1385-3			t z aː	
792-3			e a b k	
1111-3			m ɛ ʀ a	
197-3			ʀ aʊ θ	
2020-3			ŋ l	
867-3			ʃ s ʀ d ɛ t ʀ	
1970-3			p u l	
1230-3			d ʀ ɪ t ɛ ʀ	
2017-3			ɔy ʀ	
1469-4				z a n t
2047-4				z ʊ n ə n
2054-4				d ʊ n t ə r
1375-4				l ai t ə n
760-4				v ɪ n t
756-4				ʃ n ə n
726-4				m ʊ t ə r
1351-4				k r oː t + p aː t ə r
1353-4				ɡ r oː t ə r + m ʊ t ə r
412-4				ʃ v iː ɡ ə + f aː t ə r
406-4				ʃ oː n + m ʊ t ə r
1005-4				ʃ t iː f ə n + f aː t ə r
1012-4				ʃ t iː f + m yː d ə r
1016-4				v ɪ t ə n ə r
1069-4				ɪ k
509-4				f ɔ l ə n
693-4				m ə l
2179-4				n ɛ s t ə n
1753-4				f ɪ s
1131-4				v ɔ l f
1198-4				b eː r t
2032-4				h a n
2241-4				n aː s
2244-4				l ɪ p ə
610-4				n aː
945-4				h aː t ə n
1534-4				l ʊ k ə n
384-4				z au ɡ ə n
1650-4				n oː t
1663-4				a k s ə l ə
2279-4				l ɪ n ə n
471-4				z ə n
1385-4				z ai t ə n
792-4				j ʊ k ə n
1111-4				m a s t
197-4				z au d ə n
2020-4				l a ŋ ə
867-4				ʊ m
1970-4				f ɔ l ə
1230-4				d ɛ r d ə n
2017-4				n ə
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h ʏ f ə l
829-4				k l ɪ f t
1025-4				v aː t ə r
1027-4				z iː
1832-4				r ʊ f
-1816-4				a ʃ ə n
-335-4				l aː ɡ ə n ə n
1043-4				ʃ t r ɔy m ə n
