COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z oː n			
2054-1	d aː n			
1375-1	l eː t ə			
760-1	w ɪ n d ə			
756-1	z oː n			
726-1	m øː d ə r			
1351-1	k l ɛɪ n + z oː x			
1353-1	k l ɛɪ n + d oː x			
412-1	v ɑ d ə l			
406-1	m oː d ə r + m uː n			
1005-1	s t eː d ə l			
1012-1	s t eː d ə l			
1016-1	w eː r			
1069-1	w ɛɪ			
509-1	v ɑ l			
693-1	m aː l + t ɛɪ			
2179-1	n eː t ə			
1753-1	v ɪ l			
1131-1	w oː l f			
1198-1	b eː d ə			
2032-1	h aː n			
2241-1	n aː j			
2244-1	l ɛɪ m			
610-1	n aː k			
945-1	h aː t ə			
1534-1	l eː k			
384-1	z øː x			
1650-1	n aː t ə			
1663-1	s p yː ɣ ə			
2279-1	l eː n			
471-1	z uː k ə			
1385-1	z ɛɪ t			
792-1	j ɔ x			
1111-1	m ɑ s			
197-1	s t eː n			
2020-1	l ɑ n s			
867-1	h oː d ə			
1970-1	v ɔ l			
1230-1	d eː n			
2017-1	n eː n			
968-1	w aː l t			
1674-1	l ɑ n s			
1671-1	h oː x			
829-1	k l ɪ f			
1025-1	w eː r			
1027-1	z ɛɪ			
1832-1	r oː + ɣ aː f			
-1816-1	h oː p			
-335-1	l aː n			
1043-1	s t eː r			
1469-2		s æ n d		
2047-2		s aʊ		
2054-2		d ɑː n s		
1375-2		l iː d		
760-2		s ɛ n d		
756-2		s n eɪ		
726-2		m uː		
1351-2		ɡ r ɑː k		
1353-2		ɡ r ɪ d		
412-2		s p ɪ d		
406-2		s ʌ n + l ɔː		
1005-2		s t eɪ d		
1012-2		s t + m ɪ d		
1016-2		w ə n d		
1069-2		b ɪ k		
509-2		f iː l		
693-2		m aʊ z n̩		
2179-2		n iː t		
1753-2		f aɪ		
1131-2		w ɔ l		
1198-2		b r ɛ b		
2032-2		h ɛ n		
2241-2		b ɪ n		
2244-2		l iː f		
610-2		k ʌ p		
945-2		h æ t		
1534-2		l uː		
384-2		s aɪ		
1650-2		n eɪ		
1663-2		s n eɪ		
2279-2		l aɪ n		
471-2		s iː		
1385-2		s eɪ d		
792-2		s ɪ k		
1111-2		m æ d		
197-2		s aɪ d		
2020-2		l iː ŋ		
867-2		h aɪ n d		
1970-2		f ɔ l əʊ		
1230-2		d ɑː b		
2017-2		n æ n ɪ		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h iː		
829-2		k l aɪ		
1025-2		w aɪ		
1027-2		s aɪ		
1832-2		r aɪ		
-1816-2		s ɪ n		
-335-2		l æ n		
1043-2		s t r aʊ m		
1469-3			n y k	
2047-3			ʀ u t	
2054-3			t ɔ ʀ o	
1375-3			p ə l e	
760-3			t ɑ̃	
756-3			n y k	
726-3			p ə l e	
1351-3			f ʀ i ʀ	
1353-3			f ʀ i ʀ	
412-3			e t a b l	
406-3			e t a b l	
1005-3			ʀ ɔ t i ʀ	
1012-3			e t a b l	
1016-3			t ɔ ʀ o	
1069-3			p b ʀ	
509-3			f ʀ i ʀ	
693-3			p ə l e	
2179-3			n y k	
1753-3			p l a	
1131-3			p l a	
1198-3			b u k	
2032-3			ʃ j ɛ̃	
2241-3			n y k	
2244-3			p ə l e	
610-3			n y k	
945-3			k u p	
1534-3			p l a	
384-3			ʀ u t	
1650-3			n y k	
1663-3			k u p	
2279-3			f ʀ i ʀ	
471-3			ʀ i k	
1385-3			p l a	
792-3			k u p	
1111-3			k u p	
197-3			ʀ i k	
2020-3			k u p	
867-3			t ɑ̃	
1970-3			k u p	
1230-3			ʀ a t	
2017-3			n y k	
1469-4				z a n t
2047-4				z au n
2054-4				d ʊ n d ə r
1375-4				l eː b t
760-4				v ɪ n d ə
756-4				ʃ n iː b ə n
726-4				m ʊ t ə r
1351-4				ɡ r aː s ə n
1353-4				g eː d ə r
412-4				ʃ v iː b ə r
406-4				ʃ au s t ə r
1005-4				ʃ t iː ai ə r
1012-4				ʃ t ai t ə r
1016-4				v ɛ t ə r
1069-4				b ɪ k
509-4				f a l ə n
693-4				m au m ə l n
2179-4				n ɛ s
1753-4				f ɪ m ə
1131-4				v ɔ l
1198-4				b + b r t
2032-4				h au r n ə n
2241-4				n au s
2244-4				l ai f ə
610-4				k n eː ə n
945-4				h a r t
1534-4				l ai k ə
384-4				z oː ɡ ə n
1650-4				n a t ə
1663-4				z a k t
2279-4				l ɪ n ə n
471-4				z a f ə n
1385-4				z ɛ t
792-4				j a k ə
1111-4				m a f t
197-4				z au
2020-4				l a m
867-4				h oː n d ə n
1970-4				f ɔ l ə
1230-4				t ɛ r
2017-4				n a n ə
968-4				v ɛ r l t
1674-4				l a n t
1671-4				h ʏ f t ə
829-4				k l ai b
1025-4				v a t ə r
1027-4				z ai
1832-4				r au t
-1816-4				au s + ɡ eː ə n
-335-4				l ai n + ɡ ə n
1043-4				ʃ t r oː m
