COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z ɛɪ n			
2054-1	d n d ə r			
1375-1	l aː n			
760-1	w eː t			
756-1	s n eː			
726-1	m eː b ə r			
1351-1	s eː r t			
1353-1	d ɑ s t			
412-1	m ɛ l ɛɪ			
406-1	m eː l ɛɪ			
1005-1	s b oː r			
1012-1	s p aː r			
1016-1	w aː t			
1069-1	b ɑ s			
509-1	v oː l ə			
693-1	m aː l			
2179-1	n eː t			
1753-1	v ɔ s			
1131-1	w ɔ l			
1198-1	b aː d ə			
2032-1	h aː n			
2241-1	n aː n			
2244-1	l aː n			
610-1	b iː m			
945-1	h aː d ə			
1534-1	l eː k			
384-1	s aː k			
1650-1	n aː n			
1663-1	s aː l t			
2279-1	l ɛɪ n			
471-1	s aː n			
1385-1	z uː t			
792-1	h aː k			
1111-1	m ɑ s t			
197-1	s ɑ n t			
2020-1	l aː n			
867-1	h oː n d ə r			
1970-1	v oː l			
1230-1	d aː d ə			
2017-1	n aː n			
968-1	v ɛ l t			
1674-1	l ɑ n t			
1671-1	h aː l			
829-1	k l aː n			
1025-1	w aː t			
1027-1	b aː m			
1832-1	r aː n			
-1816-1	h aː s			
-335-1	l ɛɪ n			
1043-1	t ɛ b ə m			
423-1	s n ɔ n			
2049-1	m eː n t			
2062-1	s aː m			
2065-1	d iː n			
1368-1	b ɔ t			
1365-1	d aː n			
754-1	r aː n			
768-1	w aː r			
1211-1	v oː r			
106-1	m aː n			
-98-1	b aː n			
719-1	v aː r			
1341-1	s aː n			
-2027-1	d iː n t			
-2026-1	n aː n			
409-1	l ɛɪ n			
402-1	+ l aː z ə			
1014-1	d ɛ n t			
1059-1	w aː m			
120-1	b ɑ l			
2183-1	j l ɑ			
2194-1	b l k			
2199-1	k aː s			
2197-1	b aː p			
1523-1	z ɛɪ			
1521-1	j l ɑ			
512-1	m aː n			
2141-1	h aː n			
2147-1	d iː			
814-1	k aː n			
810-1	d iː s			
1755-1	j l ɑ			
1758-1	m eː d ə r			
1760-1	r aː n			
1620-1	v ɔ n			
1282-1	w aː l			
1136-1	v ɔ k			
1309-1	l ɛɪ s			
1307-1	n aː n t			
1305-1	v l aː x			
711-1	t ɔ p			
1442-1	v l iː x			
62-1	m ɔ k			
-73-1	k uː l			
1810-1	h oː t			
1805-1	v l ɑ s			
1813-1	h aː d ə r			
1811-1	b l ɛɪ t			
690-1	r ɔ x			
2177-1	h ɔ t			
246-1	b oː r			
249-1	s + œy l ɛɪ d ə			
1506-1	n aː l			
2242-1	m ɑ n			
2245-1	t ɔ n			
1196-1	j l ɑ			
2174-1	b l ɛɪ d ə r			
575-1	j l ɑ			
603-1	l aː n			
601-1	h aː n t			
615-1	v aː r			
901-1	k l aː			
608-1	h ɛ t			
596-1	t aː n			
937-1	b r ʉ t			
936-1	n aː			
646-1	l aː d ə			
947-1	l eː r			
1606-1	h oː m			
472-1	s n eː k			
1535-1	w aː n t			
1546-1	s p aː t			
1959-1	s aː p			
694-1	s b iː r			
1961-1	d r aː m			
