COGID	dutch	english	french	german
1469-1	k ɑ n t			
2047-1	s aː n			
2054-1	d œy k ə r			
1375-1	l ɑ t			
760-1	w ɛɪ n t			
756-1	k oː n ə			
726-1	m eː d ə r			
1351-1	k l eː n			
1353-1	k l eː n ə			
412-1	v ɛ l ɪ ŋ ə			
406-1	m ɔ d ə r ə			
1005-1	s t ɪ ŋ ə r			
1012-1	s m eː d ə r			
1016-1	w eː d ə r			
1069-1	eː ɛɪ			
509-1	v ɛ l ə			
693-1	m uː			
2179-1	n eː t ə			
1753-1	v oː l ə			
1131-1	w uː l			
1198-1	b eː d ə			
2032-1	h aː n			
2241-1	n aː k ə			
2244-1	l aː p			
610-1	k n eː			
945-1	h aː j			
1534-1	l aː k			
384-1	z uː k ə			
1650-1	n ɛ k			
1663-1	z eː l t			
2279-1	l ɛɪ n			
471-1	z uː n ə			
1385-1	k oː n t			
792-1	j oː k			
1111-1	m ɑ n t			
197-1	z uː t ə			
2020-1	l ɑ ŋ			
867-1	h oː n ə r			
1970-1	v uː l			
1230-1	d uː n			
2017-1	n aː k			
968-1	w aː l t			
1674-1	l ɑ k t			
1671-1	h iː l			
829-1	k l ɑu w			
1025-1	w eː t ə r			
1027-1	z eː x			
1832-1	r oː x			
-1816-1	eː d ə			
-335-1	l aː n			
1043-1	œy t + r oː m ə			
423-1	œy t ə r			
2049-1	m uː n			
2062-1	s t eː k ə			
2065-1	r ɛ k ə			
1368-1	p ɛ d ə			
1365-1	d uː n			
754-1	r aː n			
768-1	w ɛ d ə r			
1211-1	v ɛ r			
106-1	m ɑ n			
-98-1	b aː j			
719-1	v ɛ l			
1341-1	s aː n			
-2027-1	l aː k t ə			
-2026-1	n aː v ə			
409-1	s n oː m ə l			
402-1	d iː m ə l			
1014-1	s t ɪ d ə r			
1059-1	w eː			
120-1	s t ɛ l ə			
2183-1	j oː l iː			
2194-1	oː k s ə			
2199-1	k ɑu w ə			
2197-1	s ɑ p			
1523-1	z uː n			
1521-1	k oː p			
512-1	m aː j			
2141-1	h ɔ n			
2147-1	x ɑu w ə			
814-1	k r aː x			
810-1	d oː j			
1755-1	k aː j			
1758-1	m uː n ə			
1760-1	r uː t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v oː r k			
1309-1	l uː n			
1307-1	n aː k t			
1305-1	v l uː ɣ ə			
711-1	w ɑ s ə			
1442-1	v l iː ɣ ə			
62-1	m aː x			
-73-1	m aː k t			
1810-1	h oː t			
1805-1	v l eː d ə			
1813-1	h aː j			
1811-1	b l ɔ t			
690-1	r ɑ f			
2177-1	h aː d ə			
246-1	oː r ɔ			
1469-2		s aɪ n		
2047-2		s iː n		
2054-2		d aɪ n d		
1375-2		l iː d		
760-2		w aɪ n		
756-2		s l iː n		
726-2		m aʊ ð		
1351-2		ɡ r æ d n̩		
1353-2		ɡ r ɑː d		
412-2		b w ɛ d + aʊ t		
406-2		b w ɛ d + aʊ t		
1005-2		b w ɛ d + aʊ t		
1012-2		ʃ uː + m eɪ k ə r		
1016-2		d aʊ r ə r		
1069-2		d iː k		
509-2		f iː l		
693-2		m iː l		
2179-2		n aɪ n		
1753-2		f ɪ ɡ		
1131-2		w ɔ l əʊ		
1198-2		b r ɛ d		
2032-2		h eɪ n		
