COGID	dutch	english	french	german
1469-1	s Ø l			
2047-1	s a l l l			
2054-1	t a n l Ø Ø			
1375-1	l Ø ɔ Ø l l l			
760-1	v Ø n l			
756-1	n Ø Ø			
726-1	m Ø l ɛ Ø			
1351-1	x Ø Ø n l Ø Ø l ɛ Ø			
1353-1	x Ø Ø n m Ø l ɛ Ø			
412-1	ɔ ɔ ɔ l ɔ Ø Ø l ɛ Ø ʊ n l l			
406-1	ɔ ɔ ɔ l l m Ø l ɛ Ø ʊ n l l			
1005-1	ts l l Ø Ø l ɛ Ø			
1012-1	ɛ l m Ø l ɛ Ø			
1016-1	v Ø f l ɔ ɛ r			
1069-1	Ø ə ɔ			
509-1	Ø Ø l Ø ɔ			
693-1	m x Ø l l ɔ ɔ ɔ ɔ			
2179-1	n Ø ts			
1753-1	l Ø Ø ʃ Ø			
1131-1	l l l l l			
1198-1	b Ø ɛ Ø			
2032-1	x a Ø n			
2241-1	n Ø z ɔ			
2244-1	l ɪ f l ɔ			
610-1	Ø ə n Ø			
945-1	x Ø Ø ɔ			
1534-1	l Ø x l ɔ			
384-1	s Ø x l ɔ			
1650-1	n l Ø ts			
1663-1	s Ø l ts			
2279-1	l ɪ n ʊ n			
471-1	s Ø l l ɔ			
1385-1	s ai l l ʃ			
792-1	Ø Ø x			
1111-1	m Ø ts			
197-1	s Ø r ɔ ɔ			
2020-1	l ʊ ŋ			
867-1	ʃ Ø n l ɔ r ɛ l			
1970-1	Ø l l Ø			
1230-1	t l l Ø Ø l l l			
2017-1	n l x Ø			
968-1	n Ø l d			
1674-1	l Ø n d			
1671-1	h ɪ Ø Ø l			
829-1	k l ɪ f Ø			
1025-1	n Ø t ɛ r			
1027-1	s iː			
1832-1	r Ø f			
-1816-1	Ø Ø Ø Ø Ø			
-335-1	l ɛ Ø uː n Ø			
1043-1	s t r iː m			
423-1	s t Ø n			
2049-1	m uː n Ø			
2062-1	s t Ø Ø m			
2065-1	r Ø Ø Ø n b Ø Ø Ø Ø			
1368-1	Ø Ø d Ø Ø			
1365-1	d Ø uː			
754-1	r Ø Ø Ø n			
768-1	n ɛ Ø ɛ r			
1211-1	f Ø ɛ r			
106-1	m Ø n			
-98-1	b Ø b ɪ			
719-1	f Ø Ø ɛ r			
1341-1	s Ø n			
-2027-1	Ø Ø n t Ø			
-2026-1	n ɛ f Ø uː			
409-1	s Ø Ø Ø Ø n Ø ɪ n Ø Ø			
402-1	Ø Ø Ø Ø Ø Ø Ø d Ø Ø t ɛ r ɪ n Ø Ø			
1014-1	s t ɛ pf d Ø Ø t ɛ r			
1059-1	n iː Ø			
120-1	s t Ø l			
2183-1	ɛ d oː Ø Ø			
2194-1	ʊ k s Ø			
2199-1	k Ø Ø f			
2197-1	Ø iː pf			
1523-1	s Ø			
1521-1	Ø x			
512-1	m Ø r Ø			
2141-1	h ɛ n			
2147-1	Ø uː Ø s			
814-1	k r Ø Ø			
810-1	d Ø f Ø			
1755-1	ʃ Ø Ø ɛ ɛ			
1758-1	m Ø z			
1760-1	Ø Ø ts			
1620-1	f ɪ n Ø			
1282-1	n Ø l			
1136-1	f ʊ k s			
1309-1	l Ø s			
1307-1	n ɪ t Ø			
1305-1	f l iː			
711-1	n ʊ s pf Ø			
1442-1	f l Ø Ø Ø			
62-1	m ɪ Ø Ø			
-73-1	m ɛ s k iː t Ø			
1810-1	h Ø d			
1805-1	f l ɛ Ø			
1813-1	h ɛ ɛ r			
1811-1	b l Ø d			
690-1	r ɪ b Ø			
2177-1	h ɛ Ø d			
246-1	Ø Ø Ø Ø b r Ø Ø			
249-1	Ø Ø Ø Ø l ɪ d			
1506-1	n ʊ s t r ɛ Ø Ø Ø Ø Ø			
2242-1	m Ø Ø Ø			
2245-1	t Ø ŋ Ø			
1196-1	n Ø x ɛ ɛ			
2174-1	Ø Ø l d ɛ r			
575-1	ɛ ɛ s ɛ l ɛ ɛ ɛ l ɛ			
603-1	ɛ l Ø Ø b Ø Ø Ø Ø			
601-1	h Ø n d			
615-1	f ɪ ŋ Ø ɛ r			
901-1	k l Ø Ø			
608-1	f Ø t			
596-1	t Ø Ø			
937-1	b r ɛ s t			
936-1	n Ø f Ø Ø			
646-1	l Ø ŋ Ø			
947-1	l ɪ f ɛ r			
1606-1	h ɪ pf Ø Ø			
472-1	s n iː z Ø Ø			
1535-1	s n ɛ t Ø Ø			
1546-1	s pf ɪ t Ø Ø			
1959-1	s l iː pf Ø Ø			
694-1	s n Ø r Ø Ø Ø			
1961-1	d r iː m Ø Ø			
323-1	ɛ l Ø f Ø Ø			
1885-1	Ø r Ø f			
2156-1	Ø Ø Ø k Ø l d Ø Ø Ø			
1903-1	n Ø n d Ø			
525-1	s n ɛ l ɪ ŋ			
276-1	l Ø m Ø			
274-1	d ɛ f			
278-1	b l Ø n d			
258-1	l Ø Ø d r Ø ŋ k Ø Ø			
256-1	n Ø k ɪ d			
383-1	iː t Ø Ø			
207-1	r Ø pf			
376-1	d r ɪ ŋ k Ø Ø			
2009-1	Ø f Ø Ø			
2003-1	k ɛ t Ø Ø			
2024-1	pf Ø n Ø			
1321-1	k Ø pf			
1976-1	t ʊ ŋ z Ø			
1243-1	m iː l Ø Ø Ø			
1265-1	pf ai l Ø			
1261-1	s ɪ f Ø Ø			
655-1	b r ɛ d			
650-1	d Ø Ø			
1532-1	Ø n iː d Ø Ø			
-36-1	s uː pf Ø			
34-1	b iː n Ø			
-1647-1	f ɪ Ø Ø			
1469-2		z a n t		
2047-2		z ɔ n		
2054-2		d ɔ n d uː r		
1375-2		l ai k t		
760-2		ai n t		
756-2		s n eː v		
726-2		m uː d uː r		
1351-2		ɡ r oː s f ə d uː r		
1353-2		ɡ r oː s m uː d uː r		
412-2		s s x oː n f ə d uː r		
406-2		s k s s oː n m uː d uː r		
1005-2		s t iː s f ə d uː r		
1012-2		s t iː f m uː d uː r		
1016-2		eː d s f s n + ə r		
1069-2		ai k		
509-2		f Ø l uː s		
693-2		m iː l + eː z ə n		
2179-2		n au z t		
1753-2		f ai z		
1131-2		au l f		
1198-2		b ə r t		
2032-2		k oː n n		
2241-2		n Ø s s		
2244-2		l ai s s		
610-2		k ə n iː		
945-2		k r s		
1534-2		l ʊ k uː s		
384-2		z iː ɡ uː s		
1650-2		n oː s		
1663-2		z ɔ l s		
2279-2		l ʊ n uː s		
471-2		z Ø s uː s		
1385-2		z ə t		
792-2		Ø ɔ k		
1111-2		m a z t		
197-2		z iː t uː s		
2020-2		l a x		
867-2		z ɔ n d uː r t		
1970-2		f au l		
1230-2		d au r d uː		
2017-2		n iː		
968-2		v eː n ə l t		
1674-2		l a n t		
1671-2		h Ø b uː l		
829-2		k l Ø f		
1025-2		v a Ø uː n		
1027-2		z eː		
1832-2		n Ø v		
-1816-2		ɔ ʃ eː Ø a n		
-335-2		l a ɡ Ø n uː		
1043-2		ʃ t n ɔ m		
423-2		ʃ t eː n		
2049-2		m a n t		
2062-2		ʃ t au n m		
2065-2		n eː ɡ uː m b ɔ ɡ		
1368-2		ʃ ɡ a d Ø v		
1365-2		d a v		
754-2		n eː ɡ uː		
768-2		v eː t n		
1211-2		f Ø n		
106-2		m a n		
-98-2		b eː b iː		
719-2		f a d uː n		
1341-2		z ɔ n		
-2027-2		t a n t uː		
-2026-2		n eː f		
409-2		ʃ ɡ ɔ n z ɔ n		
402-2		ʃ ɡ ɔ n d au ɡ t uː n		
1014-2		ʃ t iː f d au ɡ t uː n		
1059-2		v a		
120-2		ʃ t a l		
2194-2		au n z		
2199-2		k a l f		
2197-2		ʃ ɡ a f		
1523-2		z Ø ɡ		
512-2		m a n iː		
2141-2		h a n		
2147-2		ɡ a n z		
814-2		k n a Ø		
810-2		d Ø f		
1758-2		m Ø z		
1760-2		Ø Ø s		
1620-2		f Ø n		
1282-2		v a l b Ø ʃ		
1136-2		f au n z		
1309-2		l Ø z		
1307-2		n eː Ø		
1305-2		f l ɔ		
711-2		v au z f		
1442-2		f l iː ɡ		
62-2		m Ø ɡ		
-73-2		m Ø z k iː t		
1810-2		h Ø t		
1805-2		f l eː ʃ		
1813-2		h a n		
1811-2		b l yː t		
690-2		n Ø f		
2177-2		h ɔ f t		
246-2		v ɪ ŋ Ø b n a v		
249-2		ɔ ɡ l Ø t		
1506-2		n Ø ʃ f l Ø ɡ ə l		
2242-2		m au n t		
2245-2		Ø au ŋ		
2174-2		ʃ ɡ a l d uː n		
603-2		au l uː b ɔ ɡ		
601-2		h a n t		
615-2		f Ø ŋ uː n		
901-2		k l a v		
608-2		f yː Ø		
596-2		Ø eː n		
937-2		b au n z t		
936-2		n a b uː l		
646-2		l au ŋ		
947-2		l eː b uː n		
1606-2		h Ø f t		
472-2		n iː z uː		
1535-2		z v eː Ø uː		
1546-2		ʃ f Ø ɡ uː		
1959-2		ʃ l a f uː		
694-2		ʃ n Ø n k uː		
1961-2		d n ɔ m uː		
323-2		l eː b uː		
1885-2		ɡ n a f		
2156-2		b ə n k a l t h a Ø		
1903-2		v au n Ø		
525-2		z v au l Ø ŋ		
276-2		l a m		
274-2		d ɔ f		
278-2		b l Ø n t		
258-2		d n au ŋ k uː		
256-2		n a k t		
383-2		eː Ø uː		
207-2		n a f		
376-2		d n Ø ŋ k uː		
2014-2		Ø ɔ Ø ts Ø Ø		
2009-2		ɔ f uː		
2003-2		k eː Ø uː l		
2024-2		f a n		
1321-2		k Ø f		
1976-2		Ø a ŋ		
1243-2		m a l t Ø a Ø		
1265-2		f Ø l Ø		
1261-2		z eː b uː		
