COGID	dutch	english	french	german
1469-1	b oː n t			
2047-1	p oː n			
2054-1	d oː n			
1375-1	l eː t			
760-1	w ɪ n t			
756-1	x n aː n			
726-1	d ɔ n t			
1351-1	x r aː d ə r			
1353-1	d r oː n			
412-1	v ɑ n d ə			
406-1	m aː n d ə r			
1005-1	s t ɪ p			
1012-1	n t ə r			
1016-1	w eː d ə r			
1069-1	eː w			
509-1	n ɛ l			
693-1	m aː l ə			
2179-1	n ɛ t			
1753-1	v ɪ t			
1131-1	w eː l f			
1198-1	b ɪ d ə r			
2032-1	h aː n			
2241-1	n aː d ə			
2244-1	l ɪ p			
610-1	d ɔ n			
945-1	h aː t			
1534-1	l ɛɪ k ə			
384-1	n ɔ k			
1650-1	d ɔ n t			
1663-1	z ɑ l t			
2279-1	l ɪ n			
471-1	r ɔ x			
1385-1	z aː d ə r			
792-1	n ɔ k			
1111-1	m ɑ s t			
197-1	z oː d ə			
2020-1	l ɑ ŋ			
867-1	h oː n d ə r			
1970-1	n ɛ l			
1230-1	d eː d ə			
2017-1	d ɑ n			
968-1	d eː d ə r			
1674-1	l ɑ n t			
1671-1	h aː l			
829-1	k l ɪ l v ə			
1025-1	w eː r			
1027-1	z aː k			
1832-1	r ɔ d ə			
-1816-1	f ɔ p			
-335-1	l aː n			
1043-1	k t ə r			
1469-2		s æ n d		
2047-2		s aɪ n		
2054-2		d aʊ n		
1375-2		l aɪ d		
760-2		w eɪ n d		
756-2		b n iː		
726-2		l aʊ n ə r		
1351-2		ɡ r aɪ d		
1353-2		ɡ r aɪ d		
412-2		s ɔ t ə r		
406-2		s t ɔː n		
1005-2		s t æ d ə r		
1012-2		s t æ t ə r		
1016-2		d əʊ ð ə r		
1069-2		l aɪ		
509-2		f aɪ l		
693-2		m ɔː l		
2179-2		n iː t		
1753-2		f aɪ		
1131-2		w iː l		
1198-2		b aɪ d		
2032-2		h eɪ n		
2241-2		n eɪ		
2244-2		l aɪ p		
610-2		r ɪ t		
945-2		h æ d		
1534-2		l aɪ d		
384-2		s aʊ n		
1650-2		n iː t		
1663-2		b ɔ t		
2279-2		l aɪ n		
471-2		s əʊ		
1385-2		s aɪ d		
792-2		j uː		
1111-2		l ɑː s t		
197-2		s ʌ n		
2020-2		l æ ŋ		
867-2		h aʊ n		
1970-2		f iː l		
1230-2		b ɔː r		
2017-2		n eɪ		
968-2		t aɪ d		
1674-2		l æ n d		
1671-2		h aɪ l		
829-2		k l aɪ		
1025-2		d ɑː r		
1027-2		s aɪ		
1832-2		r aɪ		
-1816-2		əʊ r əʊ		
-335-2		l aɪ n		
1043-2		s t r æ m		
1469-3			ʀ a	
2047-3			ʀ a	
2054-3			ʀ i k	
1375-3			ə l e	
760-3			ʀ a	
756-3			ʀ a	
726-3			ʀ a	
1351-3			ʀ ʀ i k	
1353-3				
412-3			ʀ ʀ i ʀ	
406-3			ʀ ʀ i ʀ	
1005-3				
1012-3				
1016-3			ʀ i k	
1069-3			ʀ a	
509-3			ʀ a	
693-3			ʀ a	
2179-3			ʀ a	
1753-3			ʀ a	
1131-3			ʀ a	
1198-3			ʀ a	
2032-3			ʀ a	
2241-3			ʀ a	
2244-3			ə l e	
610-3			ʀ a	
945-3			ʀ a	
1534-3			ə l e	
384-3			ʀ a	
1650-3			ʀ a	
1663-3			ʀ a	
2279-3			ə l e	
471-3			ʀ a	
1385-3			ʀ a	
792-3			ʀ a	
1111-3			ʀ a	
197-3			ʀ a	
2020-3			ʀ a	
867-3			ʀ i k	
1970-3			ʀ a	
1230-3			ʀ a	
2017-3			ʀ a	
1469-4				j a n t
2047-4				z oː n
2054-4				a n d ə r
1375-4				l ai x t
760-4				v ɛ n t
756-4				b n iː
726-4				m au d ə r
1351-4				ɡ r ɔ l t ə r
1353-4				ɡ r au ə r
412-4				ʃ au l t ə r
406-4				ʃ au m ə r
1005-4				b ə + ʃ t ai d ə r
1012-4				ʃ t a m ə r
1016-4				v ai d ə r
1069-4				aː ɛ k ə
509-4				d uː l ə n
693-4				m ɔ l s
2179-4				n ɛ s t
1753-4				f ɪ s
1131-4				au f
1198-4				b a r t
2032-4				b ə n
2241-4				n a ʃ
2244-4				l aː f
610-4				k n a ɡ ə
945-4				b ə r t
1534-4				l ai x ə n
384-4				p ʊ ɡ ə n
1650-4				n oː t
1663-4				z a n t
2279-4				l ai n ə n
471-4				z a t ə n
1385-4				z ai t
792-4				au p ə
1111-4				m a f t
197-4				m ʊ t ə n
2020-4				l a k
867-4				h oː n t
1970-4				d ʊ l
1230-4				au ə n t ə n
2017-4				n a ʃ ə
968-4				au ə l t
1674-4				l a
1671-4				b ə + h ʊ b ə l
829-4				k l aː b ə n
1025-4				v a d ə r
1027-4				z ai
1832-4				r a ə n
-1816-4				au p ə
-335-4				l a f ə n
1043-4				ɡ ə m
