COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z uː n			
2054-1	d eː n d ə r			
1375-1	l aː ɣ ə			
760-1	w eː n t			
756-1	s n aː k			
726-1	m aː r			
1351-1	k l ɛɪ n			
1353-1	k l ɛɪ m			
412-1	oː l ɛɪ			
406-1	b l aː m			
1005-1	s k l ɛɪ n			
1012-1	s m eː x			
1016-1	w ɛɪ d ə r			
1069-1	eː ɛɪ			
509-1	v oː l ə			
693-1	m aː l ə			
2179-1	k n eː d ə			
1753-1	v uː s ə			
1131-1	w ɔ l			
1198-1	b oː d ə			
2032-1	h aː n			
2241-1	k n eː d ə			
2244-1	l eː p			
610-1	n aː k ə			
945-1	h aː s t			
1534-1	l aː k ə			
384-1	b oː k			
1650-1	k n eː s ə			
1663-1	s ɑ l t			
2279-1	l ɛɪ n			
471-1	s eː n			
1385-1	j eː d ə			
792-1	b oː k			
1111-1	m ɑ s t			
197-1	s uː n			
2020-1	l aː ŋ ə			
867-1	h oː n d ə r			
1970-1	v ɑ l			
1230-1	d eː d ə			
2017-1	n aː k ə			
968-1	w ɔ l t			
1674-1	l ɑ n t			
1671-1	h eː l			
829-1	k l eː k			
1025-1	oː m ə r			
1027-1	z eː n			
1832-1	k r eː v ə			
-1816-1	d oː x			
-335-1	v l aː n			
1043-1	s t eː m			
423-1	s t aː n			
2049-1	m ɔ n t			
2062-1	s t			
2065-1	k r aː n			
1368-1	d uː n			
1365-1	d eː n			
754-1	r aː n			
768-1	t w eː r			
1211-1	v ɛ r			
106-1	m ɑ n			
-98-1	b oː x			
719-1	v aː r			
1341-1	z eː n			
-2027-1	k ɑ n n			
-2026-1	n aː v ə			
409-1	k l ɑu w			
402-1	n z ə r			
1014-1	s m eː d ə r			
1059-1	w eː r			
120-1	s aː l			
2183-1	k k			
2194-1	k ɔ t			
2199-1	k ɑ l			
2197-1	h aː p			
1523-1	s eː n			
1521-1	k k			
512-1	m aː r			
2141-1	h oː n			
2147-1	x aː n			
814-1	k r aː x			
810-1	d eː v ə			
1755-1	k k			
1758-1	k eː n			
1760-1	r aː ɣ ə			
1620-1	v eː n			
1282-1	w aː l			
1136-1	v ɔ x			
1309-1	l aː j			
1307-1	n eː n t			
1305-1	v l aː ts			
711-1	w oː p			
1442-1	v l aː ɣ ə			
62-1	m eː x			
-73-1	k aː m			
1810-1	h aː d ə			
1805-1	v l aː ɣ ə			
1813-1	h h oː j			
1811-1	b l ɑu t			
690-1	k r eː x			
2177-1	h aː d ə			
246-1	b oː r			
1469-2		s aɪ n d		
2047-2		s iː n		
2054-2		d aʊ d ə r		
1375-2		l ɪ d		
760-2		w iː n d		
756-2		s n eɪ r		
726-2		m iː d ə r		
1351-2		ɡ r aɪ t		
1353-2		k əʊ d ə r		
412-2		ɡ r eɪ d ə r		
406-2		s m ɛ d ə r		
1005-2		s p r eɪ n		
1012-2		m ɛ d ə r		
1016-2		ɡ r eɪ n		
1069-2		aɪ k		
509-2		f iː l		
693-2		+ l æ k		
2179-2		n eɪ s t		
1753-2		l ɑː s		
1131-2		l ɔ l v		
1198-2		b iː r		
2032-2		h aɪ n		
2241-2		b n iː s		
2244-2		l aɪ p		
610-2		k aɪ n		
945-2		h æ t		
1534-2		l iː k		
384-2		s eɪ l		
1650-2		n iː d l̩		
1663-2		s iː k		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s æ t		
792-2		b eɪ k		
1111-2		l æ m d		
197-2		s iː d		
2020-2		l ɪ ŋ		
867-2		h aɪ n		
1970-2		f ɔ l		
1230-2		d r ɛ d		
2017-2		l n iː		
968-2		w iː l		
1674-2		l iː m d		
1671-2		h əʊ l		
829-2		k l aɪ v		
1025-2		w iː p		
1027-2		s əʊ		
1832-2		r aɪ		
-1816-2		s eɪ n		
-335-2		l aɪ n		
1043-2		s p r iː m		
423-2		s t ɪ n		
2049-2		m eɪ n		
2062-2		s t r eɪ m		
2065-2		r aɪ z		
1368-2		s p ɪ ŋ		
1365-2		θ ɪ θ		
754-2		r aɪ		
768-2		w ɛ ə r		
1211-2		f aɪ r		
106-2		l æ n		
-98-2		b ɔː r		
719-2		f ɪ d ə r		
1341-2		s iː n		
-2027-2		t æ n t		
-2026-2		m ɛ f l̩		
409-2		ɡ r æ n		
402-2		ɡ r æ n		
1014-2		ɡ r eɪ t ə r		
1059-2		aɪ w		
120-2		l æ k		
2194-2		k ɔ p		
2199-2		k ɔː l		
2197-2		s uː p		
1523-2		s aɪ r		
512-2		m iː r		
2141-2		b æ n		
2147-2		ɡ ɪ n		
814-2		k r eɪ k		
810-2		f ɛ f l̩		
1758-2		l iː s		
1760-2		iː l t		
1620-2		f ɪ n		
1282-2		w iː l		
1136-2		aɪ p		
1309-2		l aɪ n		
1307-2		n iː d		
1305-2		aɪ l		
711-2		w iː p		
1442-2		aɪ l ɪ v		
62-2		l aɪ v		
-73-2		m ɪ θ		
1810-2		h æ t		
1805-2		f l aɪ s		
1813-2		h eɪ r		
1811-2		b l iː d		
690-2		r aɪ p		
2177-2		h æ t		
246-2		ɡ r æ n		
1469-3			y k	
2047-3			k k	
2054-3			k p l	
1375-3			k u p	
760-3			y k	
756-3			k p	
726-3			k u k	
1351-3			e ɛ s l	
1353-3			e ɛ s l	
412-3			e ɛ s l	
406-3			e ɛ s l	
1005-3			p ə l a	
1012-3			e ɛ s l	
1016-3			b u t	
1069-3			y k	
509-3			k u p	
693-3			p l a a	
2179-3			y k	
1753-3			k u k	
1131-3			k u p	
1198-3			k a l	
2032-3			k a l	
