COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x t			
760-1	w ɪ n t			
756-1	s n eː w			
726-1	m uː d ə r			
1351-1	x r oː t + f aː d ə r			
1353-1	x r oː t + m uː d ə r			
412-1	s x oː n + v aː d ə r			
406-1	s x oː n + m uː d ə r			
1005-1	s t iː + f aː d ə r			
1012-1	s t iː f + m uː d ə r			
1016-1	w eː d yː w n + aː r			
1069-1	ɪ k			
509-1	v øː l ə			
693-1	m œy l + eː z ə l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h oː r n			
2241-1	n øː s			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h ɑ r t			
1534-1	l ɪ k ə			
384-1	z œy ɣ ə			
1650-1	n oː t			
1663-1	z ɑu t			
2279-1	l ɪ n ə			
471-1	z aː j ə			
1385-1	z aː t			
792-1	j ʉ k			
1111-1	m ɑ s t			
197-1	z œy d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d ɛ r d ə			
2017-1	n iː w			
968-1	w eː r ə l t			
1674-1	l ɑ n t			
1671-1	h øː v ə l			
829-1	k l ɪ f			
1025-1	w aː t ə r			
1027-1	z eː			
1832-1	r yː w			
-1816-1	oː s eː j aː n			
-335-1	l aː ɣ yː n ə			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		θ ʌ n d ə r		
1375-2		l aɪ t		
760-2		w ɪ n d		
756-2		s n əʊ		
726-2		m ʌ ð ə r		
1351-2		ɡ r æ n d + f ɑː ð ə r		
1353-2		ɡ r æ n + m ʌ ð ə r		
412-2		f ɑː ð ə r + ɪ n + l ɔː		
406-2		m ʌ ð ə r + ɪ n + l ɔː		
1005-2		s t ɛ p + f ɑː ð ə r		
1012-2		s t ɛ p + m ʌ ð ə r		
1016-2		w ɪ d əʊ ə r		
1069-2		aɪ		
509-2		f əʊ l		
693-2		m j uː l		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ʊ l f		
1198-2		b ɪ ə d		
2032-2		h ɔː n		
2241-2		n əʊ z		
2244-2		l ɪ p		
610-2		n iː		
945-2		h ɑː t		
1534-2		l ɪ k		
384-2		s ʌ k		
1650-2		n ʌ t		
1663-2		s ɔː l t		
2279-2		l ɪ n ɪ n		
471-2		s əʊ		
1385-2		s iː d		
792-2		j əʊ k		
1111-2		m ɑː s t		
197-2		s aʊ θ		
2020-2		l ɔ ŋ		
867-2		h ʌ n d r ə d		
1970-2		f ʊ l		
1230-2		θ ɜː d		
2017-2		n j uː		
968-2		w ɜː l d		
1674-2		l æ n d		
1671-2		h ɪ l		
829-2		k l ɪ f		
1025-2		w ɔː t ə r		
1027-2		s iː		
1832-2		r ʌ f		
-1816-2		əʊ ʃ n̩		
-335-2		l ə ɡ uː n		
1043-2		s t r iː m		
1469-3			s ɑ b l	
2047-3			s ɔ l ɛ j	
2054-3			t ɔ n ɛ ʀ	
1375-3			l y m j ɛ ʀ	
760-3			v ɑ̃	
756-3			n ɛ ʒ	
726-3			m ɛ ʀ	
1351-3			ɡ ʀ ɑ̃ + p ɛ ʀ	
1353-3			ɡ ʀ ɑ̃ + m ɛ ʀ	
412-3			b o + p ɛ ʀ	
406-3			b ɛ l + m ɛ ʀ	
1005-3			b o + p ɛ ʀ	
1012-3			b ɛ l + m ɛ ʀ	
1016-3			v œ f	
1069-3			ʒ ə	
509-3			p u l ɛ̃	
693-3			m y l ɛ	
2179-3			n i	
1753-3			p w a s ɔ̃	
1131-3			l u	
1198-3			b a ʀ b	
2032-3			k ɔ ʁ n	
2241-3			n ɛ	
2244-3			l ɛ v ʀ	
610-3			ʒ ə n u	
945-3			k œ ʀ	
1534-3			l e ʃ e	
384-3			s y s e	
1650-3			n w a	
1663-3			s ɛ l	
2279-3			l ɛ̃	
471-3			s ə m e	
1385-3			s ə m ɑ̃ s	
792-3			ʒ u	
1111-3			m ɑ	
197-3			s y d	
2020-3			l ɔ̃	
867-3			s ɑ̃	
1970-3			p l ɛ̃	
1230-3			t ʀ w a z j ɛ m	
2017-3			n u v o	
1469-4				z a n t
2047-4				z ɔ n ə
2054-4				d ɔ n ə r
1375-4				l ɪ x t
760-4				v ɪ n t
756-4				ʃ n eː
726-4				m ʊ t ə r
1351-4				ɡ r oː s + f aː t ə r
1353-4				ɡ r oː s + m ʊ t ə r
412-4				ʃ v iː ɡ ə r + f aː t ə r
406-4				ʃ v iː ɡ ə r + m ʊ t ə r
1005-4				ʃ t iː f + f aː t ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t v ə r
1069-4				ɪ x
509-4				f ʏ l ə n
693-4				m au l + t iː r
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v ɔ l f
1198-4				b aː r t
2032-4				h ɔ r n
2241-4				n aː z ə
2244-4				l ɪ p ə
