COGID	dutch	english	french	german
1469-1	ts Ø n l			
2047-1	ts a n ʊ l			
2054-1	t a n ʃ ɛ r			
1375-1	l Ø k t l l l			
760-1	v Ø n t			
756-1	ʃ n a l			
726-1	m a t ɛ r			
1351-1	k r Ø n ʏ b a t ɛ r			
1353-1	k r Ø n m a t ɛ r			
412-1	k k k l k l b a t ɛ r ʊ n l ʃ			
406-1	k k k ʊ l l m a t ɛ r ʊ n l ʃ			
1005-1	ʃ t ɛ p l b a t ɛ r			
1012-1	ʃ t ɛ f m a t ɛ r			
1016-1	v Ø f ʃ k ɛ r			
1069-1	l ɔ k			
509-1	b Ø l l k			
693-1	m ʃ Ø l l k k k k			
2179-1	n ɛ ʃ t			
1753-1	l Ø Ø s l			
1131-1	n ʏ l ʏ l			
1198-1	b Ø ɛ Ø			
2032-1	h a Ø n			
2241-1	n a z k			
2244-1	l ɪ f l k			
610-1	Ø ə n iː			
945-1	h Ø t k			
1534-1	l Ø k l k			
384-1	ts Ø x l k			
1650-1	n l Ø s			
1663-1	ts a l s			
2279-1	l Ø n ʊ n			
471-1	ts Ø l l k			
1385-1	ts ai l l s			
792-1	Ø Ø k			
1111-1	m Ø ʃ t			
197-1	ts Ø t k k			
2020-1	l oː ŋ			
867-1	h Ø n ʏ k r ɛ t			
1970-1	b ʏ l l			
1230-1	t l l Ø l ʊ l			
2017-1	n l j Ø			
968-1	v Ø l d			
1674-1	l Ø n d			
1671-1	Ø ɪ Ø Ø l			
829-1	k l ɪ f Ø			
1025-1	v Ø s e Ø			
1027-1	ts iː			
1832-1	Ø Ø f			
-1816-1	Ø Ø Ø Ø Ø			
-335-1	l e Ø uː n Ø			
1043-1	ts t Ø iː m			
1469-2		s a ə t		
2047-2		s ʊ ə t t		
2054-2		d ʊ n t uː r		
1375-2		l ai k t t t		
760-2		n ai ə t		
756-2		ə n eː v		
726-2		m t ə r		
1351-2		ɡ r oː ə f ɛ t ə r		
1353-2		ɡ r oː ə m t ə r		
412-2		ə ə ə oː ə f ɛ t ə r		
406-2		ə k ə ə oː ə m t ə r		
1005-2		ə t iː ə f ɛ t ə r		
1012-2		ə t iː f m t ə r		
1016-2		n eː t ɔy f ə ə ə ɛ ə		
1069-2		ai x		
509-2		f ʏ l uː ə		
693-2		m au l t ə eː z ə ə		
2179-2		n au ʃ t		
1753-2		t f ai ʃ		
1131-2		n ɶː l f t		
1198-2		b ɛ r t		
2032-2		ʊ n n		
2241-2		n ʏ ə ə		
2244-2		l ai f t ə		
610-2		x ə n iː		
945-2		r ə		
1534-2		l x uː ə		
384-2		s au k uː ə		
1650-2		n t oː ə		
1663-2		s a l ə		
2279-2		l ə uː ə		
471-2		s Ø ə uː ə		
1385-2		s ɛ t t t		
