COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n			
2054-1	d oː n ə r			
1375-1	l ɛɪ t			
760-1	w ɛ n d ə			
756-1	s n ɔ			
726-1	m uː d ə r			
1351-1	x r oː s + v aː d ə r			
1353-1	x r oː t ə + m uː d ə r			
412-1	s w eː ɣ ə r + v aː t ə r			
406-1	s w eː ɣ ə r + m uː d ə r			
1005-1	s t eː v + v aː d ə r			
1012-1	s t eː v + m uː d ə r			
1016-1	w ɪ t w ə r			
1069-1	ɪ k			
509-1	v ɔ l ə			
693-1	m j ɛɪ l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɑ n			
2241-1	n aː z ə			
2244-1	l ʉ p ə			
610-1	n iː			
945-1	h ɛ r t			
1534-1	l ɛɪ k			
384-1	s ɔ k			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɣ ə			
1385-1	z ɛɪ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t ə			
197-1	z øː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	j ɛɪ n			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h iː l			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː t eː aː n			
-335-1	l ɑ ɣ ə n ə			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r ɛɪ ɣ ə + b oː ɣ ə			
1368-1	s ɑ t ə			
1365-1	t ɑu w			
754-1	r aː n			
768-1	w ɛ d ə r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b eː v eː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n d ə			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə r + z ɔ n			
402-1	z w eː ɣ ə r + t ɔ k t ə r			
1014-1	s t ɛ p + d ɔ t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ r k s			
2199-1	k ɛ l f t			
2197-1	s aː v			
1523-1	z ɑu w			
1521-1	b oː k			
512-1	m aː r ə			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r aː n			
810-1	t ɑu w v ə			
1755-1	h ɔ n t			
1758-1	m oː t			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ r k s			
1309-1	l oː t			
1307-1	n ɪ t ə			
1305-1	v l iː			
711-1	w ɛ s p ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ k ə			
-73-1	m ə s k iː t ɣ ə			
1810-1	h ɛɪ d ə			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l oː d ə			
690-1	r ʉ p ə			
2177-1	h ɛ d ə			
246-1	oː ɣ ə + b r ɑu w ə			
249-1	ɛɪ + l ɛɪ d ə			
1506-1	n ɔ s t ə r ə l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s x ʉ l t ə r			
575-1	ɑ k t ə l t + h oː l ə			
603-1	ɛ l ə + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r			
901-1	k l uː			
608-1	v aː t			
596-1	t ɣ ə			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ v ə r			
1606-1	h iː p			
472-1	n iː z ə			
1535-1	z w ɛ t			
1546-1	s p ɪ k ə			
1959-1	s l aː v ə			
694-1	s n ɔ r			
1961-1	d r œy m ə			
323-1	l ɛɪ v ə			
1885-1	x r aː p			
2156-1	k oː l d ə			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l aː m			
274-1	d oː p			
278-1	b l ɪ n t			
258-1	v ə + d r ɪ ŋ k ə			
256-1	n ɑ k t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː p ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p ə			
1976-1	v ɑ ŋ ə			
1243-1	m iː l			
1265-1	p iː l			
1261-1	z eː v ə			
655-1	b r ɛɪ d ə			
650-1	v ə r + d eː k			
1532-1	n ɛɪ d ə			
-36-1	z ɔ p ə			
34-1	b oː n ə			
-1647-1	v eː ɣ ə			
-1615-1	ɔ iː l			
125-1	v eː d ə			
1659-1	h oː n ɪ k			
1661-1	m ɪ l k			
1676-1	b uː d ə r			
480-1	d r ɪ ŋ k ə			
1466-1	k l ɛɪ d ɪ ŋ			
2277-1	w ɔ l ə			
2271-1	v eː l t			
2293-1	l ɛɪ d ə r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː d ə l			
1185-1	s uː s t ə r			
1179-1	h ɛ t			
2168-1	k oː m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b eː d ə			
-934-1	l ɑ m p ə			
916-1	d r oː k			
1726-1	v eː l t			
2108-1	p l øː ɣ ə			
1133-1	v ɔ r k ə			
2114-1	s p aː d ə			
1272-1	r ɛɪ			
1979-1	x r ɑ s			
1989-1	h aː			
-2260-1	p l ɑ n t ə			
70-1	b uː k ə			
-89-1	v ɪ n			
-12-1	p ɛɪ p			
713-1	z ɛ p			
747-1	n eː t ə l			
308-1	t uː n			
289-1	b ɪ n d ə			
1930-1	b r eː k ə			
1928-1	s p ɑ l t ə			
858-1	s t r eː k ə			
1577-1	h ɛ ŋ			
908-1	w ɑ s ə			
648-1	b oː r ə			
1855-1	h ɔ l ɣ ə			
657-1	h aː m ə r			
2058-1	n ɛɪ l			
949-1	s m eː d ə			
1642-1	x ʉ l t			
1640-1	z ɪ l v ə r			
1633-1	ɛɪ r ə n ə			
1630-1	t ɛ n			
1469-2		s æ n d		
2047-2		s ɔ n		
2054-2		θ aʊ n d ə r		
1375-2		l ɪ d		
760-2		f aɪ m		
756-2		s n ɪ		
726-2		m ɔː t ə r		
1351-2		ɡ r əʊ + f ɛ d ə r		
1353-2		ɡ r ɔ t + m ɔː t ə r		
412-2		s ɡ ʌ n + f ɛ d ə r		
406-2		s ɡ ʌ n + m ɔː t ə r		
1005-2		s t iː + f ɛ d ə r		
1012-2		s t ɪ v + m ɔː t ə r		
1016-2		w ɪ d w ə r		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m iː l + d iː r		
2179-2		n ɛ s t		
1753-2		f aɪ s		
1131-2		w ɔ l f		
1198-2		b ɑː r d		
2032-2		h ɑː n		
2241-2		n ɪ ə s l̩		
2244-2		l ɪ p		
610-2		k n iː		
945-2		h ɑː r t		
1534-2		l eɪ k		
384-2		s aʊ əʊ		
1650-2		n ɔ t		
1663-2		s əʊ l t		
2279-2		l iː ə n		
471-2		s eɪ l̩		
1385-2		s eɪ t		
792-2		j ɪ k		
1111-2		m ɔː s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		aɪ m eɪ		
1970-2		f ɔ l		
1230-2		θ r ɪ d l̩		
2017-2		n iː w		
968-2		w ɛ l d		
1674-2		l eɪ n d		
1671-2		h yː ɡ l̩		
829-2		k l ɪ v		
1025-2		w ɛ t ə r		
1027-2		s ɪ		
1832-2		r aʊ		
-1816-2		aɪ s ɪ ə n		
-335-2		l eɪ ɡ iː ə		
1043-2		s t r ʌ m		
423-2		s t ɪ n		
2049-2		m ɛ n		
2062-2		s t ɔ r m		
2065-2		r ɪ əʊ m + b aɪ		
1368-2		s æ d		
1365-2		d iː		
754-2		r ɪ əʊ		
768-2		w ɔː r		
1211-2		f yː r		
106-2		m æ n		
-98-2		b ɪ b iː		
719-2		f ɛ d ə r		
1341-2		s ʌ n		
-2027-2		d ɑː n d l̩		
-2026-2		n ɪ v		
409-2		s ɡ ʌ n + s ʌ n		
402-2		s ɡ ʌ n + d ɔː ɡ t ə r		
1014-2		s t ɪ v + d ɔː ɡ t ə r		
1059-2		w aɪ		
120-2		s t ɔː l		
2194-2		əʊ s		
2199-2		k ɑː l v		
2197-2		ɡ ɑː f		
1523-2		s iː		
512-2		m ɛ r ɪ		
2141-2		h æ n		
2147-2		ɡ ɑː n s		
814-2		k r eɪ		
810-2		θ aʊ v		
1758-2		m aʊ s		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		w ɑː l		
1136-2		f ɔ s		
1309-2		l iː s		
1307-2		n ə r t		
1305-2		f l aɪ		
711-2		w ɛ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ɪ s k iː t		
1810-2		h iː d		
1805-2		f l aɪ s		
1813-2		h ʊ r		
1811-2		b l iː d		
690-2		r ɪ p		
2177-2		h iː f d		
246-2		ʌ əʊ + b r aʊ l̩		
249-2		ɡ əʊ + l aɪ t		
1506-2		n əʊ + l əʊ k		
2242-2		m aʊ n d		
2245-2		t ɔ ŋ		
2174-2		s w ɔ l d r		
603-2		ɛ l + b aɪ		
601-2		h æ n d		
615-2		f ɪ ŋ ə r		
901-2		k l æ r əʊ		
608-2		f ɔː t		
596-2		t ɛ n		
937-2		b ɔː r s t		
936-2		n ɪ ə b l̩		
646-2		l ɔ ŋ		
947-2		l ɪ v ə r		
1606-2		h ɪ f d l̩		
472-2		n iː z		
1535-2		s w ɪ t		
1546-2		s p aʊ k		
1959-2		s l eɪ p		
694-2		s n ɪ r k		
1961-2		d r ʌ m		
323-2		l ɪ v		
1885-2		ɡ r ɑː p		
2156-2		ɑː r + k eɪ l d + aʊ ŋ		
1903-2		w aʊ n d		
525-2		s w ɛ l ɪ ŋ		
276-2		l ɑː m		
274-2		d iː p		
278-2		b l aɪ n d		
258-2		d r ɔ ŋ k		
256-2		n ʊ k t		
383-2		ɔː t		
207-2		r iː f		
376-2		d r ɪ ŋ k		
2014-2		r uː t aɪ		
2009-2		ʌ v		
2003-2		k ɪ d l̩		
2024-2		p æ n		
1321-2		k ɔ p		
1976-2		t æ ŋ		
1243-2		m ə l s aɪ d		
1265-2		p æ l		
1261-2		s ɪ v		
655-2		b r ɔ t		
650-2		d iː k		
1532-2		k n ə r d		
-36-2		s iː p		
34-2		b ʌ n		
-1647-2		f ɪ dʒ		
-1615-2		əʊ l ɪ		
125-2		f ɑː d		
1659-2		h ʌ n ɪ ŋ		
1661-2		m ɪ l k		
1676-2		b ɔ t ə r		
480-2		d r æ ŋ k		
1466-2		k l ɛ d ɪ ŋ		
2277-2		w ɔ l		
2271-2		f ɪ l t		
2293-2		l ɔː r		
624-2		s p ɪ n ə		
628-2		s p aɪ n d l̩		
626-2		w ɪ v		
633-2		n ɪ ə d l̩		
1185-2		ʃ ʌ z d r		
1179-2		h iː d		
2168-2		k ɑː m		
1952-2		d aɪ r		
899-2		l aɪ d r		
922-2		b ɑː d		
-934-2		l ɑː m p		
916-2		d r aɪ k		
1726-2		f ɑː l d		
2108-2		p l ɔː əʊ		
1133-2		f ɔ r l̩		
2114-2		s p ɛ d		
1272-2		r ɔ əʊ		
1979-2		ɡ r ɑː s		
1989-2		h ɔy		
-2260-2		p l ɑː n t		
70-2		b iː k l̩		
-89-2		w ɪ ŋ ə r t		
-12-2		p aɪ p		
713-2		s ɑː p		
747-2		n eɪ z l̩		
308-2		θ aʊ n		
289-2		b aɪ n d		
1930-2		b r ɪ k		
1928-2		s p l aɪ t		
858-2		s d r eɪ k		
