COGID	dutch	english	french	german
1469-1	ts Ø n n			
2047-1	ts a n ʊ n			
2054-1	n a n k ɛ Ø			
1375-1	l Ø n Ø n n n			
760-1	v Ø n k			
756-1	n a n			
726-1	n a k ɛ Ø			
1351-1	x Ø Ø n k p a k ɛ Ø			
1353-1	x Ø Ø n n a k ɛ Ø			
412-1	n n n n n n p a k ɛ Ø ʊ n l k			
406-1	n n n ʊ n n n a k ɛ Ø ʊ n l k			
1005-1	t ɛ p n p a k ɛ Ø			
1012-1	ɛ p n a k ɛ Ø			
1016-1	v Ø f k n ɛ r			
1069-1	n ə n			
509-1	p Ø l Ø n			
693-1	n k Ø l n n n n n			
2179-1	n ɛ t			
1753-1	n Ø Ø s n			
1131-1	k k l k n			
1198-1	b Ø ɛ Ø			
2032-1	x a Ø n			
2241-1	n a z n			
2244-1	l ɪ p n n			
610-1	Ø ə n Ø			
945-1	x Ø Ø n			
1534-1	l Ø k n n			
384-1	ts Ø k n n			
1650-1	n n Ø t			
1663-1	ts a l t			
2279-1	l ɪ n ʊ n			
471-1	ts Ø n n n			
1385-1	ts iː n n s			
792-1	Ø Ø k			
1111-1	n Ø t			
197-1	ts Ø n n n			
2020-1	l ɔ ŋ			
867-1	s Ø n k n r ɛ k			
1970-1	p k l n			
1230-1	n n n Ø n ʊ n			
2017-1	n n j Ø			
968-1	f Ø l t			
1674-1	l Ø n t			
1671-1	h ɪ Ø Ø l			
829-1	k l ɪ f Ø			
1025-1	f Ø t e r			
1027-1	ts iː			
1832-1	r Ø f			
-1816-1	Ø Ø Ø Ø Ø			
-335-1	l e Ø uː n Ø			
1043-1	ts t r iː n			
423-1	ts t Ø n			
2049-1	n uː n Ø			
2062-1	ts t Ø Ø n			
2065-1	r Ø Ø Ø n b Ø Ø Ø Ø			
1368-1	Ø Ø t Ø Ø			
1365-1	t Ø uː			
754-1	r Ø Ø Ø n			
768-1	f ɛ Ø e r			
1211-1	f Ø e r			
106-1	n Ø n			
-98-1	b Ø b ɪ			
719-1	f Ø Ø e r			
1341-1	ts Ø n			
-2027-1	Ø Ø n t Ø			
-2026-1	n ɛ b Ø uː			
409-1	ts Ø Ø Ø Ø Ø Ø ɪ n Ø Ø			
402-1	Ø Ø Ø Ø Ø Ø Ø t Ø Ø t e r ɪ Ø Ø Ø			
1014-1	ts t ɛ f t Ø Ø t e r			
1059-1	f iː Ø			
120-1	ts t Ø l			
2183-1	t k oː Ø Ø			
2194-1	ɔ k s Ø			
2199-1	k Ø Ø f			
2197-1	Ø iː f			
1523-1	ts Ø			
1521-1	Ø k			
512-1	n Ø r Ø			
2141-1	h ɛ n			
2147-1	Ø uː Ø s			
814-1	k r Ø Ø			
810-1	t Ø b Ø			
1755-1	ʃ Ø Ø n t			
1758-1	n Ø z			
1760-1	Ø Ø t			
1620-1	f ɪ n Ø			
1282-1	f Ø l			
1136-1	f ɔ k s			
1309-1	l Ø s			
1307-1	n ɪ t Ø			
1305-1	f l iː			
711-1	f a s p Ø			
1442-1	f l Ø Ø Ø			
62-1	n ɪ Ø Ø			
-73-1	n e s k iː t Ø			
1810-1	h Ø t			
1805-1	f l ɛ Ø			
1813-1	h ɛ e r			
1811-1	b l Ø t			
690-1	r ɪ b Ø			
2177-1	h ɛ Ø t			
246-1	Ø Ø Ø Ø b r Ø Ø			
1469-2		s ɶː n t		
2047-2		s ɔ n t t		
2054-2		d ɔ n t uː r		
1375-2		l ɪ ɡ t t t		
760-2		ɪ n t		
756-2		n n ɪ v		
726-2		m uː t uː r		
1351-2		ɡ r oː t p ɛ t uː r		
1353-2		ɡ r oː t m uː t uː r		
412-2		n n k oː n f ɛ t uː r		
406-2		n k n n oː n m uː t uː r		
1005-2		n t iː n p ɛ t uː r		
1012-2		n t iː p m uː t uː r		
1016-2		ɛ t ʊ p n n n ɛ r		
1069-2		n ɪ k		
509-2		f ɔ l uː n		
693-2		m ɪ l t n eː z ə n		
2179-2		n au z t		
1753-2		t f ɪ z n		
1131-2		ɶː l p t		
1198-2		b ɛ r t		
2032-2		oː n n		
2241-2		n ɔ n n		
2244-2		l ɪ f t n		
610-2		k ə n iː		
