COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z oː n			
2054-1	t + r ɔ n			
1375-1	l ɛɪ			
760-1	w eː k ə			
756-1	s n ɔ n			
726-1	m aː r r			
1351-1	k l aː r			
1353-1	k l aː r			
412-1	v oː n + l ə k			
406-1	m ɔ d ə l			
1005-1	s t aː r			
1012-1	s t aː r			
1016-1	w eː k ə r			
1069-1	b ɛɪ			
509-1	v ɑ l ə			
693-1	m uː l			
2179-1	n aː n t + s p ɛ t			
1753-1	v ɪ l f t			
1131-1	w ɔ l			
1198-1	b iː v iː			
2032-1	h aː n			
2241-1	n aː l t			
2244-1	l ɪ p			
610-1	n aː l			
945-1	h aː l t			
1534-1	l iː k			
384-1	s p ɪ k			
1650-1	n aː j			
1663-1	z ɑ l t			
2279-1	l iː n			
471-1	s ɑ ɔ ə r			
1385-1	z ɛɪ			
792-1	w aː k			
1111-1	m aː m			
197-1	s t + h ɑu t			
2020-1	l aː n			
867-1	h oː n			
1970-1	v ɔ l			
1230-1	d iː d ə			
2017-1	n aː j			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	d ɑ l			
829-1	k l iː r			
1025-1	w ɛ + l uː r			
1027-1	z ɛɪ			
1832-1	r ɛ x			
-1816-1	s ɑ p + h ɑ k			
-335-1	l ɛɪ n			
1043-1	t aː r s			
423-1	s t aː n			
2049-1	m oː n			
2062-1	s t aː m			
2065-1	r aː n			
1368-1	s x ɛɪ d ə			
1365-1	d iː n			
754-1	r aː n			
768-1	w eː k ə r			
1211-1	v iː r			
106-1	m aː n			
-98-1	b eː n t			
719-1	v oː r			
1341-1	z oː n			
-2027-1	t aː n			
-2026-1	n eː v ə			
409-1	t aː n + l iː k			
402-1	d iː l aː			
1014-1	s t aː r			
1059-1	w iː			
120-1	s t aː l ə			
2183-1	j ʉ l iː			
2194-1	k aː k			
2199-1	k ɑ l			
2197-1	s oː p			
1523-1	s ɑ ɔ ə r			
1521-1	v l ɑ k			
512-1	m aː r			
2141-1	h aː n			
2147-1	j ɛɪ			
814-1	k r ɔ			
810-1	d iː v ə			
1755-1	v l ɑ k			
1758-1	m uː r			
1760-1	r ɔ t			
1620-1	v ɪ n d ə			
1282-1	w aː l			
1136-1	v ɔ l k			
1309-1	l aː k			
1307-1	n aː l t			
1305-1	v l iː			
711-1	w ɛ p			
1442-1	v l iː ɣ ə			
62-1	m ʉ l			
-73-1	m aː l			
1810-1	h oː x			
1805-1	v l ɑ s			
1813-1	h aː r			
1811-1	b l oː d ə			
690-1	r ɛɪ k			
2177-1	h oː t			
246-1	œy t + h ɔ ŋ ə			
249-1	s n aː d ə			
1506-1	n ɑu w			
2242-1	m eː m			
2245-1	t + ɔ ɑ ŋ ə			
1196-1	v l ɑ			
2174-1	s l ɛɪ r s			
575-1	v l iː k			
603-1	t aː l t + h ɛ l ə			
601-1	h aː n t			
615-1	v iː r r			
901-1	k l ɛɪ			
608-1	v oː t			
596-1	t aː j			
937-1	b r ɔ t			
936-1	n aː l			
646-1	l aː n			
947-1	l eː n r			
1606-1	h aː p			
472-1	s n aː k			
1535-1	w ɛ s t + h ɑu t			
1546-1	s p ɪ ts			
1959-1	p l iː p			
