COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x t			
760-1	w ɪ n t			
756-1	s n eː w			
726-1	m uː d ə r			
1351-1	x r oː t + f aː d ə r			
1353-1	x r oː t + m uː d ə r			
412-1	s x oː n + v aː d ə r			
406-1	s x oː n + m uː d ə r			
1005-1	s t iː + f aː d ə r			
1012-1	s t iː f + m uː d ə r			
1016-1	w eː d yː w n + aː r			
1069-1	ɪ k			
509-1	v øː l ə			
693-1	m œy l + eː z ə l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h oː r n			
2241-1	n øː s			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h ɑ r t			
1534-1	l ɪ k ə			
384-1	z œy ɣ ə			
1650-1	n oː t			
1663-1	z ɑu t			
2279-1	l ɪ n ə			
471-1	z aː j ə			
1385-1	z aː t			
792-1	j ʉ k			
1111-1	m ɑ s t			
197-1	z œy d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d ɛ r d ə			
2017-1	n iː w			
968-1	w eː r ə l t			
1674-1	l ɑ n t			
1671-1	h øː v ə l			
829-1	k l ɪ f			
1025-1	w aː t ə r			
1027-1	z eː			
1832-1	r yː w			
-1816-1	oː s eː j aː n			
-335-1	l aː ɣ yː n ə			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m aː n			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə m + b oː x			
1368-1	s x aː d yː w			
1365-1	d ɑu w			
754-1	r eː ɣ ə			
768-1	w eː r			
1211-1	v yː r			
106-1	m ɑ n			
-98-1	b eː b iː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n eː f			
409-1	s x oː n + z oː n			
402-1	s x oː n + d ɔ x t ə r			
1014-1	s t iː v + d ɔ x t ə r			
1059-1	w ɛɪ			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ s			
2199-1	k ɑ l f			
2197-1	s x aː p			
1523-1	z øː x			
1521-1	b ɔ k			
512-1	m ɛ r iː			
2141-1	h ɛ n			
2147-1	x ɑ n s			
814-1	k r aː j			
810-1	d œy f			
1755-1	h ɔ n t			
1758-1	m œy s			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w ɑ l v ɪ s			
1136-1	v ɔ s			
1309-1	l œy s			
1307-1	n eː t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l iː x			
62-1	m ʉ x			
-73-1	m ʉ s k iː t			
1810-1	h œy t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ɪ p			
2177-1	h oː f t			
246-1	w ɛ ŋ ɡ + b r ɑu w			
249-1	oː ɣ + l ɪ t			
1506-1	n øː s + f l øː ɣ ə l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	n ɛ k			
2174-1	s x ɑu d ə r			
575-1	ɔ k s ə l			
603-1	ɛ l ə + b oː x			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r			
901-1	k l ɑu w			
608-1	v uː t			
596-1	t eː n			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l eː v ə r			
1606-1	h øː p			
472-1	n iː z ə			
1535-1	z w eː t ə			
1546-1	s p yː ɣ ə			
1959-1	s l aː p ə			
694-1	s n ʉ r k ə			
1961-1	d r oː m ə			
323-1	l eː v ə			
1885-1	x r ɑ f			
2156-1	v ə r + k ɑu t + h ɛɪ t			
1903-1	w ɔ n t			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m			
274-1	d oː f			
278-1	b l ɪ n t			
258-1	d r ɔ ŋ k ə			
256-1	n aː k t			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k ɔ p			
1976-1	t ɑ ŋ			
1243-1	m aː l + t ɛɪ t			
1265-1	p ɛ l ə			
1261-1	z eː v ə			
655-1	b r oː t			
650-1	d eː x			
1532-1	k n eː d ə			
-36-1	s uː p			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	oː l iː			
125-1	v ɛ t			
1659-1	h oː n ɪ ŋ			
1661-1	m ɛ l k			
1676-1	b oː t ə r			
480-1	d r ɑ ŋ k			
1466-1	k l eː d ɪ ŋ			
2277-1	w ɔ l			
2271-1	v ɪ l t			
2293-1	l eː r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː l t			
1185-1	s x uː n + m aː k ə r			
1179-1	h uː t			
2168-1	k ɑ m			
1952-1	d øː r			
899-1	l ɑ d ə r			
922-1	b ɛ t			
-934-1	l ɑ m p			
916-1	t r ɔ x			
1726-1	v ɛ l t			
2108-1	p l uː ɣ ə			
1133-1	v oː r ə			
