COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n			
2054-1	d ɔ n t ə r			
1375-1	l ɛɪ t			
760-1	w ɪ n t			
756-1	s n ə			
726-1	m uː d ə r			
1351-1	x r ɑ n t + f ɑ n t ə r			
1353-1	x r øː s + m uː d ə r			
412-1	z w iː ɣ ə r + p aː d ə r			
406-1	z w eː ɣ ə r + m uː d ə r			
1005-1	s t eː v + p aː d ə r			
1012-1	s t eː v + m ɪ d ə r			
1016-1	w ɪ t w ə r			
1069-1	ɪ k			
509-1	v ɔ l ə			
693-1	m j ɛɪ l			
2179-1	n ɛ s t ə			
1753-1	v ɪ s			
1131-1	ɔ l			
1198-1	b aː r t			
2032-1	h ɑ n			
2241-1	n aː z ə			
2244-1	l ɛɪ p			
610-1	k n eː			
945-1	h ɑ t			
1534-1	l eː k ə			
384-1	s ɔ k			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	s ə			
1385-1	z eː d ə			
792-1	j øː k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɔ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	n j ɛɪ			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p ə			
1025-1	w eː t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː t eː aː n			
-335-1	l ɑ x uː n ə			
1043-1	s t ə r oː m ə			
423-1	s t eː n			
2049-1	m ɔ n t			
2062-1	s t ɑ m			
2065-1	r aː n + b oː x			
1368-1	s ɑ d ə			
1365-1	t ɑu w			
754-1	r aː n			
768-1	w ɛ d ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː v iː			
719-1	p aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t ə			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə r + z ɔ n			
402-1	z w eː ɣ ə r + d ʉ x t ə r			
1014-1	s t ɛ p + d ɔ t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t eː r			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s ɑ p			
1523-1	s ə			
1521-1	b øː k			
512-1	m aː r ə			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m ɔ ŋ			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː t			
1307-1	n eː t ə			
1305-1	v l iː			
711-1	w ɑ s p			
1442-1	v l iː ɣ ə			
62-1	m ʉ k ə			
-73-1	m ə s k eː t ə			
1810-1	h ɛɪ d ə			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ p ə			
2177-1	h ɛ d ə			
246-1	oː ɣ + v r ɑu w ə			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		θ aʊ n d ə r		
1375-2		l ɪ d		
760-2		w aɪ n d		
756-2		s n ɪ		
726-2		m aʊ d ə r		
1351-2		ɡ r ɛ d + f eɪ d ə r		
1353-2		ɡ r ɛ d + m æ d ə r		
412-2		s ɡ ʌ n + f eɪ d ə r		
406-2		s ɡ ʌ n + m æ d ə r		
1005-2		s t iː + f eɪ d ə r		
1012-2		s t ɪ v + m æ d ə r		
1016-2		w ɛ t w ə r		
1069-2		ɪ k		
509-2		f iː l		
693-2		m iː l d ə r		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		ʌ l		
1198-2		b ɑː d		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h æ r t		
1534-2		l ɪ k		
384-2		s aɪ		
1650-2		n ɔ t		
1663-2		s əʊ l d		
2279-2		l ɪ n		
471-2		s eɪ k		
1385-2		s eɪ d		
792-2		ʌ ʒ		
1111-2		m ɔː s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		h ʌ n d ə r t		
1970-2		f ɔ l		
1230-2		d r ɪ d l̩		
2017-2		n eɪ		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h ɪ v l̩		
829-2		k l ɪ v		
1025-2		w ɛ t ə r		
1027-2		s ɪ		
1832-2		r aʊ		
-1816-2		ʌ t ɪ ɑː n		
-335-2		l æ ɡ iː n		
1043-2		s t r iː m		
423-2		s t ɪ n		
2049-2		m eɪ n		
2062-2		s t ʌ r m		
2065-2		r ɛ t m + b əʊ		
1368-2		s æ d		
1365-2		d ɛ		
754-2		r ɛ t		
768-2		w ɛ ð ə r		
1211-2		f iː ə r		
106-2		m æ n		
-98-2		b iː b iː		
719-2		f iː d ə r		
1341-2		s ʌ n		
-2027-2		d ɑː n t		
-2026-2		n ɛ f		
409-2		s ɡ ʌ n + s ʌ n		
402-2		s ɡ ʌ n + d ɔː ɡ t ə r		
1014-2		s t ɪ v + d ɔː ɡ t ə r		
1059-2		w aɪ		
120-2		s t ɔː l		
2194-2		ɔ s		
2199-2		k ɑː v		
2197-2		s iː f		
1523-2		s aʊ		
512-2		m ɛ r ɪ		
2141-2		h æ n		
2147-2		ɡ ɑː n s		
814-2		k r eɪ		
810-2		θ aʊ v		
1758-2		m aʊ s		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		w iː l		
1136-2		f ɔ s		
1309-2		l iː t		
1307-2		n ɛ t		
1305-2		f l ɔː		
711-2		w ɛ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ɪ s k ɪ t		
1810-2		h aʊ t		
1805-2		f l aɪ s		
1813-2		h ɛ ə r		
1811-2		b l æ t		
690-2		r ɪ p		
2177-2		h ɛ f t		
246-2		aɪ + b r ɔː		
1469-3			z a t	
2047-3			ʀ u n	
2054-3			d ɔ k ɛ ʀ	
1375-3			l aɪ t	
760-3			v ɪ t	
756-3			ʃ k p	
726-3			s ɑ̃ t ʀ ʀ	
1351-3			ɡ ʀ a ɡ i + f aː t ɛ ʀ	
1353-3			ɡ ʀ a ɡ i + s ɑ̃ t ʀ ʀ	
412-3			v ɑː ð ə ʀ + ə n + l ɔ	
406-3			ʃ v iː ɡ ɛ ʀ ʀ + s ɑ̃ t ʀ ʀ	
1005-3			t i ʀ ɛ p + v ɑː ð ə ʀ	
1012-3			ʃ t iː f + s ɑ̃ t ʀ ʀ	
1016-3			v ɪ t v ɛ ʀ	
1069-3			aɪ	
509-3			p øː l e	
693-3			m j ɔ l e	
2179-3			k ɛ t i	
1753-3			v ə ʃ	
1131-3			w u l f	
1198-3			b aː t ʀ	
2032-3			h ɔ n	
2241-3			n øː s	
2244-3			l ə p	
610-3			ə n	
945-3			h ɑː t	
1534-3			l ə k	
384-3			ʀ u k	
1650-3			s i k	
1663-3			ʀ ɔ l e	
2279-3			l ɪ n ə	
471-3			əʊ ʀ	
1385-3			ʀ ə d	
792-3			e ʉ k	
1111-3			ɑ̃ t i a	
197-3			θ ʀ aʊ	
2020-3			ŋ l	
867-3			h s k d ʀ t ʀ	
1970-3			p u l	
1230-3			d ʀ ɪ t ʀ	
2017-3			y ɔy	
2183-3			ʃ t iː ʀ	
1521-3			b u k	
1755-3			h s t	
1760-3			ʀ æ t	
1469-4				z a n t
2047-4				z ʊ n ə n
2054-4				d ʊ n d ə r
1375-4				l ai t ə n
760-4				v ɪ n t
756-4				ʃ n ə n
726-4				m yː d ə r
1351-4				k r oː t + f aː d ə r
1353-4				k r oː t + m ʊ t ə r
412-4				ʃ oː n + b aː d ə r
406-4				ʃ ʊ n + m ʊ t ə r
1005-4				ʃ t iː + p aː t ə r
1012-4				ɛ r + ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t ai k ə r
1069-4				ɪ x
509-4				f ɔ l ə n
693-4				m ɔy l ai z ə l
2179-4				n ɛ s t ə n
1753-4				f ɪ ʃ ə n
1131-4				v ɔ l f
1198-4				b eː r t
2032-4				h a n ə n
2241-4				n s ə
2244-4				l ʊ p ə
610-4				n aː
945-4				h a r t
1534-4				l ʊ k ə n
384-4				z ʊ k ə n
1650-4				n oː t
1663-4				l + h ɶː l ə
2279-4				l ɪ n ə n
471-4				z ə n
1385-4				z ai t ə n
792-4				j ʊ k ə n
1111-4				m aː s t ə n
197-4				z ɔy d ə n
2020-4				l a ŋ ə
867-4				ʊ m
1970-4				f ɔ l ə
1230-4				d ɛ r d ə n
2017-4				n iː v
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h ɪ l ə n
829-4				k l ɪ f t
1025-4				v aː t ə r
1027-4				z iː
1832-4				r ʊ f
-1816-4				a ʃ ə n
-335-4				l aː ɡ ʊ n ə n
1043-4				ʃ t r ɔy m ə n
423-4				ʃ t ai n
2049-4				m aː ɡ ə n
2062-4				ʃ t a m ə n
2065-4				r ai ɡ ə n m + b oː ɡ ə n
1368-4				ʃ ai t ə n
1365-4				t au
754-4				r iː ɡ ə n
768-4				v eː d ə r
1211-4				b ɔy ə r
106-4				m a n
-98-4				b eː b iː
719-4				f aː d ə r
1341-4				z ʊ n ə n
-2027-4				t a n ts ə n
-2026-4				n iː f
409-4				ʃ oː n + ʃ oː n
402-4				ʃ oː n + d ʊ f t ə r
1014-4				ʃ t iː f + d ʊ f t ə r
1059-4				v ai
120-4				ʃ t a l
2183-4				ʃ t ai ə r
2194-4				ɔ s
2199-4				k ɛ l f t
2197-4				ʃ aː f ə n
1523-4				z ə n
1521-4				b ʊ k ə n
512-4				m ɛ r iː
2141-4				h ɛ n
2147-4				ɡ a n ts ə
814-4				r ɔ x ə n
810-4				t au p
1755-4				h ʊ n t
1758-4				m ʊ ŋ
1620-4				f ɪ n ə n
1282-4				v ɛ l ə n
1136-4				f ɔ s
1309-4				l yː ɡ ə n
1307-4				n eː t
1305-4				f l iː
711-4				v a ʃ p
1442-4				f l iː ɡ ə n
62-4				m ʏ k ə n
-73-4				m ʏ s k iː t
1810-4				h ai t ə n
1805-4				f l ai ʃ
1813-4				h aː r
1811-4				b l ʊ t ə n
690-4				r ɪ f t
2177-4				h ɛ t ə n
246-4				au ɡ ə n + b r yː ɡ ə n
