COGID	dutch	english	french	german
1469-1	z iː n d ə			
2047-1	z iː k			
2054-1	d iː n eː			
1375-1	l aː l			
760-1	m eː d ə			
756-1	n iː r			
726-1	m ɪ d ə r			
1351-1	k l ɛɪ n + d oː x			
1353-1	k l ɛɪ n + d ɔ x t ə r			
412-1	r iː r iː v iː r			
406-1	m oː d ə r			
1005-1	z oː n + d oː r			
1012-1	z ɛ n d ə			
1016-1	m eː d iː n eː			
1069-1	j ɛɪ			
509-1	d ɔ l			
693-1	m ɑ n			
2179-1	d ɛ n t			
1753-1	v iː r k			
1131-1	m ɑ l			
1198-1	b ɛ n			
2032-1	l ɛɪ			
2241-1	k ɛ n			
2244-1	l aː x			
610-1	k iː			
945-1	d ɑ n			
1534-1	k iː k			
384-1	z iː k			
1650-1	d ɔ t			
1663-1	z øː l ɛɪ			
2279-1	l ɛɪ m			
471-1	x aː j			
1385-1	z iː n			
792-1	aː aː j			
1111-1	m ɑ n			
197-1	j ɛɪ			
2020-1	l aː n			
867-1	d oː d ə			
1970-1	v r ɑu w			
1230-1	z ɔ x			
2017-1	j aː			
968-1	m ɛ n			
1674-1	d oː d ə			
1671-1	d iː l			
829-1	k l iː			
1025-1	j ɛ r v ə			
1027-1	d iː r			
1832-1	r iː l			
-1816-1	aː w ə			
-335-1	l ɛɪ m			
1043-1	n iː m			
423-1	+ ɛ n n			
2049-1	m ɑ n			
2062-1	s n ɔ m			
2065-1	r oː m			
1368-1	m eː d ə			
1365-1	d ɛɪ			
754-1	r aː j			
768-1	m eː d ə			
1211-1	v l eː			
106-1	m ɑ n			
-98-1	b aː j			
719-1	r iː r			
1341-1	z iː k			
-2027-1	d ɑ n			
-2026-1	m ɛ k ə			
409-1	z iː l ɛɪ			
402-1	d ɔ l k			
1014-1	z ɛ n d ə r			
1059-1	w iː			
120-1	d ɔ p			
2183-1	b eː			
2194-1	d ɔ f			
2199-1	k ɑ l ɛɪ			
2197-1	k aː p			
1523-1	x aː j			
1521-1	b ʉ l			
512-1	m ɛɪ d ə			
2141-1	d iː n			
2147-1	x aː n			
814-1	k aː p			
810-1	d iː			
1755-1	j øː l			
1758-1	m ɑ n			
1760-1	r øː t			
1620-1	v ɑ ŋ			
1282-1	w aː l			
1136-1	v ɔ r k			
1309-1	l ɔ n			
1307-1	d oː t			
1305-1	v l eː			
711-1	w ɛ r k			
1442-1	v l eː			
62-1	m ɪ d ə			
-73-1	k ɪ n t			
1810-1	d ɔ t			
1805-1	v r aː j			
1813-1	d iː n eː			
1811-1	b aː j			
690-1	d iː r			
2177-1	d eː d ə			
246-1	d ɑ l			
249-1	b ɔ d ə			
1506-1	k ɛ n l			
2242-1	aː n			
2245-1	t ɛ ŋ k			
1196-1	j ɑ ŋ			
2174-1	k oː d ə r			
575-1	b eː			
603-1	z aː j			
601-1	d eː d ə			
615-1	r iː d iː r			
901-1	k aː l			
608-1	d ɔ r k			
596-1	d aː x			
937-1	b ɔ r s t			
936-1	k ɛ n d ə			
646-1	l ʉ x			
947-1	n iː n			
1606-1	d iː p			
472-1	n iː r			
1535-1	z ɔ n			
1546-1	z ɔ t			
1959-1	d ɑ p			
694-1	n iː n eː			
1961-1	n iː l			
323-1	m uː			
1885-1	k r aː n			
2156-1	k oː d ə			
1903-1	m ɛ n d ə			
525-1	m ɛ n			
276-1	l aː n			
274-1	d iː l			
278-1	b l ɪ k			
258-1	d oː r			
256-1	k ɛ n d ə			
383-1	d øː t			
207-1	r ɑ l			
376-1	d iː r			
2009-1	m ɑ m			
2003-1	m ɛ n t			
2024-1	p oː m			
1321-1	k aː p			
