COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	p o ŋ ɛ						
514-1	m i n̪						
464-1	n̪ ɑ						
1020-1	n̪ ɜ x m ɜ n̪						
1355-1	s̪ o						
1464-1	tɕ i						
302-1	b ɑ ŋ						
237-1	l̪ t̪ ɜ l						
205-1	p r̪ ɜ q s̪						
1089-1	l ɜ x m o						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x p ɑ						
286-1	ɾ d u s̪						
717-1	s̪ u m						
269-1	tɕ ɜ t̪ ɜ ŋ						
1512-1	tɕ i n̪						
555-1	ɾ ɜ k ɜ p						
751-1	n̪ ɑ ŋ						
439-1	z̪ o n̪						
601-1	ɕ i ŋ						
320-1	ɾ ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ x m ɜ						
221-1	s̪ k ɜ p ʑ						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k ɜ t̪ ɑ̃						
904-1	l dð o n̪						
1273-1	s̪ u m						
1323-1	s̪ k ɜ m b ɑ						
1127-1	tɕʰ ɜ q s̪						
1529-1	b u						
1175-1	ɾ i ŋ b o						
383-1	s̪ u m						
820-1	l̪ tɕʰ o k						
1636-1	l̪ tɕʰ u n̪						
1331-1	ɾ d ɑ						
1097-1	l dð ɑ m						
1223-1	ʑ ɜ q						
592-1	m e						
1290-1	t̪ r̪ ɜ t̪						
669-1	s̪ u m						
1472-1	s̪ ɑ						
788-1	l dð ɑ						
1191-1	ɾ ɜ x m ɜ						
626-1	m i n̪ p o						
844-1	j ɑ m						
879-1	ʑ ɑ						
1151-1	b i p s̪						
1119-1	j ɑ l						
365-1	s̪ u m						
1480-1	j u n̪						
653-1	g o x p ɑ						
1081-1	ts̪ o ŋ ɛ						
1448-1	p ɑ n̪ tθ e						
1029-1	m e β̞ ɑ						
863-1	ɕ e						
539-1	tθʰ i n̪						
610-1	j ɑ						
350-1	ɾ ɜ ŋ b o						
871-1	p o ŋ ɑ						
734-1	ɾ g ɑ						
431-1	ȵ i						
1298-1	p o ɣ o						
929-1	ts̪ ɜ ŋ m i						
1315-1	t̪ r̪ ɜ n̪						
964-1	m i l p ɑ						
836-1	m i						
1644-1	pʰ ɪ r̪ i ŋ						
547-1	ɜ t̪ ɜ ŋ						
1048-1	k ɜ ɽ ɜ						
1692-1	b o ŋ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o					
522-2		ʊ ɾ g o ŋ					
514-2		m i k					
464-2		s̪ ɜ n̪					
1020-2		s̪ u m					
1355-2		s̪ o s̪					
1464-2		tɕ ɜ t̪					
302-2		b ʑ i ŋ					
237-2		l̪ t̪ ɜ l					
205-2		p r̪ ɛ p ɑ					
1089-2		l ɑ q p o					
804-2		k ɑ ŋ m ɑ					
1263-2		b ɜ x p ɑ					
286-2		ɾ u s̪					
717-2		s̪ ɛ n̪					
269-2		kʰ ɜ p					
1512-2		tɕ i					
555-2		b gʲ ɜ t̪					
751-2		j ɜ ŋ					
439-2		z̪ ʊ s̪					
601-2		ɕ i					
320-2		h ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ q p o					
221-2		s̪ t̪ ɜ					
1199-2		t̪ʰ ɜ x p ɑ					
1424-2		s̪ k ɜ					
904-2		l o b o					
1273-2		s̪ u m					
1323-2		s̪ k ɜ m b ɑ					
1127-2		tɕʰ ɜ q p ɑ					
1529-2		b u					
1175-2		ɾ ɜ x m o					
383-2		s̪ õ s̪					
820-2		l̪ tɕʰ o					
1636-2		l̪ t̪ o ŋ					
1331-2		d̪ ɛ ɾ					
1097-2		l dð ɑ m					
1223-2		ɣ ɑ ŋ					
592-2		m e					
1290-2		tɕ u k					
669-2		s̪ u					
1472-2		s̪ t̪ r̪ ɜ ŋ					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ x m ɑ					
626-2		m i n̪					
844-2		j ɑ m					
879-2		dʑ ɑ					
1151-2		b i ɜ s̪					
1119-2		ɑ j u					
365-2		s̪ ȵ ĩ m ɜ					
1480-2		j u ŋ					
653-2		z̪ ɛ r̪ s̪					
1081-2		ts̪ o ŋ					
1448-2		p ɑ j ɜ n̪					
1029-2		m ɑ					
863-2		ɕ e					
539-2		tθʰ i n̪					
610-2		ɣ ɑ					
350-2		ɣ ɜ ŋ					
871-2		kʰ o ŋ ɑ					
734-2		ɾ i ɾ ɑ					
431-2		kʰ i					
1298-2		z̪ ɛ ɾ					
929-2		ŋ ɜ t̪ ɜ ŋ					
1315-2		tɕ ɜ t̪ s̪					
964-2		m i n̪					
836-2		m i					
1644-2		b u r̪ i ŋ					
547-2		dʑ ɜ t̪					
1048-2		k ɜ s̪					
1692-2		g o x					
1306-2		b u					
405-2		b o ŋ o					
709-3			g o				
522-3			k ɜ ɕ p ɜ				
514-3			m ɪ k				
464-3			s̪ ɑ n̪				
1020-3			s̪ ɛ n̪ m e				
1355-3			s̪ o				
1464-3			tɕ ɜ p				
302-3			b ɜ l ɜ ŋ				
237-3			l̪ t̪ ɜ n̪				
205-3			t̪ r̪ ɜ q p ɜ				
1089-3			l ɜ ɕ p ɜ				
804-3			k ɜ m ɜ				
1263-3			b ɜ q s̪				
286-3			ɾ g u				
717-3			s̪ ɛ n̪ i ŋ				
269-3			kʰʲ ɜ q				
1512-3			tɕ ɪ n̪				
555-3			ɣ ɜ ɕ p ɜ				
751-3			n̪ ɜ q				
439-3			z̪ ɛ ɾ s̪				
601-3			ɕ i				
320-3			ɣ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ n̪ d o				
221-3			s̪ t̪ r̪ ɜ q				
1199-3			t̪ʰ ɜ q				
1424-3			s̪ k r̪ ɜ q				
904-3			l o b ɜ n̪				
1273-3			s̪ ɛ n̪ m e				
1323-3			s̪ k ɜ m				
1127-3			tɕʰ ɜ q				
1529-3			b u				
1175-3			ɾ ĩ m o				
383-3			s̪ t̪ r̪ i ŋ				
820-3			l̪ tɕʰ o				
1636-3			xʲ ʊ n̪				
1331-3			d̪ e				
1097-3			l ɜ m b ɑ				
1223-3			ɣ ɜ ŋ				
592-3			m e β̞				
1290-3			t̪ r̪ u				
669-3			s̪ ɛ n̪				
1472-3			s̪ t̪ ɜ ŋ				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ ɕ p ɜ				
626-3			m ɪ n̪ s̪				
844-3			j ɑ m				
879-3			tɕʰ ɜ q				
1151-3			b ɑ̃ s̪				
1119-3			j ɑ ŋ				
365-3			ɕ ɜ ɕ p ɜ				
1480-3			j u ŋ				
653-3			z̪ u l s̪				
1081-3			ts̪ o ŋ				
1448-3			p ɜ n̪ d e				
1029-3			m e β̞ ɑ				
863-3			ɕ ɜ p				
539-3			tθʰ ɪ n̪				
610-3			ɣ ɑ				
350-3			ɾ ɜ ŋ				
871-3			kʰ o ŋ				
734-3			ɾ ɑ kʰ				
431-3			kʰ i				
1298-3			z̪ ɛ ɾ s̪				
929-3			ts̪ ɜ ŋ				
1315-3			t̪ ɜ n̪ z̪ u s̪				
964-3			m ɪ n̪ ɜ q				
836-3			m ɪ n̪				
1644-3			b u kʰ s̪				
547-3			ɜ t̪ ɜ p				
1048-3			k ɜ p ɽ ɑ				
1692-3			pʰ o x s̪ o				
1306-3			b u				
405-3			b o ŋ o				
709-4				g o			
522-4				k o ŋ			
514-4				m i k			
464-4				s̪ ɑ m			
1020-4				s̪ u m			
1355-4				s̪ o			
1464-4				tɕ o ɣ o			
302-4				β ʑ i ŋ			
237-4				l̪ t̪ o			
205-4				p ɜ r̪ ɜ k z̪ ɜ			
1089-4				l ɜ ɽ ɜ m			
804-4				k ɑ j ɑ			
