COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o ŋ						
522-1	t̪ʰ o ŋ s̪						
514-1	m e β̞ ɑ						
464-1	s̪ u s̪						
1020-1	s̪ u r̪ ʊ p						
1355-1	k o s̪						
1464-1	l̪ tɕʰ o						
302-1	b i ɜ ŋ						
237-1	l̪ tɕʰ o						
205-1	m i n̪ z̪ ɜ						
1089-1	m i n̪ s̪						
804-1	k ɜ ɽ ɜ m						
1263-1	b ɜ n̪ d						
286-1	ɾ d ɜ p s̪						
717-1	s̪ u r̪ ʊ p						
269-1	d̪ ɑ x p o						
1512-1	l̪ tɕʰ o						
555-1	tɕ ɜ ŋ m ɜ						
751-1	l dð ɑ						
439-1	z̪ o						
601-1	ɕ e						
320-1	b ɜ n̪ d						
1106-1	b i ɑ						
693-1	gʲ o x p ɑ						
221-1	s̪ o ŋ s̪						
1199-1	t̪ʰ ɜ l tθ e						
1424-1	s̪ u r̪ o ŋ						
904-1	n̪ o ŋ o						
1273-1	s̪ u r̪ ʊ p						
1323-1	s̪ ɜ ŋ m ɜ						
1127-1	tɕ ɜ ŋ m ɜ						
1529-1	d̪ʲ u						
1175-1	ɾ gʲ o						
383-1	m e β̞ ɑ						
820-1	l̪ tɕʰ o						
1636-1	b i ɜ ŋ						
1331-1	ɾ gʲ o						
1097-1	õ s̪						
1223-1	kʰʲ ɑ ŋ						
592-1	m e						
1290-1	d̪ u k s̪						
669-1	z̪ ɛ ɾ s̪						
1472-1	s̪ o ŋ s̪						
788-1	l dð ɑ						
1191-1	ɾ d ɜ p ɑ						
626-1	m i n̪ s̪						
844-1	kʰʲ ɑ ŋ						
879-1	d̪ʲ u						
1151-1	b i ɜ p s̪						
1119-1	b ɑ						
365-1	s̪ r̪ ɜ p s̪						
1480-1	b ɑ						
653-1	s̪ o ŋ ɑ						
1081-1	kʰ o ŋ						
1448-1	p ɑ j u						
1029-1	m e						
863-1	ɕ e						
539-1	tθʰ o						
610-1	b ɑ						
350-1	kʰ ɜ p						
871-1	kʰ o ŋ						
734-1	ɾ ɑ l						
431-1	kʰ i						
1298-1	g o b i						
929-1	b ɜ ɕ e						
1315-1	t̪ʰ ɜ l tθ ɪ ɾ						
964-1	m i n̪ s̪						
836-1	b i ɑ						
1644-1	b i ɜ p s̪						
547-1	kʰʲ ɑ ŋ						
1048-1	k ɜ ɽ ɜ m						
1692-1	l̪ tɕʰ o						
1306-1	b ɑ						
405-1	b i ɜ ŋ						
294-1	b i ɑ						
661-1	b i ɜ ŋ						
413-1	tɕ ɜ ŋ m ɜ						
996-1	d̪ʲ u n̪						
1012-1	gʲ o x p ɑ						
181-1	pʰ r̪ u						
1660-1	ɾ gʲ u k s̪						
1440-1	d̪ r̪ i õ ŋ						
1652-1	õ s̪						
1037-1	s̪ u r̪ ɜ p						
677-1	h ɜ p o						
1561-1	ɕ ɪ s̪						
447-1	s̪ u r̪ ʊ p						
828-1	ɾ i ŋ ɑ						
1247-1	d̪ʲ u n̪						
391-1	d̪ ɑ x p o						
972-1	ȵ i m ɑ						
531-1	t̪ʰ ɜ l d u m						
253-1	l̪ tɕʰ o						
1282-1	l̪ tɕʰ o						
812-1	tɕ ɜ ŋ m e						
245-1	d̪ r̪ u						
1609-1	k ɜ ɽ ɜ m						
261-1	m i n̪ s̪						
1143-1	m i n̪ s̪						
1065-1	d̪ʲ u k s̪						
1504-1	ɕ ɪ s̪						
1432-1	s̪ o ŋ s̪						
634-1	b i ɑ						
1255-1	l̪ tɕʰ o						
488-1	ɾ gʲ o						
1004-1	ɾ gʲ u						
506-1	l̪ tɕʰ o						
1488-1	tɕ ɜ ŋ m ɜ						
1496-1	b i ɑ						
1073-1	ɾ gʲ o						
1617-1	õ s̪						
1569-1	b i ɑ						
1593-1	ɾ ɑ l						
1585-1	m e β̞ ɑ						
759-1	ȵ i m ɑ						
1415-1	d̪ o						
1215-1	gʲ o x p ɑ						
422-1	m o ŋ s̪						
310-1	tɕ ɜ ŋ m ɜ						
189-1	r̪ ɜ p ɑ						
25-1	s̪ o ŋ s̪						
9-1	l̪ l̪ tɕʰ o						
57-1	kʰ o ŋ s̪						
17-1	s̪ o ŋ s̪						
709-2		g o					
522-2		t̪ʰ õ s̪					
514-2		m e					
464-2		õ s̪					
1020-2		s̪ ɜ r̪ p ɜ					
1355-2		s̪ o					
1464-2		ɸ tɕ u					
302-2		b ɜ n̪ d					
237-2		l̪ tɕʰ o					
205-2		ʑ ɜ n̪ d					
1089-2		s̪ ɜ r̪ p ɜ					
804-2		t̪ʰ ɜ n̪ d					
1263-2		b ɜ n̪ d					
286-2		ɾ d ɜ p s̪					
717-2		s̪ ɛ n̪ d o					
269-2		kʰ ɜ p					
1512-2		l̪ tɕʰ o					
555-2		h ɜ f t̪ ɑ					
751-2		tɕ ɜ ŋ					
439-2		g o					
601-2		ɕ i p ɑ					
320-2		h ɜ f t̪ ɑ					
1106-2		pʰ r̪ u					
693-2		h ɜ f s̪					
221-2		s̪ õ s̪					
1199-2		t̪ʰ ɜ l d u					
1424-2		s̪ u r̪ ʊ p					
904-2		m i n̪ s̪					
1273-2		s̪ ɛ n̪ m ɜ					
1323-2		s̪ ɜ r̪ p ɜ					
1127-2		h ɜ f t̪ ɑ					
1529-2		pʰ r̪ u					
1175-2		g o b i					
383-2		m e					
820-2		l̪ tɕʰ o					
1636-2		ɸ tɕ u					
1331-2		g o b i					
1097-2		l dð ɑ					
1223-2		ɑ ŋ ɑ					
592-2		l dð ɑ					
1290-2		l̪ tɕʰ o					
669-2		s̪ õ s̪					
1472-2		s̪ õ s̪					
788-2		m e					
1191-2		ɾ ɜ p ɑ					
