COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ɾ o g d o ŋ						
514-1	m Ø k						
464-1	ŋ n̪ ɑ						
1020-1	ŋ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ ʈ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q Ø Ø l						
804-1	k ɑ ŋ m ɜ						
1263-1	b ɑ Ø s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ ŋ ɜ q						
1512-1	k tɕ i n̪						
555-1	Ø ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	Ø ŋ ɜ k m ɜ						
1106-1	b u ŋ ŋ						
693-1	h ɜ Ø o Ø ɑ						
221-1	s̪ ʈ ɜ r̪ e						
709-2		g o o					
522-2		o ɣ d o					
514-2		m Ø ɣ					
464-2		n̪ ɑ					
1020-2		n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ					
237-2		l̪ t̪ʰ β̞ ɑ					
205-2		p l ɜ q p ɜ					
1089-2		l ɜ q Ø Ø l					
804-2		ɣ ɑ m ɜ					
1263-2		b ɜ g s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i					
269-2		Ø Ø ɜ q					
1512-2		k tɕ i n̪					
555-2		Ø ɜ ɣ p ɜ					
751-2		n̪ ɜ					
439-2		z̪ g o					
601-2		ɕ i					
320-2		Ø m ɜ k m ɜ					
1106-2		b u m m					
693-2		h ɜ Ø o Ø ɑ					
221-2		s̪ t̪ʰ ɜ r̪ e					
709-3			g o o				
522-3			s̪ Ø ɾ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b r̪ ɜ ŋ				
237-3			l̪ ʈ β̞ ɑ				
205-3			p r̪ ɜ q p ɜ				
1089-3			l ɜ q Ø ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ g s̪ p ɑ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			kʰ r̪ ɜ q				
1512-3			k tɕ i n̪				
555-3			Ø Ø ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			Ø Ø ɜ k m ɜ				
1106-3			b u				
693-3			h ɜ Ø o Ø ɑ				
221-3			s̪ ʈ ɜ r̪ e				
709-4				g o o			
522-4				o Ø ɾ d o ŋ			
514-4				m ɪ ɣ			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɑ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b r̪ ɑ ŋ			
237-4				l̪ ʈ β̞ ɑ			
205-4				p l ɑ q Ø ɑ			
1089-4				l ɜ q Ø ɪ l			
804-4				ɣ ɜ ŋ m ɑ			
1263-4				b ɜ s̪ s̪ p ɑ			
286-4				ɾ u s̪ p ɑ			
717-4				s̪ n̪ i ŋ			
269-4				Ø ɑ q			
1512-4				k tɕ Ø n̪			
555-4				ŋ Ø ɜ ɣ p ɑ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				Ø ɑ k m ɑ			
1106-4				b u s̪ s̪			
693-4				h ɑ Ø o Ø ɑ			
221-4				s̪ ʈ ɑ r̪ e			
709-5					g o o		
522-5					β̞ Ø ɾ d o ŋ		
514-5					m ɪ ɣ		
464-5					s̪ n̪ ɑ		
1020-5					s̪ n̪ ɑ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ e		
302-5					b r̪ ɑ ŋ		
237-5					l̪ ʈ Ø ɑ		
205-5					p l ɑ q p ɑ		
1089-5					l ɑ q Ø ɪ l		
804-5					ɣ ɜ ŋ m ɑ		
1263-5					b ɑ Ø s̪ p ɑ		
286-5					ɾ u s̪ p ɑ		
717-5					s̪ n̪ i ŋ		
269-5					Ø ɑ q		
1512-5					k tɕ i n̪		
555-5					Ø ɑ ɣ p ɑ		
751-5					n̪ ɑ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5					Ø Ø ɑ k m ɑ		
1106-5					b u β̞ β̞		
693-5					h ɑ Ø o Ø ɑ		
221-5					s̪ ʈ ɑ r̪ e		
709-6						g o o	
522-6						m o ɾ d o ŋ	
514-6						m Ø ɣ	
464-6						n̪ ɑ	
1020-6						s̪ n̪ ɑ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						b r̪ ɑ ŋ	
237-6						l̪ ʈ β̞ ɑ	
205-6						p l ɑ q p ɑ	
1089-6						l ɑ q Ø ɪ l	
804-6						ɣ ɜ ŋ m ɑ	
1263-6						b ɑ k s̪ p ɑ	
286-6						ɾ u s̪ p ɑ	
717-6						n̪ i ŋ	
269-6						Ø ɑ q	
1512-6						k tɕ i n̪	
555-6						m Ø ɑ ɣ p ɑ	
751-6						n̪ ɑ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						Ø m ɑ k m ɑ	
1106-6						b u m m	
693-6						h ɑ Ø o Ø ɑ	
221-6						s̪ ʈ ɑ r̪ e	
709-7							g o o
522-7							l z̪ m d o ŋ
514-7							m i k
464-7							n̪ ɑ
1020-7							n̪ ɜ m s̪ u l
1355-7							s̪ o
1464-7							l̪ tɕ Ø
302-7							b r̪ ɜ ŋ
237-7							l̪ ʈ Ø ɑ
205-7							p r̪ ɜ q p ɜ
1089-7							l ɑ q Ø Ø l
804-7							k ɜ ŋ m ɜ
1263-7							b ɑ s̪ p ɑ
286-7							ɾ u s̪ p ɑ
717-7							n̪ i ŋ
269-7							kʰ r̪ ɜ q
1512-7							l̪ tɕ i n̪
555-7							Ø ɑ k p ɜ
751-7							n̪ ɜ ŋ
439-7							s̪ g o
601-7							ɕ i ŋ
320-7							Ø ɜ Ø m ɜ
1106-7							b u m m
693-7							Ø ɜ Ø o r̪ ɑ
221-7							s̪ ʈ ɜ r̪ Ø
