COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
279					Ø ɾ g o		
685					ɾ ɑ l	ɾ ɑ l	ɾ ɑ l
522					Ø ɣ d o ŋ	- Ø d o ŋ	
514						m i k	
464					s̪ n̪ ɑ	s̪ n̪ ɑ	
1355				s̪ o			s̪ o
237						l̪ t̪ β̞ ɑ	
205	p r̪ ɜ q p ɜ				p r̪ ɜ q p ɜ		
573				s̪ ɛ n̪ m Ø	s̪ ɛ n̪ m Ø	s̪ ɛ n̪ m Ø	
804			k ɜ ŋ m ɜ		k ɜ ŋ m ɜ	k ɜ ŋ m ɜ	
1263						b ɜ k s̪ p ɜ	b ɜ x s̪ p ɜ
286			ɾ u s̪ p ɜ				
751				n̪ ɜ ŋ			
1184					h ɜ n̪ d o q		
921	l̪ t̪ ɜ n̪ u s̪				l̪ t̪ ɜ n̪ u s̪		
693			h ɜ Ø o Ø ɑ			h ɜ Ø o Ø ɑ	
221					s̪ t̪ ɜ r̪ e		
1199					t̪ʰ ɑ q p ɜ		t̪ʰ ɜ q p ɜ
374						ɾ ɜ s̪	ɾ ɜ s̪
1167				s̪ s̪ u r̪ Ø p			
1339			ŋ i m ɑ				
1127	tɕʰ ɜ r̪ p ɜ						
1529	tɕʰ u						tɕʰ u
1175				ɾ gʲ ɛ m - o			
1636	x l̪ u ŋ						
1097						l ɜ m	l ɜ m
1223						Ø ɜ ŋ ɑ	
592	m e						
213				t̪ʰ ɑ l - i ɾ	t̪ʰ ɑ l tθ i ɾ		
669					- s̪ ɛ ɾ		
788				l o ŋ ɑ		l o ŋ ɑ	l o ŋ ɑ
1406				tθʰ o q			
1151					b r̪ ɜ s̪		
653	z̪ g o k p ɜ		z̪ g o k p ɜ				z̪ g o k p ɜ
1081							ts̪ o ŋ
342			s̪ s̪ s̪ g o b i				
1029			m ɑ ɾ				m ɑ ɾ
1207				p ɑ j u			
539			tθʰ ɪ l				
350	Ø ɜ ŋ s̪ o				Ø ɜ ŋ s̪ o		
871	o s̪ m ɑ						
734				ɾ β̞ ɑ	ɾ β̞ ɑ	ɾ β̞ ɑ	
1298							o ɾ b u l
887					ɕ ɛ d i		
929						ts̪ ɜ ŋ k i	
1315					t̪ ɑ Ø s̪ k ɜ n̪		
1644	b u s̪ t̪ r̪ i ŋ			b u s̪ t̪ r̪ i ŋ			
358			p r̪ u				
547				ɑ t̪ ɜ			
1048	k ɜ k ɜ		k ɜ k ɜ				k ɜ k ɜ
1701				s̪ t̪ r̪ i ŋ m o			
1306	b s̪ u						
405						b o ŋ o	
767	ɜ ɕ i p ɑ						
1625				z̪ ɑ n̪ z̪ Ø s̪	z̪ ɜ n̪ z̪ Ø s̪	z̪ ɜ n̪ z̪ u s̪	
413							Ø ɜ q
912				gʲ o x s̪ p ɜ			
181			pʰ i r̪ r̪ o -				
1660	g u n̪ d e		g Ø n̪ d e				
896						l z̪ ɑ	
1652			l o		l o		l o
989				s̪ ɜ r̪ ɸ ɜ			
677			Ø ɜ x m o			Ø ɜ k m o	
1561							- ɕ e r̪ p ɑ
447	s̪ k ɜ m b o			s̪ k ɜ m b o		s̪ k ɑ m b o	
828						ɾ i ŋ m o	
