COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	b o						
522-1	b o ŋ o						
514-1	tɕ i k						
464-1	m ɑ						
1020-1	l̪ ʈ ɜ n̪ ʊ s̪						
1355-1	s̪ o						
1464-1	ɕ i						
302-1	t̪ r̪ ɜ ŋ						
237-1	t̪ ɑ						
205-1	m ɜ q p ɑ						
1089-1	g o q s̪						
804-1	t̪ r̪ ɜ ŋ ɑ						
1263-1	b ɑ x p ɑ						
286-1	b u s̪						
717-1	t̪ʰ r̪ ɜ n̪ i ŋ						
269-1	g ɜ q						
1512-1	tɕ i n̪						
555-1	k ɜ k s̪						
751-1	n̪ ɜ ŋ						
439-1	b o						
601-1	tɕ i ŋ						
320-1	ɜ ɕ ɑ						
1106-1	b u						
693-1	b ɜ x m ɑ						
221-1	s̪ k ɜ						
1199-1	t̪ʰ ɜ p m ɑ						
1424-1	t̪ r̪ u k						
904-1	l o l						
1273-1	ɕ ɑ m						
1323-1	s̪ k ɜ m s̪						
1127-1	k ɜ r̪ d ɜ n̪						
1529-1	ɾ u						
1175-1	z̪ o m o						
383-1	s̪ k o l s̪						
820-1	k o k						
1636-1	j u ŋ						
1331-1	s̪ ɑ						
1097-1	l ɜ l						
1223-1	b ɑ ŋ						
592-1	m e						
1290-1	b r̪ u						
669-1	z̪ o s̪						
1472-1	s̪ k ɑ m s̪						
788-1	b o ŋ ɑ						
1191-1	b ɜ q						
626-1	m ɜ n̪						
844-1	m ɑ m						
879-1	b ɑ						
1151-1	k ɜ s̪						
1119-1	b ɑ						
709-2		g o					
522-2		g o ŋ					
514-2		m ɪ k					
464-2		s̪ ɑ					
1020-2		s̪ o n̪ u l s̪					
1355-2		s̪ o					
1464-2		b u					
302-2		tɕ ɜ ŋ					
237-2		h ɜ t̪					
205-2		b ɜ x m ɜ					
1089-2		l ɜ n̪ d					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ k p ɜ					
286-2		ɾ ʊ s̪					
717-2		s̪ u n̪					
269-2		kʰ ɜ q					
1512-2		tɕ i n̪					
555-2		tɕ ɜ k p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ o					
601-2		m i ŋ					
320-2		m ɜ m					
1106-2		b u					
693-2		h ɜ n̪ d ɑ					
221-2		s̪ k ɜ					
1199-2		t̪ʰ ɜ x r̪ o					
1424-2		s̪ u r̪ p ɑ					
904-2		l o n̪					
1273-2		g ɜ n̪					
1323-2		s̪ k ɜ m m ɑ					
1127-2		pʰ ɜ r̪ p ɜ					
1529-2		b u					
1175-2		b ɜ x m o					
383-2		s̪ õ s̪					
820-2		ts̪ o k					
1636-2		b u ŋ					
1331-2		ɾ ɑ ɾ					
1097-2		l ɜ m					
1223-2		ɜ ŋ ɑ					
592-2		m i					
1290-2		b u n̪ d ɜ					
669-2		s̪ õ s̪					
1472-2		s̪ õ s̪					
788-2		l o					
1191-2		ɾ ɜ m p ɑ					
626-2		m ɪ n̪ d o q					
844-2		m ɑ					
879-2		m ɑ					
1151-2		b ʊ s̪					
1119-2		ɑ l u					
709-3			b o				
522-3			b o ŋ				
514-3			m ɪ s̪				
464-3			s̪ ɑ				
1020-3			ɕ ɜ ɕ u				
1355-3			m o				
1464-3			m i				
302-3			t̪ r̪ ɜ ŋ				
237-3			b ɜ m				
205-3			b u l				
1089-3			b ɜ d p o				
804-3			b ɜ ŋ				
1263-3			b ɜ d ɜ p				
286-3			b u s̪				
717-3			s̪ k ɜ ŋ				
269-3			b ɜ q				
1512-3			tɕ ɪ n̪				
555-3			b ɜ k p ɜ				
751-3			b ɜ ŋ				
439-3			b o				
601-3			tɕ i ŋ				
320-3			b i ɜ m				
1106-3			s̪ u				
693-3			h ɜ n̪				
221-3			s̪ t̪ r̪ i ŋ				
1199-3			tθʰ ɜ q				
1424-3			s̪ t̪ r̪ u kʰ				
904-3			b o ŋ s̪				
1273-3			ɕ ɜ m				
1323-3			s̪ k ɜ m				
1127-3			b ɜ ɕ p ɜ				
1529-3			s̪ u				
1175-3			s̪ ɛ m o				
383-3			tɕ ɪ s̪				
820-3			tɕ o k s̪				
1636-3			b u ŋ				
1331-3			t̪ ɑ ɾ				
1097-3			b ɜ m				
1223-3			b ɜ ŋ ɑ				
592-3			m i				
1290-3			b u s̪				
669-3			s̪ t̪ r̪ u				
1472-3			s̪ t̪ r̪ o ŋ				
788-3			m o ŋ				
1191-3			b ɜ m p ɜ				
626-3			m ɪ n̪ d o q				
844-3			m ɑ				
879-3			m ɑ				
1151-3			b ɜ s̪				
1119-3			t̪ ɑ ɾ				
709-4				l̪ tɕʰ o			
522-4				b o ŋ			
514-4				m i k			
464-4				s̪ ɑ			
1020-4				s̪ t̪ ɜ m s̪			
1355-4				s̪ o			
1464-4				tɕ u			
302-4				t̪ r̪ ɜ ŋ			
237-4				ts̪ o ŋ ɑ			
205-4				p ɜ q p ɜ			
