COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	o o g						
522-1							
514-1	m i k						
464-1	ɜ n̥						
1020-1							
1355-1	o s̪						
1464-1							
302-1							
237-1							
205-1							
1089-1							
804-1							
1263-1							
286-1							
717-1	i n̥ ŋ						
269-1	q ʈʂ ɑ						
1512-1							
555-1							
751-1	n̪ ɑ ŋ						
439-1	o g z̪						
601-1	ŋ ɕ i						
320-1							
1106-1	ʊ b						
693-1							
221-1							
1199-1							
1424-1							
904-1							
1273-1	n̥ ɑ m						
1323-1							
1127-1							
1529-1	ʊ tɕʰ						
1175-1							
383-1	l s̪ ɪ						
820-1	k o l̪						
1636-1	l̪ u ŋ						
1331-1							
1097-1	l ɑ m						
1223-1							
592-1	ɛ m tθ						
1290-1							
669-1	s̪ i ɛ r̪						
1472-1							
788-1							
1191-1							
626-1							
844-1	m ɑ						
879-1	ɜ tɕʰ						
1151-1							
1119-1	l u ɑ						
365-1							
1480-1	j u ŋ						
653-1							
1081-1							
1448-1							
1029-1	m ɑ ɾ						
863-1	ɑ ɕ						
539-1							
610-1	ɜ ȵʲ						
350-1							
871-1	o ŋ ɑ						
734-1	ɾ ɑ β̞						
431-1	ɪ kʰ						
1298-1							
929-1							
1315-1							
964-1							
836-1	i m						
1644-1							
547-1	ɜ t̪ ɑ						
1048-1							
1692-1							
1306-1	ʊ b						
405-1							
294-1	ʊ b						
661-1							
413-1	ʑ ɑ x						
996-1							
1012-1							
181-1							
1660-1							
1440-1							
1652-1	o l						
1037-1							
677-1							
1561-1							
447-1							
828-1							
1247-1							
391-1							
972-1							
531-1							
253-1							
1282-1							
812-1							
245-1							
1609-1							
261-1							
1143-1							
709-2		g o o					
522-2							
514-2		m i k					
464-2		ɜ n̥					
1020-2							
1355-2		ɜ s̪					
1464-2							
302-2							
237-2							
205-2							
1089-2							
804-2							
1263-2							
286-2							
717-2		i n̥ ŋ					
269-2		q ʈʂ ɑ					
1512-2							
555-2							
751-2		n̪ ɜ ŋ					
439-2		g o z̪					
601-2		ŋ ɕ i					
320-2							
1106-2		o b					
693-2							
221-2							
1199-2							
1424-2							
904-2							
1273-2		m n̥ ɜ					
1323-2							
1127-2							
1529-2		o tɕʰ					
1175-2							
383-2		l s̪ ɪ					
820-2		k l̪ o					
1636-2		l̪ o ŋ					
1331-2							
1097-2		l ɜ m					
1223-2							
592-2		e m tθ					
1290-2							
669-2		s̪ ɛ b					
1472-2							
788-2							
1191-2							
626-2							
844-2		m ɑ					
879-2		ɜ tɕʰ					
1151-2							
1119-2		l u ɑ					
365-2							
1480-2		j u ŋ					
653-2							
1081-2							
1448-2							
1029-2		m ɑ ɾ					
863-2		ɜ ɕ					
539-2							
610-2		ɜ ȵʲ					
350-2							
871-2		o ŋ ɑ					
734-2		ɾ β̞ ɑ					
431-2		ɪ kʰ					
1298-2							
929-2							
1315-2							
964-2							
836-2		i m					
1644-2							
547-2		ɜ t̪ ɑ					
1048-2							
1692-2							
1306-2		o b					
405-2							
294-2		o b					
661-2							
413-2		ʑ ɜ q					
996-2							
1012-2							
181-2							
1660-2							
1440-2							
1652-2		ɜ l					
1037-2							
677-2							
1561-2							
447-2							
828-2							
1247-2							
391-2							
972-2							
531-2							
253-2							
1282-2							
812-2							
245-2							
1609-2							
261-2							
1143-2							
709-3			o o g				
522-3							
514-3			m ɪ k				
464-3			ɜ n̥				
1020-3							
1355-3			o s̪				
1464-3							
302-3							
237-3							
205-3							
1089-3							
804-3							
1263-3							
286-3							
717-3			i ŋ n̥				
269-3			q ʈʂ ɑ				
1512-3							
555-3							
751-3			n̪ ɜ ŋ				
439-3			o g z̪				
601-3			i ŋ ɕ				
320-3							
1106-3			ʊ b				
693-3							
221-3							
1199-3							
1424-3							
904-3							
1273-3			m n̥ ɑ				
1323-3							
1127-3							
1529-3			ʊ tɕʰ				
1175-3							
383-3			o s̪ l				
820-3			k l̪ o				
1636-3			l̪ u ŋ				
1331-3							
1097-3			l m ɜ				
1223-3							
592-3			e m				
1290-3							
669-3			s̪ ɛ ɾ				
1472-3							
788-3							
1191-3							
626-3							
844-3			m ɜ				
879-3			ɜ tɕʰ				
1151-3							
1119-3			l u ɑ				
365-3							
1480-3			j u ŋ				
653-3							
1081-3							
1448-3							
1029-3			m ɑ ɾ				
863-3			ɑ ɕ				
539-3							
610-3			ɜ ȵʲ				
350-3							
871-3			o m ɑ				
734-3			ɾ β̞ ɑ				
431-3			ɪ kʰ				
1298-3							
929-3							
1315-3							
964-3							
836-3			ɪ m				
1644-3							
547-3			ɑ t̪ ɜ				
1048-3							
1692-3							
1306-3			ʊ b				
405-3							
294-3			ʊ b				
661-3							
413-3			q ʑ ɜ				
996-3							
1012-3							
181-3							
1660-3							
1440-3							
1652-3			o l				
1037-3							
677-3							
1561-3							
447-3							
828-3							
1247-3							
391-3							
972-3							
531-3							
253-3							
1282-3							
812-3							
245-3							
1609-3							
261-3							
1143-3							
709-4				o o g			
522-4							
514-4				k m i			
464-4				ɑ̃ n̥			
1020-4							
1355-4				o s̪			
1464-4							
302-4							
237-4							
205-4							
1089-4							
804-4							
1263-4							
286-4							
717-4				i n̥ ŋ			
269-4				q ʈʂ ɜ			
1512-4							
555-4							
751-4				n̪ ɑ ŋ			
439-4				g o z̪			
601-4				ŋ ɕ i			
320-4							
1106-4				u b			
693-4							
221-4							
1199-4							
1424-4							
904-4							
1273-4				m n̥ ɑ			
1323-4							
1127-4							
1529-4				u tɕʰ			
1175-4							
383-4				l s̪ ɪ			
820-4				k o l̪			
1636-4				ŋ u l̪			
1331-4							
1097-4				l m ɜ			
1223-4							
592-4				e m			
1290-4							
669-4				s̪ ɛ ɾ			
1472-4							
788-4							
1191-4							
626-4							
844-4				m ɑ̃			
