COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	ɾ gʲ ɑ						
514-1	m i						
464-1	s̪ ɑ						
1020-1	s̪ u m ɜ p						
1355-1	s̪ o						
1464-1	l̪ tɕʰ o						
302-1	ɾ d ɜ ŋ						
237-1	l̪ t̪ ɑ m						
205-1	b ɜ n̪ d						
1089-1	l ɜ l tθ ɪ						
804-1	k ɜ ɽ ɜ m						
1263-1	b ɜ t̪ ɜ ŋ						
286-1	ɾ d u n̪						
717-1	s̪ u m						
269-1	kʰ ɜ						
1512-1	tɕ i						
555-1	t̪ r̪ ɜ ŋ						
751-1	n̪ ɑ ŋ						
439-1	dz̪ o ŋ						
601-1	ɕ ɛ t̪						
320-1	t̪ r̪ ɜ ŋ						
1106-1	d̪ʲ u						
693-1	h ɜ n̪						
221-1	s̪ k ɜ p						
1199-1	t̪ʰ ɜ ŋ						
1424-1	s̪ u r̪ ɜ p						
904-1	l dð o						
1273-1	s̪ u m						
1323-1	s̪ k ɑ m						
1127-1	t̪ r̪ ɜ ŋ						
1529-1	d̪ʲ u						
1175-1	ɾ d u n̪						
383-1	s̪ u m						
820-1	l̪ tɕʰ o						
1636-1	d̪ r̪ u l						
1331-1	ɾ d u n̪						
1097-1	n̪ ɑ m						
1223-1	t̪ ɜ ŋ						
592-1	m e						
1290-1	t̪ r̪ u k						
669-1	t̪ r̪ ɜ k						
1472-1	s̪ u m						
788-1	l dð ɑ						
1191-1	ɾ d ɜ p						
626-1	n̪ ɑ m						
844-1	m ɑ						
879-1	d̪ʲ ɑ						
1151-1	ɾ gʲ ɑ						
1119-1	l ɑ						
365-1	t̪ r̪ ɜ ŋ						
1480-1	j ɑ ŋ						
653-1	z̪ ɛ ɾ s̪						
1081-1	d̪ o ŋ						
1448-1	p ɜ n̪ d						
1029-1	m e						
863-1	b ɑ						
539-1	n̪ ɑ m						
610-1	kʰʲ ɑ						
350-1	t̪ ɜ ŋ						
871-1	ts̪ ɑ m						
734-1	ɾ d u						
431-1	b i						
1298-1	ɾ d u n̪						
929-1	t̪ r̪ ɜ ŋ						
1315-1	t̪ r̪ ɜ ŋ						
964-1	m i n̪ s̪						
836-1	m i						
1644-1	ɾ d u n̪						
547-1	ɜ ŋ ɑ						
1048-1	k ɜ ɽ ɜ						
1692-1	d̪ o n̪						
1306-1	d̪ʲ u						
405-1	tɕʰ o ŋ						
294-1	d̪ʲ u						
661-1	tɕʰ o ŋ						
413-1	b ɜ n̪						
996-1	ɽ ɜ m						
1012-1	t̪ r̪ u						
181-1	pʰ r̪ o						
1660-1	g ʊ r̪ ɜ						
1440-1	d̪ o n̪						
1652-1	l o						
1037-1	t̪ r̪ ɜ ŋ						
677-1	t̪ r̪ ɜ ŋ						
1561-1	ɕ ɛ d ɜ						
447-1	s̪ o ŋ ɑ						
828-1	ɾ gʲ ɑ						
1247-1	tɕ ɜ t̪						
391-1	tɕʰ ɜ n̪						
972-1	ȵ i m o						
531-1	t̪ʰ ɜ x p ɑ						
253-1	gʲ o						
1282-1	t̪ r̪ u l						
812-1	j ɑ ŋ						
245-1	t̪ʰ r̪ u l						
1609-1	k ɑ m						
261-1	n̪ ɑ m						
1143-1	n̪ ɑ m						
709-2		g o					
522-2		b gʲ ɜ					
514-2		m i n̪					
464-2		s̪ u m					
1020-2		s̪ u r̪ ʊ p s̪					
1355-2		s̪					
1464-2		l̪ tɕʰ o					
302-2		b gʲ ɜ ŋ					
237-2		l̪ tɕʰ ɑ					
205-2		tɕʰ ɜ q p ɑ					
1089-2		l dð ɑ					
804-2		k ɑ ŋ m ɑ					
1263-2		tɕ ɜ ŋ m ɜ					
286-2		tɕ u s̪					
717-2		s̪ t̪ r̪ i ŋ					
269-2		kʰ ɜ p					
1512-2		tɕ i					
555-2		ŋ ɜ t̪ ɜ ŋ					
751-2		n̪ ɜ m ɑ					
439-2		z̪ ɛ ɾ					
601-2		ɕ i p ɑ					
320-2		ŋ ɜ t̪ ɜ q p					
1106-2		b i ɜ					
693-2		h ɜ n̪ d o q					
221-2		s̪ t̪ r̪ ɜ ŋ					
1199-2		t̪ʰ ɜ l d u					
1424-2		s̪ u r̪ ʊ p					
904-2		l o x					
1273-2		s̪ ɛ n̪ m ɜ					
1323-2		s̪ t̪ r̪ ɜ m					
1127-2		tɕʰ ɜ q p ɑ					
1529-2		d̪ʲ u					
1175-2		b gʲ ɜ t̪					
383-2		s̪ u r̪ ʊ p					
820-2		l̪ t̪ o					
1636-2		d̪ r̪ u l					
1331-2		ʊ ɾ ɑ l					
1097-2		n̪ ɑ m					
1223-2		ŋ ɜ t̪ ɑ					
592-2		m e					
1290-2		tɕ u k					
669-2		s̪ u m					
1472-2		s̪ u m					
788-2		l dð ɑ					
1191-2		ɾ d ɜ p					
626-2		m i n̪ d o					
844-2		p ɑ					
879-2		d̪ʲ ɑ					
1151-2		b gʲ ɜ t̪ s̪					
1119-2		j ɑ l					
365-2		s̪ t̪ r̪ i m ɜ					
1480-2		pʰ r̪ u					
653-2		z̪ ɛ ɾ					
1081-2		d̪ ɛ n̪					
1448-2		p ɑ j u					
1029-2		l dð ɑ					
863-2		ɣ ɑ					
539-2		ts̪ o q					
610-2		j ɑ					
350-2		ŋ ɑ					
871-2		kʰ ɑ					
734-2		ɾ d ɑ					
431-2		kʰ i					
1298-2		b gʲ ɜ t̪					
929-2		kʰ i d ɜ ŋ					
1315-2		tɕ ɜ ŋ m ɛ n̪					
964-2		m i n̪ d ɜ					
836-2		m e					
1644-2		tɕ u k					
547-2		ŋ ɑ j ɑ					
1048-2		ɾ ɜ s̪					
1692-2		d̪ ɛ n̪					
1306-2		b d u					
405-2		kʰ o ŋ					
294-2		d̪ʲ u					
661-2		kʰ o ŋ					
413-2		tɕʰ ɜ q p o					
996-2		kʰ ɜ p					
1012-2		tɕ o ŋ ɜ s̪					
181-2		pʰ r̪ i					
1660-2		g ɜ n̪ d o					
1440-2		d̪ ɛ n̪					
1652-2		l o					
1037-2		tɕ ɜ ŋ m ɛ n̪					
677-2		f ɜ n̪ d o q					
1561-2		ɜ ɕ i p ɑ					
447-2		s̪ ɛ n̪ m ɜ					
828-2		ɾ i ŋ ɑ					
1247-2		tɕ ɜ t̪					
391-2		g r̪ o ŋ					
972-2		ȵ i m ɑ					
531-2		t̪ʰ ɜ l tθ i ɾ					
253-2		tɕ o					
1282-2		pʰ r̪ u m					
812-2		j ɑ ŋ					
245-2		pʰ r̪ u					
1609-2		n̪ ɑ m					
261-2		n̪ ɑ m					
1143-2		m e β̞ ɑ					
709-3			g o				
522-3			β gʲ ɜ t̪				
514-3			m ɪ k				
464-3			k ɑ				
1020-3			s̪ ɛ n̪ m ɑ				
1355-3			k o				
1464-3			l̪ tɕʰ o				
302-3			β gʲ ɜ t̪				
237-3			l̪ tɕʰ ɑ				
205-3			h ɜ f t̪ ɑ				
1089-3			l ɜ q				
804-3			k ɜ n̪ m				
1263-3			b ɜ n̪ d				
286-3			ɾ g ɜ p				
717-3			s̪ ɛ k e				
269-3			kʰ ɜ p				
1512-3			tɕʰ ɪ n̪				
555-3			ŋ ɜ t̪ ɜ ŋ				
751-3			t̪ r̪ ɜ ŋ				
439-3			z̪ ʊ s̪				
601-3			ɕ i s̪				
320-3			ŋ ɜ t̪ ɜ m				
1106-3			d̪ e				
693-3			h ɜ f t̪ ɑ				
221-3			s̪ ɛ n̪ m ɑ				
1199-3			t̪ʰ ɜ̃ l ɜ				
1424-3			s̪ u m				
904-3			l dð ɑ				
1273-3			s̪ ɛ n̪ m				
1323-3			s̪ ɛ n̪ m ɑ				
1127-3			tɕʰ ɜ p				
1529-3			d̪ e				
1175-3			β gʲ ɜ k				
383-3			t̪ r̪ u kʰ				
820-3			l̪ tɕʰ o				
1636-3			l̪ tɕʰ ɑ				
1331-3			ɾ g u				
1097-3			l ɜ m				
1223-3			ŋ ɜ t̪ ɜ				
592-3			m e				
1290-3			t̪ r̪ ɜ p				
669-3			õ s̪				
1472-3			s̪ ɛ n̪ m ɑ				
788-3			l dð ɑ				
1191-3			ɾ ɜ p ɜ				
626-3			m e β̞ ɑ				
844-3			n̪ ɑ m				
879-3			tɕʰ ɑ				
1151-3			β gʲ ɜ t̪ s̪				
1119-3			n̪ ɑ m				
365-3			ŋ ɜ t̪ ɜ m				
1480-3			j ɑ ŋ				
653-3			z̪ ʊ s̪				
1081-3			ts̪ o ŋ				
1448-3			p ɑ j u				
1029-3			m ɑ				
863-3			ɣ ɑ				
539-3			ts̪ ɑ m				
610-3			s̪ ɑ				
350-3			ŋ ɑ				
871-3			ts̪ ɑ m				
734-3			ɾ d ɑ				
431-3			b ʑ i				
1298-3			β gʲ ɜ t̪				
929-3			t̪ r̪ ɜ ŋ				
1315-3			t̪ r̪ ɜ p				
964-3			m ɪ n̪ s̪				
836-3			m i				
1644-3			b ɛ t̪ ɜ ŋ				
547-3			ŋ ɜ t̪ ɜ				
1048-3			k ɜ s̪				
1692-3			tɕʰ o q				
1306-3			d̪ e				
405-3			tɕʰ o ŋ				
294-3			d̪ e				
661-3			tɕʰ o ŋ				
413-3			tɕʰ ɜ q				
996-3			kʰ ɜ p				
1012-3			t̪ r̪ ɑ ŋ				
181-3			d̪ i				
1660-3			g ɑ̃ m ɑ				
1440-3			d̪ i k				
1652-3			l o				
1037-3			t̪ r̪ ɜ ŋ				
677-3			ŋ ɜ t̪ ɑ				
1561-3			tɕʰ ɜ q				
447-3			s̪ ɛ k e				
828-3			ɾ g o				
1247-3			tɕ ɜ t̪ s̪				
391-3			tɕʰ ɜ q				
972-3			ȵ i m o				
531-3			t̪ʰ ɜ l b i				
253-3			tɕ o				
1282-3			pʰ r̪ u p				
812-3			j ɑ ŋ				
245-3			t̪ʰ r̪ u				
1609-3			k ɑ m				
261-3			n̪ ɑ m				
1143-3			ts̪ ɑ m				
709-4				g o			
522-4				gʲ o ŋ			
514-4				m i n̪			
464-4				s̪ ɑ m			
1020-4				s̪ ɛ r̪ ɸ ɑ			
1355-4				s̪			
1464-4				l̪ tɕʰ o			
302-4				b gʲ ɜ ŋ			
237-4				l̪ t̪ ɜ			
205-4				p ɜ r̪ ɜ k			
1089-4				l dð ɑ			
804-4				k ɜ ɽ ɜ m			
1263-4				gʲ ɜ t̪			
286-4				ɾ ɛ ɾ s̪			
717-4				s̪ ɪ n̪			
269-4				kʰ ɜ p			
1512-4				tɕ ɪ k			
555-4				s̪ ɜ r̪ ɸ ɑ			
751-4				k ɜ p ɜ			
439-4				z̪ ʊ s̪			
601-4				ɕ i ŋ			
320-4				ŋ ĩ t̪ ɜ̃ s̪			
1106-4				d̪ʲ u			
693-4				h ɜ f t̪ ɜ			
221-4				s̪ ɛ r̪ ɜ p			
1199-4				t̪ʰ ɜ l ɜ			
1424-4				s̪ u r̪ ʊ p			
904-4				l dð ɑ			
1273-4				t̪ r̪ ɜ k			
1323-4				s̪ ɜ r̪ ɸ ɑ			
1127-4				tɕʰ ɜ q p o			
1529-4				d̪ʲ u			
1175-4				gʲ ɜ t̪			
383-4				s̪ u m			
820-4				l̪ tɕʰ o			
1636-4				d̪ r̪ u ŋ			
1331-4				ʊ ɾ g u			
1097-4				p ɑ j u			
1223-4				kʰʲ ɑ ŋ			
592-4				n̪ ɑ m			
1290-4				t̪ r̪ u k			
669-4				z̪ ɛ ɾ s̪			
1472-4				s̪ ɛ r̪ i			
788-4				l dð ɑ			
1191-4				gʲ ɜ t̪			
626-4				m e β̞ ɑ			
844-4				n̪ ɑ m			
879-4				ɣ ɑ			
1151-4				b gʲ ɜ k s̪			
1119-4				j ɑ l			
365-4				s̪ ɛ r̪ ɸ ɑ			
1480-4				j ɑ ŋ			
653-4				z̪ ɛ ɾ s̪			
1081-4				d̪ o ŋ			
1448-4				p ɜ r̪ ɜ k			
1029-4				n̪ ɑ m			
863-4				ɑ ɕ e			
539-4				n̪ ɑ m			
610-4				kʰʲ ɑ ŋ			
350-4				kʰʲ ɑ ŋ			
871-4				ts̪ o ŋ			
734-4				ɾ ɑ l			
431-4				kʰ e			
1298-4				d̪ r̪ u l			
929-4				kʰ ɜ p ɜ k			
1315-4				t̪ r̪ ɜ k s̪			
964-4				m i n̪ s̪			
836-4				m e			
1644-4				b gʲ u k s̪			
547-4				kʰʲ ɑ ŋ			
1048-4				k ɜ p ɽ ɜ			
1692-4				t̪ o k			
1306-4				d̪ʲ u			
405-4				kʰ o ŋ			
