COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	s̪ o g d o ŋ						
514-1	m Ø k						
464-1	ŋ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ Ø						
302-1	b l ɜ ŋ						
237-1	l̪ ʈ Ø ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q Ø Ø l						
804-1	k ŋ m ɜ						
1263-1	b ɜ Ø s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ s̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	Ø ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	Ø s̪ ɜ x m ɜ						
1106-1	b u s̪ s̪						
693-1	h ɜ Ø o Ø ɑ						
221-1	s̪ ʈ ɜ r̪ Ø						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u ʈ p ɜ						
904-1	l z̪ o ʈ						
1273-1	k n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m Ø o						
383-1	p s̪ Ø l						
820-1	l̪ o k						
1636-1	k l̪ u ŋ						
1331-1	o ɾ d̪ Ø ɑ						
1097-1	l ɜ m						
1223-1	Ø ɜ ŋ						
592-1	m Ø						
1290-1	t̪ u ʈ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ ʈ ɑ g i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m Ø n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɜ						
1081-1	Ø o ŋ						
1448-1	p ɑ g ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	Ø Ø l						
610-1	Ø ɑ						
350-1	Ø ɜ ŋ s̪ o						
871-1	o s̪ ŋ ɑ						
734-1	ɾ Ø ɑ						
431-1	kʰ i						
1298-1	s̪ o g b o l						
929-1	Ø ɜ ŋ k i						
1315-1	ʈ x s̪ k ɜ n̪						
964-1	m i n̪ ʈ ɜ Ø s̪						
836-1	m i						
1644-1	b u s̪ ʈ r̪ i ŋ						
547-1	ʈ ɜ						
