COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ŋ ʊ g d o ŋ						
514-1	m Ø k						
464-1	ŋ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q Ø Ø l						
804-1	k ŋ m ɜ						
1263-1	b ɑ Ø s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ s̪ ɜ q						
1512-1	k tɕ i n̪						
555-1	Ø ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	Ø s̪ ɜ k m ɜ						
1106-1	b u ŋ ŋ						
693-1	h ɜ Ø o Ø ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u t̪ p ɜ						
904-1	l z̪ o t̪						
1273-1	k n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m Ø o						
383-1	p s̪ Ø l						
820-1	l̪ o k						
1636-1	k l̪ u ŋ						
1331-1	ʊ ɾ d̪ β̞ ɑ						
1097-1	l ɜ m						
1223-1	Ø ɜ ŋ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	k s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ g i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m Ø n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
709-2		g o o					
522-2		o ɣ d o ŋ					
514-2		m Ø ɣ					
464-2		n̪ ɑ					
1020-2		n̪ ɜ m s̪ u l					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ ŋ					
237-2		l̪ t̪ʰ β̞ ɑ					
205-2		p l ɜ q p ɜ					
1089-2		l ɜ q Ø Ø l					
804-2		ɣ ɑ ŋ m ɜ					
1263-2		b ɜ g s̪ p ɑ					
286-2		ɾ u s̪ p ɜ					
717-2		s̪ n̪ i ŋ					
269-2		Ø Ø ɜ q					
1512-2		k tɕ i n̪					
555-2		Ø ɜ ɣ p ɜ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		Ø m ɜ k m ɜ					
1106-2		b u m m					
693-2		h ɜ Ø o Ø ɑ					
221-2		s̪ t̪ʰ ɜ r̪ e					
1199-2		t̪ʰ ɑ q p ɜ					
1424-2		s̪ ɣ u t̪ʰ p ɜ					
904-2		l z̪ o t̪ʰ					
1273-2		k n̪ ɜ m					
1323-2		s̪ ɣ ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ m ɑ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɛ m Ø o					
383-2		p s̪ Ø l					
820-2		l̪ o ɣ					
1636-2		o l̪ u ŋ					
1331-2		u ɾ d̪ β̞ ɑ					
1097-2		l ɜ m					
1223-2		Ø ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		t̪ʰ u t̪ʰ p ɜ					
669-2		m s̪ ɛ ɾ					
1472-2		s̪ t̪ʰ ɑ ɣ Ø i					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɜ					
626-2		m ɑ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b tʰ ɜ s̪					
1119-2		ɑ l u					
