COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	n̪ o ŋ s̪						
514-1	m i n̪						
464-1	s̪ dð ɑ						
1020-1	s̪ k ɜ l s̪						
1355-1	s̪ o						
1464-1	t̪ʰ ũ ŋ s̪						
302-1	b r̪ ɜ ŋ						
237-1	l̪ ʈ ɜ n̪						
205-1	p ɑ ɣ ɜ n̪						
1089-1	n̪ ɑ q p o						
804-1	k ɜ k ɑ						
1263-1	b ɑ r̪ p ɑ						
286-1	ɾ d u m						
717-1	s̪ k ɜ m						
269-1	lʲ ɜ q						
1512-1	t̪ʰ ũ ŋ s̪						
555-1	k ɜ k ɑ						
751-1	n̪ ɑ q						
439-1	g o ɾ						
601-1	ɕ i p ɑ						
320-1	lʲ ɜ q						
1106-1	b u						
693-1	n̪ ɑ q p ɑ						
221-1	s̪ k ɜ m						
1199-1	t̪ʰ ɜ l tθ e						
1424-1	s̪ k ɜ m b ɑ						
904-1	l dð o						
1273-1	s̪ k ɜ m						
1323-1	s̪ k ɜ m ɜ						
1127-1	tɕʰ ɜ q s̪						
1529-1	pʰ u						
1175-1	ɾ gʲ ɛ n̪						
383-1	s̪ k ɜ m s̪						
820-1	l̪ tɕʰ o						
1636-1	ʑ i						
1331-1	ɾ d u n̪						
1097-1	l dð ɑ						
1223-1	g ɑ ŋ						
592-1	m e						
1290-1	t̪ r̪ u k						
669-1	s̪ ȵ ɛ r̪ m						
1472-1	s̪ k ɜ m b i						
788-1	l dð ɑ						
1191-1	ɾ d ɜ p						
626-1	m i n̪ p o						
844-1	m ɑ ɾ						
879-1	g ɑ						
1151-1	b ɜ s̪						
1119-1	g ɑ ɾ						
709-2		g o					
522-2		o m o x					
514-2		m i n̪					
464-2		s̪ ɛ n̪					
1020-2		s̪ ɛ n̪ m ɜ					
1355-2		s̪					
1464-2		tɕ u k					
302-2		b ɑ ŋ					
237-2		tɕ ɜ t̪					
205-2		p ɑ r̪ p ɜ					
1089-2		l ɜ n̪ d o q					
804-2		k ɑ r̪ p ɑ					
1263-2		tɕ ɜ t̪ s̪					
286-2		ʊ ɾ z̪ ʊ s̪					
717-2		s̪ t̪ r̪ i ŋ					
269-2		kʰ ɜ p					
1512-2		tɕ i n̪					
555-2		l̪ t̪ ɜ n̪ u					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i p ɑ					
320-2		lʲ ɜ x m ɑ					
1106-2		b u					
693-2		h ɜ n̪ d o					
221-2		s̪ t̪ r̪ i ŋ					
1199-2		t̪ʰ ɜ l tθ i ɾ					
1424-2		s̪ t̪ r̪ i ŋ					
904-2		l o x s̪					
1273-2		s̪ ɛ n̪ m ɜ					
1323-2		s̪ k ɜ m b i					
1127-2		lʲ ɜ x					
1529-2		pʰ r̪ u					
1175-2		gʲ ɜ x m o					
383-2		s̪ u n̪					
820-2		d̪ o k					
1636-2		b ʑ i					
1331-2		ʊ ɾ g o					
1097-2		l dð ɑ m					
1223-2		bʲ ɜ ŋ					
592-2		m i					
1290-2		tɕ u k					
669-2		s̪ ȵ ɛ n̪					
1472-2		s̪ t̪ r̪ i ŋ					
788-2		l dð ɑ					
1191-2		ɾ ɑ m p ɑ					
626-2		m ĩ n̪ d o q					
844-2		ɣ ɑ					
879-2		ɣ ɑ					
1151-2		b ɜ s̪					
1119-2		g ɑ					
709-3			g o b o				
522-3			pʰ r̪ i ŋ				
514-3			m ɪ n̪				
464-3			s̪ ɛ n̪				
1020-3			s̪ t̪ r̪ i ŋ				
1355-3			s̪ o				
1464-3			tɕ ɪ k				
302-3			b ʑ ɜ ŋ				
237-3			l̪ ʈ ɜ t̪				
205-3			p ɜ q p ɜ				
1089-3			l ɜ x m o				
804-3			k ɜ ɕ b ɜ				
1263-3			b ɜ p t̪ ɑ				
286-3			ɾ ĩ m ɜ				
717-3			s̪ ȵ r̪ i ŋ				
269-3			l̪ ʈ ɜ n̪				
1512-3			tɕ ɪ k				
555-3			l̪ ʈ ɜ k ɜ				
751-3			ɜ t̪ ɑ				
439-3			z̪ g o ɾ				
601-3			ɕ i				
320-3			lʲ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ n̪ d e				
221-3			s̪ t̪ r̪ i ŋ				
1199-3			t̪ʰ ɜ l d e				
1424-3			s̪ t̪ r̪ i ŋ				
904-3			l o q				
1273-3			s̪ ɛ n̪ m o				
1323-3			s̪ k ɜ m b ɜ				
1127-3			tɕʰ ɜ q				
1529-3			b u				
1175-3			gʲ ɜ̃ l o				
383-3			s̪ ȵ r̪ i d				
