COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	b o ŋ ɑ						
514-1	m o						
464-1	n̪ ɑ m						
1020-1	pʰ ɜ n̪ u						
1355-1	s̪ o						
1464-1	b u						
302-1	ɾ gʲ ɛ ŋ						
237-1	t̪ r̪ ɜ ŋ						
205-1	t̪ʰ ɜ ŋ						
1089-1	t̪ r̪ ɜ ŋ						
804-1	ŋ ɑ ŋ						
1263-1	ʑ ɜ ŋ						
286-1	ɾ d u						
717-1	s̪ u ŋ						
269-1	kʰ ɜ ŋ						
1512-1	ʑ i ŋ						
555-1	ɾ gʲ o						
751-1	t̪ ɜ ŋ						
439-1	d̪ o						
601-1	m i ŋ						
320-1	ɾ gʲ ɑ ŋ						
1106-1	b u						
693-1	b o ŋ o						
221-1	s̪ u k s̪						
1199-1	t̪ʰ ɜ q s̪						
1424-1	s̪ u m						
904-1	ŋ o						
1273-1	s̪ u						
1323-1	s̪ u m						
1127-1	tɕ ɜ ŋ						
1529-1	b u						
1175-1	ɾ gʲ ɑ ŋ						
383-1	s̪ u						
820-1	d̪ o						
1636-1	b u						
1331-1	ɾ gʲ u						
1097-1	t̪ ɜ ŋ						
1223-1	tɕ ɜ ŋ						
592-1	ŋ ɑ						
1290-1	t̪ r̪ u k						
669-1	s̪ u						
1472-1	s̪ u						
788-1	l o ŋ o						
1191-1	ɾ ɜ m o						
626-1	m o ŋ o						
844-1	n̪ ɑ m						
879-1	g ɑ						
1151-1	ɾ gʲ ɛ s̪						
1119-1	b u						
365-1	s̪ u m						
1480-1	b u						
653-1	g o x p ɑ						
1081-1	b o ŋ o						
1448-1	n̪ ɑ ŋ						
1029-1	n̪ ɑ m						
863-1	ɕ e						
539-1	kʰ o ŋ						
610-1	b ɑ						
350-1	b ɜ ŋ						
871-1	n̪ ɑ m						
734-1	ɾ gʲ ɑ						
431-1	kʰ i						
1298-1	m o						
929-1	b ɜ ŋ						
1315-1	m o s̪						
964-1	m i ŋ o						
836-1	m i ŋ						
1644-1	d̪ʲ u n̪						
547-1	m o						
1048-1	ɾ gʲ ɑ						
1692-1	b o ŋ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o					
522-2		k o ŋ					
514-2		g o					
464-2		g o					
1020-2		s̪ u m					
1355-2		s̪ k o					
1464-2		tɕ ɜ q					
302-2		b i ɜ					
237-2		l̪ t̪ o					
205-2		b ɜ n̪					
1089-2		b ɜ n̪ d					
804-2		g ɑ ŋ					
1263-2		b ɜ n̪ d					
286-2		g u n̪					
717-2		s̪ u					
269-2		b gʲ ɜ					
1512-2		tɕ i					
555-2		d̪ ɜ ŋ					
751-2		g ɑ					
439-2		g o					
601-2		ɕ i ŋ					
320-2		b gʲ ɜ					
1106-2		b u					
693-2		h ɜ x p o					
221-2		s̪ k ɜ n̪					
1199-2		kʰ o ŋ					
1424-2		s̪ k u					
904-2		l o					
1273-2		s̪ k ɑ					
1323-2		s̪ k ɜ m					
1127-2		tɕ ɜ n̪					
1529-2		tɕ u					
1175-2		g i m o					
383-2		s̪ u m					
820-2		tθʰ o					
1636-2		ȵ i ŋ					
1331-2		g o					
1097-2		g ɑ					
1223-2		g o					
592-2		m o					
1290-2		d̪ʲ u n̪					
669-2		s̪ u					
1472-2		g o ŋ					
788-2		m o					
1191-2		g ɑ m					
626-2		ɕ i ŋ					
844-2		j ɑ ŋ					
879-2		g ɑ					
1151-2		l̪ t̪ ɜ n̪					
1119-2		g o					
365-2		s̪ k ɑ m					
1480-2		g u					
653-2		ȵ o ŋ ɑ					
1081-2		ts̪ o					
1448-2		j ɑ ŋ					
1029-2		ŋ ɑ					
863-2		ŋ ɑ					
539-2		tθʰ o					
610-2		g o					
350-2		g o					
871-2		m o					
734-2		g o					
431-2		kʰ i					
1298-2		g o ŋ					
929-2		b ɜ ŋ					
1315-2		g o b ɜ ŋ					
964-2		m i ŋ m ɜ					
836-2		g o					
1644-2		b i s̪					
547-2		g ɑ					
1048-2		b ɜ t̪					
1692-2		g o					
1306-2		b u					
405-2		b o					
709-3			g o				
522-3			kʰ o				
514-3			m ɪ n̪				
464-3			s̪ ɑ				
1020-3			m ɜ q				
1355-3			g o				
1464-3			tɕ ɜ				
302-3			b ɜ ŋ				
237-3			l̪ t̪ o				
205-3			l ɜ q p ɜ				
1089-3			tɕ ɜ q				
804-3			tɕ ɜ q				
1263-3			b ɜ n̪				
286-3			s̪ u				
717-3			s̪ u m				
269-3			t̪ʰ ɜ q				
1512-3			tɕ i				
555-3			tɕ ɜ q				
751-3			kʰ ɜ q				
439-3			kʰ o				
601-3			ɕ i				
320-3			tɕ ɜ q				
1106-3			b u				
693-3			h ɜ t̪ ɜ				
