COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	t̪ʰ o ŋ						
514-1	m o						
464-1	õ s̪						
1020-1	z̪ ɜ n̪ ʊ s̪						
1355-1	s̪ o						
1464-1	pʰ r̪ u						
302-1	ŋ ɑ						
237-1	l̪ tɕʰ o						
205-1	p r̪ ɜ p						
1089-1	l dð ɑ						
804-1	kʰ ɜ ŋ						
1263-1	b ɑ l						
286-1	z̪ ɛ ɾ s̪						
717-1	õ s̪						
269-1	t̪ʰ o ŋ						
1512-1	pʰ r̪ u						
555-1	kʰ ɜ p						
751-1	tɕ ɜ ŋ						
439-1	g oˑ						
601-1	ɕ ɛ d i						
320-1	r̪ ɜ p						
1106-1	pʰ r̪ u						
693-1	d̪ o						
221-1	s̪ k e						
1199-1	t̪ʰ ɜ p						
1424-1	s̪ r̪ ɜ p						
904-1	m o						
1273-1	m e						
1323-1	s̪ k e						
1127-1	tɕ ɜ ŋ						
1529-1	d̪ u						
1175-1	ɾ d u						
383-1	õ s̪						
820-1	l̪ tɕʰ o						
1636-1	d̪ r̪ u						
1331-1	d̪ o						
1097-1	õ s̪						
1223-1	ŋ ɑ						
592-1	m e						
1290-1	d̪ r̪ u						
669-1	õ s̪						
1472-1	s̪ o b i						
788-1	ŋ ɑ						
1191-1	z̪ ɜ p						
626-1	m i n̪						
844-1	d̪ ɑ						
879-1	ɾ ɑ						
1151-1	b r̪ ɜ l s̪						
1119-1	ɾ ɑ l						
365-1	s̪ o ŋ s̪						
1480-1	pʰ r̪ u						
653-1	s̪ o ŋ ɑ						
1081-1	kʰ o ŋ						
1448-1	p ɑ l						
1029-1	ɾ ɑ						
863-1	ɜ ɕ e						
539-1	l dð ɑ						
610-1	ɾ ɑ						
350-1	r̪ ɜ ŋ						
871-1	ŋ ɑ						
734-1	ɾ ɑ						
431-1	kʰ i						
1298-1	t̪ʰ o ŋ						
929-1	ɣ ɜ ŋ						
1315-1	h ɜ k e						
964-1	m i n̪						
836-1	g oˑ						
1644-1	ɾ d u n̪						
547-1	tɕ ɜ ŋ						
1048-1	kʰ ɑ						
1692-1	d̪ o						
1306-1	pʰ r̪ u						
405-1	kʰ o ŋ						
294-1	pʰ r̪ u						
661-1	kʰ o ŋ						
413-1	ŋ ɑ						
996-1	d̪ʲ u n̪						
1012-1	d̪ o						
181-1	d̪ r̪ o						
1660-1	ɾ d u n̪						
1440-1	d̪ r̪ i ŋ						
1652-1	m o						
1037-1	s̪ o ŋ ɜ						
677-1	kʰ ɜ p						
1561-1	z̪ ɜ p s̪						
447-1	k s̪						
828-1	b i ɜ p						
1247-1	tɕ ɜ p						
391-1	t̪ʰ ɜ p o						
972-1	ȵ i m						
531-1	t̪ʰ ɜ ŋ						
253-1	d̪ o						
1282-1	d̪ʲ u n̪						
812-1	tɕ ɜ ŋ						
245-1	d̪ r̪ u						
1609-1	k ɑ m						
261-1	m i p o						
1143-1	tɕ ɜ ŋ						
1065-1	d̪ u k s̪						
1504-1	õ s̪						
1432-1	s̪ u k s̪						
634-1	ȵ i m						
1255-1	d̪ u k s̪						
488-1	ɾ z̪ ɜ						
1004-1	pʰ r̪ u						
506-1	tɕ u k s̪						
1488-1	d̪ r̪ ɜ ŋ s̪						
1496-1	ȵ i m						
1073-1	b ɑ						
1617-1	s̪						
1569-1	pʰ r̪ i						
1593-1	ɾ ɑ						
1585-1	m i m ɑ						
759-1	ɾ ɑ l						
1415-1	d̪ o						
1215-1	s̪ o ŋ s̪						
422-1	s̪ o						
310-1	t̪ʰ ɜ p o						
189-1	ɣ ɑ						
25-1	õ s̪						
9-1	l̪ tɕʰ o						
57-1	t̪ʰ o						
17-1	k o s̪						
709-2		g o					
522-2		kʰ o ŋ					
514-2		m o					
464-2		s̪ õ s̪					
1020-2		t̪ ɜ l r̪ u n̪					
1355-2		s̪					
1464-2		ɸ tɕ u					
302-2		ŋ ɑ					
237-2		l̪ tɕʰ o					
205-2		p ɑ j ɜ					
1089-2		õ s̪					
804-2		kʰ ɜ p					
1263-2		õ s̪					
286-2		ɾ d u s̪					
717-2		õ s̪					
269-2		d̪ ɑ					
1512-2		x ɛ n̪					
555-2		kʰ ɜ p					
751-2		kʰ ɜ ŋ					
439-2		k o					
601-2		ɕ i ŋ					
320-2		kʰ ɜ p					
1106-2		d̪ʲ u					
693-2		tθʰ o					
221-2		s̪ õ s̪					
1199-2		t̪ʰ õ s̪					
1424-2		s̪ u r̪ ʊ p					
904-2		õ s̪					
1273-2		s̪ õ s̪					
1323-2		s̪ õ s̪					
1127-2		h ɜ p					
1529-2		d̪ʲ u					
1175-2		ɾ g o					
383-2		õ s̪					
820-2		d̪ o					
1636-2		d̪ʲ u					
1331-2		ɾ ɑ l					
1097-2		p ɑ					
1223-2		kʰʲ ɑ ŋ					
592-2		m o					
1290-2		d̪ o					
669-2		õ s̪					
1472-2		s̪ ɑ					
788-2		õ s̪					
1191-2		ɾ d ɜ p ɑ					
626-2		m o q					
844-2		ŋ ɑ					
879-2		ŋ ɑ					
1151-2		õ s̪					
1119-2		l dð ɑ					
365-2		õ s̪					
1480-2		d̪ʲ u					
653-2		s̪ õ s̪					
1081-2		kʰ o ŋ					
1448-2		p ɑ l					
1029-2		p ɑ					
863-2		p ɑ					
539-2		tθʰ o					
610-2		ŋ ɑ					
350-2		ɑ ŋ o					
871-2		d̪ o					
734-2		ɾ ɑ l					
431-2		kʰ i					
1298-2		d̪ o					
929-2		kʰ ɜ ŋ					
1315-2		t̪ʰ õ s̪					
964-2		m i n̪					
836-2		m i					
1644-2		b d u n̪					
547-2		kʰʲ ɑ					
1048-2		t̪ʰ õ s̪					
1692-2		m o					
1306-2		d̪ʲ u					
405-2		d̪ o					
294-2		d̪ʲ u					
661-2		d̪ o					
413-2		d̪ ɑ					
996-2		m ɜ n̪					
1012-2		d̪ o					
181-2		d̪ o					
1660-2		z̪ ɛ n̪					
1440-2		kʰ i d ɜ ŋ					
1652-2		m o					
1037-2		s̪ õ s̪					
677-2		tθʰ o					
1561-2		ɾ ɑ l					
447-2		s̪ õ s̪					
828-2		ɪ n̪ d o					
1247-2		ɸ tɕ u					
391-2		kʰ ɜ p o					
972-2		ȵ i m o					
531-2		t̪ʰ r̪ i ŋ ɑ					
253-2		d̪ o					
1282-2		x ɛ n̪					
812-2		ɑ ŋ o					
245-2		d̪ u					
1609-2		d̪ o					
261-2		m e β̞ o					
1143-2		tθʰ o					
1065-2		x ɛ n̪					
1504-2		ɕ i s̪					
1432-2		s̪ u r̪ ʊ					
634-2		ɖʐ i					
1255-2		d̪ o					
488-2		g o					
1004-2		pʰ r̪ u					
506-2		tɕ u k s̪					
1488-2		tɕ ɜ t̪ s̪					
1496-2		ȵ i m ɑ					
1073-2		ŋ ɑ					
1617-2		õ s̪					
1569-2		ɖʐ i					
1593-2		ɾ ɑ					
1585-2		d̪ʲ u n̪					
759-2		kʰʲ ɑ					
1415-2		d̪ o					
1215-2		s̪ õ s̪					
422-2		s̪ õ s̪					
310-2		d̪ o					
189-2		kʰʲ ɑ ŋ					
25-2		k o s̪					
9-2		d̪ o					
57-2		t̪ʰ õ s̪					
17-2		s̪ õ s̪					
709-3			ʊ o				
522-3			k o ŋ				
514-3			kʰ o				
464-3			õ s̪				
1020-3			s̪ r̪ u l s̪				
1355-3			s̪ o				
1464-3			l̪ tɕʰ o				
302-3			kʰʲ ɜ ŋ				
237-3			l̪ tɕʰ o				
205-3			p ɑ j u				
1089-3			õ s̪				
804-3			k ɜ ŋ				
1263-3			kʰʲ ɜ p				
286-3			ɾ d ɜ p				
717-3			s̪ o ŋ				
269-3			l̪ ʈ ɜ p				
1512-3			l̪ tɕʰ o				
555-3			õ s̪				
751-3			kʰ ɜ ŋ				
439-3			t̪ʰ o				
601-3			ɕ i ŋ				
320-3			t̪ʰ ɜ p				
1106-3			l̪ tɕʰ o				
693-3			h ɜ m o				
221-3			s̪ o ŋ				
1199-3			t̪ʰ ɜ p				
1424-3			s̪ o ŋ				
904-3			tθʰ o				
1273-3			l̪ tɕʰ o				
1323-3			s̪ o ŋ				
1127-3			tɕ ɜ p				
1529-3			l̪ tɕʰ o				
1175-3			l̪ tɕʰ o				
383-3			õ s̪				
820-3			l̪ tɕʰ o				
1636-3			pʰ r̪ u ŋ				
1331-3			m e β̞ ɑ				
1097-3			õ s̪				
1223-3			ɣ ɑ				
592-3			l̪ tɕʰ o				
1290-3			kʰ o ŋ				
669-3			õ s̪				
1472-3			s̪ o				
788-3			m o ŋ				
1191-3			ɾ ɜ p				
626-3			m ɪ n̪				
844-3			l̪ tɕʰ o				
879-3			l̪ tɕʰ o				
1151-3			t̪ʰ ɜ l s̪				
1119-3			l dð ɑ				
365-3			õ s̪				
1480-3			j ɑ ŋ				
653-3			s̪ o ŋ				
1081-3			d̪ o ŋ				
1448-3			p ɑ j				
1029-3			l̪ tɕʰ o				
863-3			õ s̪				
539-3			x s̪				
610-3			õ s̪				
350-3			h ɜ m o				
871-3			t̪ʰ o ŋ				
734-3			ɾ ɑ				
431-3			kʰ ɪ n̪				
1298-3			t̪ʰ o q				
929-3			kʰʲ ɜ ŋ				
1315-3			k o s̪				
964-3			m ɪ n̪				
836-3			m ɪ n̪				
1644-3			l̪ tɕʰ o ŋ				
547-3			ɣ ɑ				
1048-3			k ɜ ɽ ɜ m				
1692-3			l̪ tɕʰ o				
1306-3			l̪ tɕʰ o				
405-3			d̪ o ŋ				
294-3			pʰ r̪ u				
661-3			d̪ o ŋ				
413-3			õ s̪				
996-3			ɣ ɑ				
1012-3			t̪ o ŋ				
181-3			d̪ r̪ u				
1660-3			l̪ ʈ ɜ ʊ				
1440-3			d̪ r̪ i ŋ				
1652-3			tθʰ o				
1037-3			s̪ o ŋ				
677-3			tθʰ o				
1561-3			ɕ i p ɑ				
447-3			s̪ o ŋ				
828-3			ɣ r̪ i				
1247-3			tɕ ɜ t̪				
391-3			t̪ʰ o ŋ				
972-3			ȵ i m o				
531-3			t̪ʰ ɜ ŋ				
253-3			d̪ o				
1282-3			pʰ r̪ u				
812-3			tɕ ɜ ŋ				
245-3			l̪ tɕʰ o				
1609-3			kʰ o				
261-3			tθʰ o				
1143-3			l̪ tɕʰ o				
1065-3			l̪ tɕʰ o				
1504-3			ɕ i s̪				
1432-3			õ s̪				
634-3			ȵ i				
1255-3			d̪ o				
488-3			l̪ tɕʰ o				
1004-3			ʊ ɾ s̪				
506-3			pʰ u ɾ s̪				
1488-3			t̪ʰ o ŋ s̪				
1496-3			ȵ i				
1073-3			õ s̪				
1617-3			õ s̪				
1569-3			l̪ tɕʰ o				
1593-3			õ s̪				
1585-3			m o				
759-3			õ s̪				
1415-3			kʰ o ŋ				
1215-3			tθʰ o q s̪				
422-3			s̪ o				
310-3			t̪ʰ ɜ p				
189-3			ɣ ɑ				
25-3			õ s̪				
9-3			l̪ tɕʰ o				
57-3			t̪ʰ o ŋ s̪				
17-3			k o s̪				
709-4				t̪ʰ o			
522-4				d̪ o ŋ			
514-4				m i s̪			
464-4				k o s̪			
1020-4				s̪ u k s̪			
1355-4				s̪ o			
1464-4				l̪ tɕʰ o			
302-4				tɕʲ ɑ ŋ			
237-4				l̪ tɕʰ o			
205-4				p ɑ ŋ			
1089-4				l dð ɑ			
804-4				k ɜ ɽ ɜ m			
1263-4				d̪ r̪ ɜ ŋ			
286-4				z̪ ɛ ɾ s̪			
717-4				õ s̪			
269-4				t̪ʰ o ŋ			
1512-4				l̪ tɕʰ u n̪			
555-4				l̪ tɕʰ ɜ p			
751-4				m o ŋ			
439-4				õ s̪			
601-4				ɕ i ŋ			
320-4				h ɜ l			
1106-4				d̪ʲ u			
693-4				kʰ o ŋ			
221-4				s̪ o ŋ			
1199-4				t̪ʰ ɜ l			
1424-4				s̪ o			
904-4				m o			
1273-4				t̪ʰ ɜ l			
1323-4				s̪ t̪ r̪ ɜ ŋ			
1127-4				t̪ʰ ɜ p			
1529-4				d̪ʲ u			
1175-4				ɾ g o			
383-4				õ s̪			
820-4				l̪ tɕʰ o			
1636-4				d̪ʲ u ŋ			
1331-4				ɾ ɑ l			
1097-4				õ s̪			
1223-4				kʰ ɜ ŋ			
592-4				m e			
1290-4				l̪ tɕʰ o			
669-4				õ s̪			
1472-4				s̪ o ŋ			
788-4				tθʰ o ŋ			
1191-4				ɾ ɑ l			
626-4				m i n̪			
844-4				kʰʲ ɑ ŋ			
879-4				d̪ʲ u			
1151-4				d̪ r̪ u l s̪			
1119-4				l dð ɑ			
365-4				z̪ ɛ ɾ s̪			
1480-4				j ɑ ŋ			
653-4				õ s̪			
1081-4				tθʰ o ŋ			
1448-4				j ɑ ŋ			
1029-4				l dð ɑ			
863-4				ɜ ɕ e			
539-4				õ s̪			
610-4				ɣ ɑ			
350-4				kʰ o ŋ			
871-4				t̪ʰ o ŋ			
734-4				ɾ ɑ l			
431-4				kʰ i			
1298-4				t̪ʰ o ŋ			
929-4				ɣ ɑ ŋ			
1315-4				k o s̪			
964-4				m i n̪			
836-4				m i			
