COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	ɾ d ɜ ŋ						
514-1	m ɪ k						
464-1	s̪ ɑ						
1020-1	n̪ ɜ q s̪						
1355-1	s̪ o						
1464-1	l̪ ɜ n̪						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ɑ						
205-1	b ɜ q p ɑ						
1089-1	l ɜ q l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x s̪ ɑ						
286-1	ɾ u k p ɑ						
717-1	s̪ k i ŋ						
269-1	kʰ ɜ q						
1512-1	tɕ i n̪						
555-1	ʑ ɜ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ o s̪						
601-1	ɕ i ŋ						
320-1	bʲ ɜ x m ɜ						
1106-1	b u						
693-1	g r̪ ɜ s̪ β̞ ɑ						
221-1	s̪ t̪ ɜ q s̪						
709-2		g o					
522-2		ɾ gʲ o ŋ					
514-2		m i k					
464-2		s̪ ɛ ɾ					
1020-2		s̪ k ɜ m l					
1355-2		s̪ o					
1464-2		tɕʰ o					
302-2		b r̪ ɜ ŋ					
237-2		tɕʰ ɜ t̪ ɜ					
205-2		p ɜ ŋ ɜ					
1089-2		l ɜ x					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ k s̪					
286-2		ɾ u s̪					
717-2		s̪ õ s̪					
269-2		kʰ ɜ q					
1512-2		s̪ tɕ ɛ n̪					
555-2		tɕʰ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		tɕʰ ɜ x m ɜ					
1106-2		b u					
693-2		h ɜ n̪					
221-2		s̪ t̪ ɜ r̪ p o					
709-3			g o ŋ o				
522-3			ɾ g o ŋ				
514-3			m ɪ k				
464-3			ɕ ɜ				
1020-3			s̪ k ɜ m n̪				
1355-3			s̪ o				
1464-3			l̪ ɑ				
302-3			b r̪ ɜ ŋ				
237-3			g ɑ ɾ				
205-3			p ɜ q p ɜ				
