COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	v ə t ¹															
6485-1	ˀb ə n ¹															
4690-1	m o n ¹															
5671-1	f ə n ¹															
4272-1	l aː p ¹															
10935-1	ʔ a ¹															
4760-1	f j e n ¹															
1881-1	v a n ¹															
4777-1	h ə t ¹															
10969-1	v a n ¹															
10970-1	ʔ u ¹															
10206-1	v a n ¹															
6565-1	k aː n ¹															
1281-1	ʔ j e n ¹															
10569-1	n a m ¹															
6899-1	pʰ j u ŋ ¹															
7081-1	k o ¹															
4090-1	ⁿd a m ¹															
2197-1	h u m ¹															
3352-1	t i ¹															
3892-1	h ə t ¹															
1071-1	k aː m ¹															
10313-1	m ai ¹															
2671-1	ⁿd j ə t ¹															
5502-1	f aː k ¹															
7382-1	ˀd u n ¹															
932-1	ts i ŋ ¹															
533-1	m ai ¹															
4159-1	v a ¹															
2804-1	f u k ¹															
5451-1	ʔ ai ¹															
5773-1	ʔ au ¹															
6933-1	ʔ au ¹															
4657-1	ʔ au ¹															
4658-1	f j e ŋ ¹															
6966-1	h i ¹															
5351-1	ˀɣ a ¹															
4073-1	ⁿd au ¹															
2163-1	m j e ŋ ¹															
1121-1	f a ¹															
5790-1	t aː ŋ ¹															
10413-1	m a ¹															
6731-1	m a ¹															
1645-1	m a ¹															
4914-1	m a ¹															
6175-1	h a ¹															
3092-1	s i ŋ ¹															
1247-1	l j e n ¹															
5620-1	h j u ¹															
4897-1	ʁ a ¹															
4811-1	pʰ aː ŋ ¹															
1213-1	k aːi ¹															
11019-1	h aː ŋ ¹															
11020-1	k aːi ¹															
2129-1	ʔ e ¹															
3211-1	ŋ aː n ¹															
714-1	n o k ¹															
1729-1	q a ¹															
3679-1	m a ¹															
1054-1	m aːu ¹															
7448-1	m u m ¹															
582-1	m i ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb i n ¹															
2705-1	m o m ¹															
6381-1	ˀb o ŋ ¹															
1017-1	ˀb a ¹															
645-1	l u k ¹															
273-1	m ə t ¹															
4338-1	ˀd j a k ¹															
2533-1	k i ¹															
1089-1	q u p ¹															
843-1	n a n ¹															
2787-1	m̥ a t ¹															
4462-1	z u n ¹															
10918-1	h a n ¹															
6582-1	h ai ¹															
2070-1	k a ¹															
3075-1	ˀŋ aː k ¹															
10848-1	v a ¹															
2480-1	ts ə n ¹															
2214-1	k ai ¹															
7225-1	h ə t ¹															
3515-1	p j a m ¹															
2588-1	ts ə n ¹															
2908-1	p j e k ¹															
2393-1	ˀn a ¹															
1156-1	ŋ au ¹															
2374-1	ⁿd a ¹															
2146-1	f a ¹															
5133-1	ˀn a ŋ ¹															
4981-1	k u k ¹															
10239-1	m a ¹															
599-1	f j u t ¹															
5048-1	p o ¹															
6331-1	h a ¹															
290-1	ȶʰ i n ¹															
311-1	h aː k ¹															
3430-1	m j a ¹															
5369-1	m j a ¹															
2749-1	l o n ¹															
2621-1	l j a p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	h ə t ¹															
3550-1	ɕ u m ¹															
4445-1	p u t ¹															
680-1	l o ŋ ¹															
817-1	t i n ¹															
782-1	pʰ j e t ¹															
10396-1	ˀn j u ¹															
4606-1	n aː n ¹															
5207-1	m a n ¹															
7280-1	l a ¹															
6983-1	ʔ j u t ¹															
5168-1	p u ŋ ¹															
1264-1	q u ¹															
915-1	t o ¹															
1767-1	q u ŋ ¹															
10901-1	k w e ŋ ¹															
10867-1	ˀd o ŋ ¹															
417-1	k aː n ¹															
2285-1	pʰ j e ¹															
11002-1	ʔ i t ¹															
6348-1	m ai ¹															
6349-1	h aː n ¹															
10602-1	ˀb ə n ¹															
5654-1	m j e n ¹															
880-1	l a ¹															
983-1	pʰ aː n ¹															
2033-1	t o ¹															
1433-1	ʔ j a ¹															
1467-1	ˀd u k ¹															
469-1	t j u m ¹															
3127-1	m j a ¹															
4623-1	h a ¹															
7099-1	l j e k ¹															
4726-1	h j e n ¹															
10465-1	ˀb aː n ¹															
5519-1	h ə n ¹															
5893-1	q u n ¹															
2857-1	t i n ¹															
3645-1	f aː n ¹															
3032-1	f j aː n ¹															
2088-1	v j ə n ¹															
2463-1	p u ¹															
