COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	s ə t ¹															
6485-1	p ə n ¹															
4690-1	m o n ¹															
5671-1	f ə n ¹															
4272-1	l aː p ¹															
10935-1	pʰ e ¹															
4760-1	n j Ø n ¹															
1881-1	f a n ¹															
4777-1	ɕ ə t ¹															
10969-1	f a n ¹															
10970-1	Ø u ¹															
10206-1	f a n ¹															
6565-1	k w a n ¹															
1281-1	ʔ j e n ¹															
10569-1	n a m ¹															
6899-1	pʰ j u ŋ ¹															
7081-1	k ui ¹															
4090-1	ⁿd a m ¹															
2197-1	h u m ¹															
3352-1	t i ¹															
3892-1	ə t ¹															
1071-1	Ø aː m ¹															
10313-1	m ai ¹															
2671-1	ⁿd j a t ¹															
5502-1	f aː k ¹															
7382-1	ⁿd u n ¹															
932-1	Ø i ŋ ¹															
533-1	m ai ¹															
4159-1	f a ¹															
2804-1	n u k ¹															
5451-1	ʔ ai ¹															
5773-1	ʔ au ¹															
6933-1	ʔ au ¹															
4657-1	ʔ au ¹															
4658-1	f j aː ŋ ¹															
6966-1	h i ¹															
5351-1	Ø a ¹															
4073-1	ⁿd ai ¹															
2163-1	m j aː ŋ ¹															
1121-1	f a ¹															
5790-1	f aː ŋ ¹															
10413-1	ˀm a ¹															
6731-1	ˀm a ¹															
1645-1	ˀm a ¹															
4914-1	ˀm a ¹															
6175-1	ŋ a ¹															
3092-1	s i ŋ ¹															
1247-1	l j aː n ¹															
5620-1	ɕ j u ¹															
4897-1	Ø a ¹															
4811-1	pʰ aː ŋ ¹															
1213-1	Ø Ø ¹															
11019-1	Ø aː ŋ ¹															
11020-1	Ø Ø ¹															
2129-1	ʔ e p ¹															
3211-1	ŋ aː n ¹															
714-1	n o k ¹															
1729-1	Ø a ¹															
3679-1	m a ¹															
1054-1	m aːu ¹															
7448-1	m u m ¹															
582-1	ˀm i ¹															
4743-1	m o n ¹															
5419-1	l j ə n ¹															
5601-1	p i n ¹															
2705-1	m o m ¹															
6381-1	Ø o ŋ ¹															
1017-1	p a ¹															
645-1	l u k ¹															
273-1	m ə t ¹															
4338-1	ⁿd j a k ¹															
2533-1	k i ¹															
1089-1	kʰ u p ¹															
843-1	n a n ¹															
2787-1	w m̥ a t ¹															
4462-1	n u n ¹															
10918-1	h a n ¹															
6582-1	h ui ¹															
2070-1	k a ¹															
3075-1	Ø aː k ¹															
10848-1	f a ¹															
2480-1	Ø ə n ¹															
2214-1	k ai ¹															
7225-1	h ə t ¹															
3515-1	p j a m ¹															
2588-1	Ø ə n ¹															
2908-1	p j aː k ¹															
2393-1	n a ¹															
1156-1	ŋ ai ¹															
2374-1	ⁿd a ¹															
2146-1	kʰ a ¹															
5133-1	n a ŋ ¹															
4981-1	m u k ¹															
10239-1	m a ¹															
599-1	n j u t ¹															
5048-1	Ø o ¹															
6331-1	h a ¹															
290-1	ɕ i n ¹															
311-1	h aː k ¹															
3430-1	m j a ¹															
5369-1	m j a ¹															
2749-1	ȶ o n ¹															
2621-1	l j a p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	kʰ ə t ¹															
3550-1	ɕ u m ¹															
4445-1	p u t ¹															
680-1	l o ŋ ¹															
817-1	Ø ə n ¹															
782-1	pʰ j aː t ¹															
10396-1	n j u ¹															
4606-1	n aː n ¹															
5207-1	m a n ¹															
7280-1	Ø a ¹															
6983-1	ʔ j u t ¹															
5168-1	p u ŋ ¹															
1264-1	Ø u ¹															
915-1	t ui ¹															
1767-1	Ø u ŋ ¹															
10901-1	k w e ŋ ¹															
10867-1	ˀd o ŋ ¹															
417-1	k w aː n ¹															
2285-1	pʰ e ¹															
11002-1	ʔ i t ¹															
6348-1	m ai ¹															
6349-1	Ø aː n ¹															
10602-1	p ə n ¹															
5654-1	m j e n ¹															
880-1	l e ¹															
983-1	Ø aː n ¹															
2033-1	t o ¹															
1433-1	ʔ j a ¹															
1467-1	ˀd u k ¹															
469-1	t j u m ¹															
3127-1	m j a ¹															
4623-1	h a ¹															
7099-1	l j ə k ¹															
4726-1	ɕ e n ¹															
10465-1	p aː n ¹															
5519-1	h ə n ¹															
5893-1	kʰ ə n ¹															
2857-1	t i n ¹															
3645-1	ʔ aː n ¹															
3032-1	f j aː n ¹															
2088-1	f j a n ¹															
2463-1	p u ¹															
4794-1	n i ¹															
4569-1	l u ŋ ¹															
4586-1	ȶ u ¹															
4552-1	p a ¹															
3228-1	Ø o ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	pʰ aː n ¹															
1817-1	l aː k ¹															
1818-1	p j aː k ¹															
11052-1	n u ¹															
1230-1	l aː k ¹															
3380-1	h e k ¹															
8174-1	ʔ u m ¹															
8599-1	p j a m ¹															
7782-1	ⁿd j ai ¹															
8294-1	l i k ¹															
8514-1	h Ø ¹															
9669-1	l j a k ¹															
8531-1	p Ø ¹															
7954-1	ʔ u k ¹															
9968-1	s aː m ¹															
8040-1	t a ¹															
9304-1	ȶ i ¹															
8345-1	t o k ¹															
8765-1	ȶ o k ¹															
8849-1	s e ŋ ¹															
9286-1	k w aː ŋ ¹															
9581-1	n u n ¹															
9267-1	l a ¹															
8497-1	ȶ ə n ¹															
7602-1	ʔ aː p ¹															
8431-1	f j ə n ¹															
10036-1	Ø u k ¹															
10019-1	l a k ¹															
9216-1	n e ¹															
8074-1	Ø a t ¹															
9511-1	p a n ¹															
8243-1	ʔ j a m ¹															
9250-1	t j e m ¹															
7568-1	s Ø ¹															
8832-1	k u ¹															
8057-1	ŋ e ¹															
7716-1	h u p ¹															
9899-1	Ø i ¹															
7585-1	kʰ au ¹															
8582-1	m j a ¹															
9097-1	l a m ¹															
10125-1	f a ¹															
9460-1	l Ø ¹															
9649-1	pʰ u t ¹															
9870-1	ŋ a p ¹															
8680-1	ŋ a m ¹															
7699-1	ȶ i t ¹															
9001-1	ŋ w a t ¹															
9494-1	t i p ¹															
7666-1	ɕ a n ¹															
9598-1	t a k ¹															
8023-1	k u m ¹															
9053-1	w u t ¹															
10091-1	s Ø k ¹															
10002-1	pʰ j aːu ¹															
7765-1	t aːu ¹															
8800-1	ˀm e ¹															
9934-1	k a ¹															
9985-1	ʔ aːu ¹															
7850-1	t aː p ¹															
7816-1	ʔ a m ¹															
8663-1	ʔ u m ¹															
8697-1	ȶ i t ¹															
9615-1	j a n ¹															
8362-1	t ə t ¹															
8091-1	t ai ¹															
8748-1	h a ¹															
22-1	Ø aːu ¹															
11084-1	s aːu ¹															
7365-1	n Ø ¹															
4201-1	s i ¹															
5841-1	f a ¹															
4640-1	t a ¹															
662-1	l ə n ¹															
384-1	Ø aːu ¹															
5151-1	m e ¹															
1399-1	t o ¹															
5259-1	ʔ j a t ¹															
10353-1	ʔ a ¹															
10370-1	Ø i ¹															
7401-1	h aː m ¹															
2958-1	ɕ i ¹															
2770-1	ŋ o ¹															
6434-1	l j o k ¹															
6192-1	ɕ a t ¹															
2231-1	p aː t ¹															
5116-1	ȶ u ¹															
7297-1	s u p ¹															
3731-1	p e k ¹															
748-1	n a m ¹															
2180-1	h a m ¹															
4107-1	Ø a m ¹															
2688-1	k o n ¹															
616-1	k i ŋ ¹															
1898-1	ˀd a k ¹															
203-1	ˀm ai ¹															
897-1	p j a ¹															
10189-1	ɕ e n ¹															
1592-1	s o k ¹															
6088-1	t j a ŋ ¹															
2975-1	ⁿd aː ŋ ¹															
6714-1	h u m ¹															
731-1	Ø a m ¹															
2722-1	j u ¹															
5637-1	h aː t ¹															
765-1	j i k ¹															
1695-1	kʰ i m ¹															
2112-1	s j u ¹															
6634-1	ˀm a ¹															
7331-1	n a ¹															
7348-1	p aː ŋ ¹															
6527-1	t i ¹															
3568-1	s a n ¹															
4378-1	Ø Ø ¹															
6292-1	ⁿd j a n ¹															
3585-1	p aː ŋ ¹															
4428-1	ⁿd a m ¹															
7046-1	ɕ a ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k u ŋ ¹															
2516-1	s j au ¹															
4480-1	pʰ aː n ¹															
2499-1	p j aː k ¹															
5584-1	h o ¹															
2429-1	h ui ¹															
5224-1	Ø aːu ¹															
3464-1	kʰ a k ¹															
10142-1	t o ŋ ¹															
7159-1	f a n ¹															
6599-1	n ui ¹															
10207-1	m u ¹															
6837-1	s ə n ¹															
2654-1	f i ¹															
367-1	ʔ u k ¹															
5858-1	n j a ¹															
451-1	f a n ¹															
5944-1	h aː ŋ ¹															
512-1	l j aː k ¹															
7138-1	ʔ ui ¹															
4845-1	j a ¹															
4915-1	Ø aː t ¹															
10570-1	k ui ¹															
5300-1	p j aː n ¹															
5418-1	ȶ i ¹															
1748-1	f i k ¹															
3532-1	t u ¹															
310-1	t e ¹															
5368-1	f aː n ¹															
4321-1	t a p ¹															
5065-1	kʰ e ¹															
5961-1	l aː k ¹															
1450-1	t a ¹															
10430-1	Ø ə ¹															
6210-1	t au ¹															
5468-1	s ə n ¹															
6685-1	h aːu ¹															
89-1	k a ¹															
153-1	s ui ¹															
120-1	m j u ¹															
50-1	ʔ j Ø ¹															
4947-1	ˀd aː n ¹															
8866-1	l j a k ¹															
9165-1	ˀd aː k ¹															
7919-1	t a ŋ ¹															
9765-1	s o t ¹															
7520-1	Ø aːu ¹															
8883-1	p o ¹															
8565-1	h u ŋ ¹															
8646-1	Ø a m ¹															
9686-1	t j a t ¹															
10108-1	p j Ø t ¹															
10073-1	t a m ¹															
1536-1	l j u ¹															
9131-1	h aː k ¹															
8799-1	ʔ o ¹															
9721-1	t ai ¹															
8124-1	pʰ j aː m ¹															
8448-1	l aː m ¹															
8714-1	ȶ i t ¹															
5317-1	n u k ¹															
1138-1	Ø j e n ¹															
1502-1	ʔ i t ¹															
3109-1	ⁿd j aː m ¹															
3334-1	pʰ a ¹															
3840-1	ŋ aː n ¹															
3748-1	ʔ j aː k ¹															
3015-1	t i k ¹															
7262-1	h a n ¹															
10635-1	Ø a k ¹															
697-1	l aːu ¹															
5031-1	pʰ j ai ¹															
1553-1	Ø o m ¹															
224-1	t i ¹															
186-1	t j a ŋ ¹															
5185-1	n a m ¹															
1484-1	f a ¹															
1933-1	n i ¹															
2939-1	ˀd o ŋ ¹															
1000-1	p u p ¹															
2551-1	k a ŋ ¹															
1646-1	s ui ¹															
565-1	t o ¹															
5552-1	f a k ¹															
3159-1	f a ¹															
5876-1	kʰ ui ¹															
1299-1	s i m ¹															
4862-1	p aː k ¹															
1180-1	t e ¹															
4008-1	Ø u ¹															
6774-1	l a ¹															
3875-1	h Ø ¹															
6036-1	ˀd w a ¹															
6398-1	l j e m ¹															
7063-1	p i n ¹															
492-1	t j ə m ¹															
1627-1	kʰ u ŋ ¹															
5927-1	h u m ¹															
3951-1	m ai ¹															
3049-1	m aː ŋ ¹															
6684-1	l aː k ¹															
1850-1	l aː k ¹															
3262-1	l aː k ¹															
8260-1	Ø j e ¹															
7551-1	tʰ au ¹															
9564-1	h ui ¹															
9443-1	tʰ aːu ¹															
9545-1	ɕ i p ¹															
7650-1	ȶ e t ¹															
7833-1	tʰ j a k ¹															
9148-1	ʔ j au ¹															
9036-1	ȶ a ¹															
8904-1	m a ŋ ¹															
7683-1	Ø a m ¹															
8227-1	s a ¹															
8616-1	n a ŋ ¹															
11112-1	Ø a ¹															
11163-1	m a n ¹															
11130-1	m a n ¹															
10652-1	n i ¹															
10653-1	m aː ŋ ¹															
5241-1	t i ¹															
3398-1	ȶ o t ¹															
2357-1	p i ŋ ¹															
3696-1	ⁿd u ¹															
10716-1	p aː k ¹															
5722-1	h aː n ¹															
3317-1	ɕ u ¹															
4142-1	h ə t ¹															
5705-1	ˀd j u p ¹															
5980-1	Ø o ¹															
6242-1	ˀd j ai ¹															
1344-1	f aː ŋ ¹															
3194-1	ˀd Ø ¹															
4411-1	Ø u p ¹															
7419-1	ŋ a ¹															
6070-1	ⁿd e ¹															
6139-1	p a n ¹															
6158-1	ˀd j a ¹															
10295-1	Ø aː ŋ ¹															
2821-1	l j aː n ¹															
3293-1	ŋ w aː ŋ ¹															
4999-1	Ø w a ¹															
4039-1	m i t ¹															
10273-1	f u ¹															
4056-1	h ə n ¹															
10503-1	w f aː ŋ ¹															
10764-1	n i ¹															
10765-1	p j aː k ¹															
2248-1	f Ø ¹															
2266-1	f e ¹															
3713-1	s u ŋ ¹															
9782-1	f ə t ¹															
9426-1	ⁿd o ¹															
7936-1	ⁿd a m ¹															
7799-1	j u ¹															
9855-1	l i n ¹															
1037-1	Ø Ø ¹															
10733-1	ʔ ai ¹															
5520-1	ⁿd j o ŋ ¹															
1367-1	l i ŋ ¹															
4124-1	f e ¹															
4218-1	ˀd j a ¹															
6053-1	n a ŋ ¹															
6916-1	s a n ¹															
2446-1	p i ¹															
6510-1	f aː n ¹															
3414-1	m̥ j aː n ¹															
2889-1	l j aːu ¹															
4707-1	ˀd j a k ¹															
7418-1	k u m ¹															
5099-1	s aː n ¹															
401-1	Ø o ¹															
5910-1	t i n ¹															
3351-1	t a ¹															
10482-1	j aːu ¹															
532-1	p i ¹															
1416-1	l a m ¹															
5334-1	p o ¹															
10797-1	l Ø ¹															
5688-1	Ø o ¹															
3858-1	n ui ¹															
4497-1	ʔ e ¹															
3662-1	p aːu ¹															
10256-1	f j a n ¹															
2622-1	m j a ¹															
4998-1	h Ø ¹															
4235-1	p a ¹															
6451-1	p i ¹															
5401-1	Ø j a ¹															
10884-1	Ø e ŋ ¹															
5807-1	ʔ au ¹															
7208-1	h i ¹															
799-1	l a ¹															
3765-1	Ø e ¹															
3263-1	h aː n ¹															
9477-1	p e ¹															
7902-1	h aː t ¹															
8731-1	t aː p ¹															
8968-1	ʔ a n ¹															
8414-1	f j aː m ¹															
9738-1	s i t ¹															
8467-1	s aːu ¹															
9632-1	m̥ a ¹															
9382-1	k ui w ¹															
9916-1	k u n ¹															
1800-1	ⁿd j ə ŋ ¹															
4964-1	n j a p ¹															
5824-1	f u ¹															
3791-1	ɕ j ə ŋ ¹															
1784-1	ŋ au ¹															
6934-1	ɕ ə n ¹															
2051-1	p au ¹															
6544-1	k u p ¹															
6105-1	ˀd j aː n ¹															
4304-1	h aːu ¹															
1570-1	Ø e ŋ ¹															
6122-1	j j u ¹															
2305-1	j u t ¹															
2856-1	Ø ə ¹															
9181-1	t i ŋ ¹															
8985-1	Ø ai ¹															
9951-1	l j u ¹															
8140-1	ɕ j a p ¹															
8108-1	ȶ Ø t ¹															
7888-1	p ai ¹															
7638-1	Ø w o n ¹															
9887-1	pʰ j a ¹															
9834-1	s j e t ¹															
966-1	ˀd aː ŋ ¹															
5981-1	l u ¹															
434-1	pʰ a ¹															
10619-1	ɕ ai ¹															
6882-2		ŋ Ø t ¹														
6485-2		v Ø n ¹														
4690-2		m o n ¹														
5671-2		w Ø w Ø n ¹														
4272-2		l w aː p ¹														
10935-2		Ø e ¹														
4760-2		n j e n ¹														
1881-2		v a n ¹														
4777-2		ɕ w Ø t ¹														
10969-2		v a n ¹														
10970-2		Ø u ¹														
10206-2		v a n ¹														
6565-2		k Ø a n ¹														
1281-2		ʔ j e n ¹														
10569-2		n a m ¹														
6899-2		Ø j u ŋ ¹														
7081-2		k a ¹														
4090-2		ⁿd a m ¹														
2197-2		h u m ¹														
3352-2		t i ¹														
3892-2		ɕ Ø t ¹														
1071-2		q aː m ¹														
10313-2		m ai ¹														
2671-2		ⁿd j Ø t ¹														
5502-2		w Ø aː k ¹														
7382-2		ⁿd w u n ¹														
932-2		Ø i ŋ ¹														
533-2		m ai ¹														
4159-2		v a ¹														
2804-2		n u k ¹														
5451-2		ɣ ai ¹														
5773-2		ʔ au ¹														
6933-2		ʔ au ¹														
4657-2		ʔ au ¹														
4658-2		f j aː ŋ ¹														
6966-2		h i ¹														
5351-2		ɣ a ¹														
4073-2		ⁿd Ø ¹														
2163-2		m j aː ŋ ¹														
1121-2		Ø a ¹														
5790-2		v aː ŋ ¹														
10413-2		ˀm a ¹														
6731-2		ˀm a ¹														
1645-2		ˀm a ¹														
4914-2		ˀm a ¹														
6175-2		ŋ a ¹														
3092-2		s i ŋ ¹														
1247-2		l j aː n ¹														
5620-2		ɕ j u ¹														
4897-2		Ø a ¹														
4811-2		Ø aː ŋ ¹														
1213-2		q Ø ¹														
11019-2		Ø aː ŋ ¹														
11020-2		q Ø ¹														
2129-2		ʔ e p ¹														
3211-2		ŋ aː n ¹														
714-2		n o k ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		m aːu ¹														
7448-2		m u m ¹														
582-2		ˀm w i ¹														
4743-2		m w o n ¹														
5419-2		l j Ø n ¹														
5601-2		v i n ¹														
2705-2		m o m ¹														
6381-2		Ø o ŋ ¹														
1017-2		v a ¹														
645-2		l u k ¹														
273-2		m Ø t ¹														
4338-2		ⁿd j a k ¹														
2533-2		k i ¹														
1089-2		kʰ u p ¹														
843-2		n a n ¹														
2787-2		Ø w a t ¹														
4462-2		ˀn u n ¹														
10918-2		h a n ¹														
6582-2		h a ¹														
2070-2		k a ¹														
3075-2		Ø w aː k ¹														
10848-2		v a ¹														
2480-2		Ø Ø n ¹														
2214-2		k ai ¹														
7225-2		h Ø t ¹														
3515-2		p j a m ¹														
2588-2		Ø Ø n ¹														
2908-2		p j aː k ¹														
2393-2		ˀn a ¹														
1156-2		ŋ ai ¹														
2374-2		ⁿd a ¹														
2146-2		Ø a ¹														
5133-2		ˀn a ŋ ¹														
4981-2		m u k ¹														
10239-2		m a ¹														
599-2		n j u t ¹														
5048-2		q o ¹														
6331-2		h a ¹														
290-2		Ø i n ¹														
311-2		h aː k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		Ø o n ¹														
2621-2		l j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t i n ¹														
861-2		l aː k ¹														
6773-2		l aː k ¹														
5739-2		l aː k ¹														
5740-2		kʰ Ø t ¹														
3550-2		ɕ u m ¹														
4445-2		p w u t ¹														
680-2		l o ŋ ¹														
817-2		t Ø n ¹														
782-2		Ø j aː t ¹														
10396-2		ˀn j u ¹														
4606-2		n aː n ¹														
5207-2		m a n ¹														
7280-2		Ø j a ¹														
6983-2		ʔ j w u t ¹														
5168-2		p u ŋ ¹														
1264-2		Ø u ¹														
915-2		t a ¹														
1767-2		Ø u ŋ ¹														
10901-2		k Ø e ŋ ¹														
10867-2		Ø o ŋ ¹														
417-2		k Ø aː n ¹														
2285-2		Ø e ¹														
11002-2		ʔ i t ¹														
6348-2		m ai ¹														
6349-2		Ø aː n ¹														
10602-2		v Ø n ¹														
5654-2		m j e n ¹														
880-2		l e ¹														
983-2		Ø aː n ¹														
2033-2		t o ¹														
1433-2		ʔ j a ¹														
1467-2		Ø u k ¹														
469-2		t j u m ¹														
3127-2		m j a ¹														
4623-2		h a ¹														
7099-2		l j Ø k ¹														
4726-2		ɕ ŋ e n ¹														
10465-2		v aː n ¹														
5519-2		h Ø n ¹														
