ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP
7048	463_1plweexcl	1PL; we(excl.)	ShuigenCentralSandong	Sandong	ȶin¹ ⁿdiu¹	ȶin¹ ⁿdiu¹	ȶ i n ¹/¹ + d i/j u ¹/¹	sand1270	25.724479	107.92172	Sui	1 7 4 8 9 1 6 7 8	AXLT_ACXT	TIN6_TJY6	10	10.T.C 10.I.V 10.N.c 10.6.T 10._._ 10.T.C 10.J.C 10.Y.V 10.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	ȶin¹/¹+di/ju¹/¹	0	2 1
7057	463_1plweexcl	1PL; we(excl.)	ZhongheCentralSandong	Zhonghe	ȶən¹ ⁿdieu¹	ȶən¹ ⁿdieu¹	ȶ ə n ¹/¹ + d i/j eu ¹/¹	sand1270	25.817612	107.904898	Sui	1 7 4 8 9 1 6 7 8	AXLT_ACXT	TEN6_TJE6	16	16.T.C 16.E.V 16.N.c 16.6.T 16._._ 16.T.C 16.J.C 16.E.V 16.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	ȶən¹/¹+di/jeu¹/¹	0	2 1
7066	463_1plweexcl	1PL; we(excl.)	TingpaiWesternSandong	Tingpai	ȶan¹ ⁿdiau¹	ȶan¹ ⁿdiau¹	ȶ a n ¹/¹ + d i/j au ¹/¹	sand1270	25.3756	107.5416	Sui	1 7 4 8 9 1 6 7 8	AXLT_ACXT	TAN6_TJA6	15	15.T.C 15.A.V 15.N.c 15.6.T 15._._ 15.T.C 15.J.C 15.A.V 15.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	ȶan¹/¹+di/jau¹/¹	0	2 1
7083	463_1plweexcl	1PL; we(excl.)	TangzhouWesternSandong	Tangzhou	ȶən¹ ⁿdiu¹	ȶən¹ ⁿdiu¹	ȶ ə n ¹/¹ + d i/j u ¹/¹	sand1270	25.775037	107.87072	Sui	1 7 4 8 9 1 6 7 8	AXLT_ACXT	TEN6_TJY6	14	14.T.C 14.E.V 14.N.c 14.6.T 14._._ 14.T.C 14.J.C 14.Y.V 14.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	ȶən¹/¹+di/ju¹/¹	0	2 1
7100	463_1plweexcl	1PL; we(excl.)	SanjiangEasternSandong	Sanjiang	ⁿdiu¹	ⁿdiu¹	ⁿd i/j u ¹/¹	sand1270	26.009139	108.260898	Sui	1 6 7 8	ACXT	TJY6	9	9.T.C 9.J.C 9.Y.V 9.6.T	1.6 1.2 3.0 1.0	ⁿdi/ju¹/¹	0	1
7109	463_1plweexcl	1PL; we(excl.)	RenliEasternSandong	Renli	ⁿdiu¹	ⁿdiu¹	ⁿd i/j u ¹/¹	sand1270	26.116584	108.435839	Sui	1 6 7 8	ACXT	TJY6	8	8.T.C 8.J.C 8.Y.V 8.6.T	1.6 1.2 3.0 1.0	ⁿdi/ju¹/¹	0	1
7118	463_1plweexcl	1PL; we(excl.)	JiuqianSouthernSandong	Jiuqian	ȶən¹ ⁿdəu¹	ȶən¹ ⁿdəu¹	ȶ ə n ¹/¹ + d əu ¹/¹	sand1270	25.615405	108.030525	Sui	1 7 4 8 9 1 7 8	AXLT_AXT	TEN6_TE6	6	6.T.C 6.E.V 6.N.c 6.6.T 6._._ 6.T.C 6.E.V 6.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	ȶən¹/¹+dəu¹/¹	0	2 1
7127	463_1plweexcl	1PL; we(excl.)	ShuiyaoSouthernSandong	Shuiyao	ⁿdiu¹	ⁿdiu¹	ⁿd i/j u ¹/¹	sand1270	25.413123	107.969761	Sui	1 6 7 8	ACXT	TJY6	12	12.T.C 12.J.C 12.Y.V 12.6.T	1.6 1.2 3.0 1.0	ⁿdi/ju¹/¹	0	1
7136	463_1plweexcl	1PL; we(excl.)	JiarongSouthernSandong	Jiarong	ⁿdjeu¹	ⁿdjeu¹	ⁿd j eu ¹/¹	sand1270	25.493343	108.183955	Sui	1 6 7 8	ACXT	TJE6	5	5.T.C 5.J.C 5.E.V 5.6.T	1.6 1.2 3.0 1.0	ⁿdjeu¹/¹	0	1
7145	463_1plweexcl	1PL; we(excl.)	ShuiweiSouthernSandong	Shuiwei	ȶən¹ ⁿdiu¹	ȶən¹ ⁿdiu¹	ȶ ə n ¹/¹ + d i/j u ¹/¹	sand1270	25.710491	108.211043	Sui	1 7 4 8 9 1 6 7 8	AXLT_ACXT	TEN6_TJY6	11	11.T.C 11.E.V 11.N.c 11.6.T 11._._ 11.T.C 11.J.C 11.Y.V 11.6.T	1.6 3.0 1.1 1.0 0.0 1.6 1.2 3.0 1.0	ȶən¹/¹+di/ju¹/¹	0	2 1
7154	463_1plweexcl	1PL; we(excl.)	Pandong	Pandong	ho³ ⁿdiəu¹	ho³ ⁿdiəu¹	h o ³/¹ + d i/j əu ¹/¹	pand1262	26.06349	107.693696	Sui	3 7 8 9 1 6 7 8	AXT_ACXT	HU6_TJE6	7	7.H.C 7.U.V 7.6.T 7._._ 7.T.C 7.J.C 7.E.V 7.6.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ho³/¹+di/jəu¹/¹	0	3 1
