COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	p oː l + l i								
2-1	k e tʃ + tɬ i								
8-1	w eː i j a k								
16-1	aː + tɬ								
24-1	i s t aː k								
32-1	m i x + tɬ i								
51-1	m i + tɬ								
52-1	j a k + tɬ								
53-1	k w a w + tɬ								
54-1	tɬ a n + tɬ i								
55-1	k w a + tɬ								
60-1	oː m e								
83-1	t e + tɬ								
87-1	tɬ a n + tɬ i								
92-1	m o + tɬ a								
103-1	m i + tɬ								
106-1	k e tʃ + tɬ i								
138-1	n e n e + tɬ								
139-1	m i x + tɬ i								
142-1	ʔ t e								
145-1	m o + k e ts a								
176-1	tɬ a n + tɬ i								
179-1	k e tʃ + tɬ i								
180-1	m i x + tɬ i								
1-2		tʃ u tʃ u							
2-2		x aː h l i							
8-2		w e j a k							
16-2		s u w a + t							
24-2		i r a							
32-2		m i a k p a							
51-2		h uː n i							
52-2		j a k							
53-2		r o n t i n							
54-2		t aː n							
55-2		k e tʃ							
60-2		j u h + l u							
83-2		t a i							
87-2		aː t i n							
92-2		m i a k							
103-2		m i a k							
106-2		k e tʃ							
138-2		t e h e							
139-2		m i a k p a							
142-2		m i a k							
145-2		m i a k p a							
176-2		t a i							
179-2		r o n t i n							
180-2		m i a k p a							
1-3			m i x + t i						
2-3			n e h + t i						
8-3			w iː ʔ						
16-3			s e s eː ʔ						
24-3			i kx i						
32-3			m i a ʔ						
51-3			o h + t i						
52-3			j a k + t i						
53-3			t e h						
54-3			t eː						
55-3			k e tʃ						
60-3			n e h + t i						
83-3			t e ʔ + t i						
87-3			t e h						
92-3			m i a ʔ						
103-3			m i a ʔ						
106-3			k o tʃ i						
138-3			n e h						
139-3			m i x + t i						
142-3			m i a ʔ						
145-3			m o + k e ts a						
176-3			t a t i a						
179-3			t e ʔ + t i						
180-3			m i a ʔ						
1-4				m i tʃ i					
2-4				k o w i + tɬ					
8-4				w e j a					
16-4				j e k a + k					
24-4				i s t e					
32-4				m i tʃ i					
51-4				o h + tɬ i					
52-4				j e k a + k					
53-4				k w a k o w					
54-4				tɬ a n					
55-4				k e j a					
60-4				w i ts					
83-4				tɬ e n					
87-4				s i tɬ a l i					
92-4				m i a k					
103-4				m i a k					
106-4				k o w i + tɬ					
138-4				n e h w a					
139-4				m i a k					
142-4				m i a k					
145-4				m o + t e k					
176-4				t e + tɬ					
179-4				tɬ a n + k w a					
180-4				m e x + tɬ i					
1-5					m i a k				
2-5					n e h + t i				
8-5					w eː j a				
16-5					s e				
24-5					i kx i				
32-5					m i a k				
51-5					h iː n				
52-5					w eː j a k				
53-5					b a w i + t				
54-5					t eː n				
55-5					b eː j a k				
60-5					s e				
83-5					t eː				
87-5					aː t i n				
92-5					m i a k				
103-5					m iː ts				
106-5					g eː tʃ				
138-5					n e h a				
139-5					m i a k				
142-5					m i a k				
145-5					m o + t i				
176-5					t a + t				
179-5					b a w i + t				
180-5					m iː + t				
1-6						n e n e p i l			
2-6						t eː n			
8-6						w iː ts			
16-6						s e s e k			
24-6						i h t i			
32-6						m i j a k			
51-6						u n i			
52-6						aː + x aː l			
53-6						t a n			
54-6						t aː			
55-6						k w aː + t			
60-6						j eː			
83-6						t e + t			
87-6						i s t a k			
92-6						m e j a k			
103-6						m i j a k			
106-6						k w a w i + t			
138-6						t a n			
139-6						m i x + t i			
142-6						m i x + t i			
145-6						m u + t e j u			
176-6						t e + t			
179-6						t a n			
180-6						m u + k e ts a			
1-7							x u t		
2-7							k o x + t		
8-7							w i ts		
16-7							o tʼ k a n		
24-7							i n a		
32-7							m i tʃ o m		
51-7							ts o n		
52-7							o w e l		
53-7							t w e n		
54-7							t e n		
55-7							k w a i + t		
60-7							o w e l		
83-7							t w e n		
87-7							i t a		
92-7							s e		
103-7							m i tʃ o m		
106-7							k o tʃ i		
138-7							t w e n		
139-7							m i tʃ o m		
142-7							w i ts		
145-7							j e k e + t		
176-7							t o + t		
179-7							t w e n		
180-7							x u t		
1-8								k o tʃ ɨ	
2-8								k w a h	
8-8								s eː	
16-8								aː + tɬ	
24-8								i s t a	
32-8								m i x + tɬ ɨ	
51-8								oː n	
52-8								j a k a + tɬ	
53-8								n e l w a + tɬ	
54-8								tɬ a	
55-8								k w a + ɨ	
60-8								n ɨ h + tɬ ɨ	
83-8								t o + tɬ a	
87-8								aː k	
92-8								m i j a k	
103-8								m ɨ + tɬ	
106-8								k o s + tɬ ɨ	
138-8								n ɨ h + tɬ ɨ	
139-8								m ɨ + tɬ a	
142-8								m ɨ + tɬ a	
145-8								k ɨ ts a	
176-8								tɬ a	
179-8								t eː n + tɬ ɨ	
180-8								m ɨ + tɬ	
1-9									m iː tʃ iː
2-9									n e n e p iː + tɬ
8-9									b e j a k
16-9									x o x iː + tɬ
24-9									s i e
32-9									m e j a k
51-9									o h + tɬ iː
52-9									x ø k iː n u
53-9									b e j a k
54-9									tɬ i n iː n u
55-9									k w a b iː + k
60-9									i b i ts
83-9									tɬ i n iː n u
87-9									b e j a k
92-9									m e j a k
103-9									m e j a k
106-9									k o s t iː k
138-9									n e n e p iː l
139-9									m e j a k
142-9									m e j a k
145-9									m e x + tɬ iː
176-9									tɬ a t i a
179-9									tɬ a n + k o tʃ
180-9									m e j a k
