COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ i								
2-1	n e x + tɬ i								
8-1	w eː i j								
16-1	i s + tɬ i								
24-1	i s + t i								
32-1	m i + k i								
51-1	o n + i								
52-1	w aː k								
53-1	n a k a s + tɬ i								
54-1	tɬ a l + l i								
55-1	k w a w + tɬ								
60-1	iː x								
83-1	t i + tɬ								
87-1	p a tɬ a n + tɬ i								
92-1	m a k aː + tɬ								
103-1	m aː + tɬ								
106-1	k a k i								
138-1	n e ʔ w aː + tɬ								
139-1	m i k + t i aː								
142-1	m a t i								
145-1	m o + t e k aː + tɬ								
176-1	t aː k aː + tɬ								
179-1	n a k aː + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ								
190-1	j a k								
194-1	s e								
220-1	o ʔ + tɬ i								
231-1	i tɬ a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	i n + i n + tɬ								
314-1	k w a w i + tɬ								
315-1	o m i								
322-1	t e ʔ w a n + tɬ								
1-2		n u tʃ u							
2-2		n e x + t i							
8-2		w e j i							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k							
51-2		u n + i							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t aː h l i							
55-2		b w a							
60-2		x iː							
83-2		t i + t							
87-2		p a t aː n i							
92-2		m a k p a							
103-2		m a + n							
106-2		k a i k							
138-2		n e h e							
139-2		m i k + t i							
142-2		m a t i							
145-2		m u + t e w a + n							
176-2		t a i k a + t							
179-2		n a k a + t							
180-2		m e ts + t i							
186-2		i k u x t i							
190-2		j a k + t i							
194-2		s e							
220-2		u h + t i							
231-2		i r a							
240-2		k u tʃ i							
283-2		t e k + t i							
293-2		i n i							
314-2		b w a + w i + t							
315-2		u m e							
322-2		t e h e a m e h e							
1-3			m o tʃ i						
2-3			t e k o n + n e x + t i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i ʔ						
51-3			o n + i						
52-3			w aː ʔ + t o ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			x iː						
83-3			t i + ʔ						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m aː + ʔ						
106-3			k a ʔ						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t e k aː + ʔ						
176-3			t aː k a + ʔ						
179-3			n a k aː + ʔ						
180-3			m eː s + t i						
186-3			k e tʃ + t i						
190-3			j a k t i ʔ						
194-3			s eː						
220-3			o h + t i						
231-3			a t i a						
240-3			k o tʃ i						
283-3			t e + ʔ						
293-3			i n + t i						
314-3			k w a w i + ʔ						
315-3			o m i						
322-3			t e h w a n + t i						
1-4				m o + tʃ i					
2-4				tɬ a k o + n e x + tɬ i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t i					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t o k					
53-4				n a k a s + tɬ i					
54-4				tɬ a l i					
55-4				k w a					
60-4				x i					
83-4				t i + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h w a					
139-4				m i k + t i a					
142-4				m a t i					
