COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ i + n								
2-1	n e x + tɬ i								
8-1	w eː								
16-1	e s + tɬ i								
24-1	i s t e + tɬ								
32-1	m i k								
51-1	o n + iː								
52-1	w aː k + k i								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l + l i								
55-1	k w aː								
60-1	iː x + t e l o l o ʔ								
83-1	tɬ e + tɬ								
87-1	p a tɬ aː n								
92-1	m a k a								
103-1	m aː								
106-1	k a k								
138-1	n e ʔ w aː + tɬ								
139-1	m i k iː + t i aː								
142-1	m a t								
145-1	m o + t eː k a								
176-1	t aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k + tɬ								
194-1	s eː								
220-1	o ʔ + tɬ i								
231-1	t t a								
240-1	k o tʃ								
283-1	t e + tɬ								
293-1	i n + iː n								
314-1	k w a w + tɬ								
315-1	oː m e								
322-1	t e ʔ w aː n								
323-1	tɬ e								
9-1	t oː t oː + tɬ								
17-1	o m i + tɬ								
22-1	tɬ a t i aː								
30-1	w i ts								
88-1	kx i + tɬ								
158-1	w eː i j a k								
159-1	a t e m i + tɬ								
177-1	m i a k iː n								
184-1	t oː k aː + tɬ								
187-1	j a n k w i + k								
227-1	x aː l + l i								
1-2		m u tʃ i							
2-2		k o + n e x + t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		x i + k							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		b w aː							
60-2		iː x							
83-2		t i + t							
87-2		p a r a n i							
92-2		m a							
103-2		m aː + n							
106-2		k a i							
138-2		n e h e							
139-2		m i k + t i							
142-2		m a							
145-2		m u + r e k a + k							
176-2		t aː k a + t							
179-2		n a k a + t							
180-2		m eː ts + t i							
186-2		k e tʃ							
190-2		j a k							
194-2		s e							
220-2		u h + t i							
231-2		i r a							
240-2		k u tʃ i							
283-2		x aː l + t e + t							
293-2		h iː n i							
314-2		k o i + t							
315-2		uː m e							
322-2		t o h o m e n							
323-2		t a i							
9-2		t uː r u + t							
17-2		u m i + t							
22-2		t a t i							
88-2		i kx i							
158-2		w e j a k							
159-2		aː t i n							
177-2		m i a k p a							
184-2		t u w a + n							
187-2		j a m b w i + k							
227-2		x aː h l i							
1-3			n o tʃ i						
2-3			k w a + n eː x						
8-3			w e j i						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
