COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ iː +								
2-1	+ + + o n e x + t iː								
8-1	w e + t j x +								
16-1	+ e s + t iː								
24-1	iː s t iː x								
32-1	m iː k iː								
51-1	+ + o n + + iː + +								
52-1	w o k + t u k								
53-1	n a k a s + + +								
54-1	t o iː l iː + + +								
55-1	k w a + + +								
60-1	iː x t u m u u + +								
83-1	+ + t iː + + t +								
87-1	tʃ a t o n iː +								
92-1	m a k a								
103-1	m a + x a + +								
106-1	k a k iː								
138-1	n e b + a + +								
139-1	m iː k + + + t iː a + + +								
142-1	m a t								
145-1	m o + t e + k a +								
176-1	t a + + k a + t								
179-1	n a k a + t								
180-1	m e + ts + t iː								
186-1	k e tʃ + + + + + +								
190-1	j a k a + + +								
194-1	s e + +								
220-1	o + + t + iː +								
231-1	iː + t a								
240-1	k o tʃ i								
283-1	+ + + + t e + + t +								
293-1	+ iː n +								
314-1	k w a x iː + + + + t								
315-1	o m e +								
322-1	t e iː m e n + + + + +								
323-1	t e + + +								
9-1	t o t u + t								
17-1	u + m iː + t								
22-1	t a t iː + + + + + + +								
30-1	+ w iː ts								
88-1	i Ø i								
158-1	w e + + j a k + + + + +								
159-1	a t iː n + + + t								
177-1	m i + a k + +								
184-1	t u k a + + + +								
187-1	j a n k w iː + k								
227-1	+ + x a a l iː + + +								
235-1	m o + tɬ a l i + e t + +								
249-1	Ø o k + t i								
251-1	+ + m u + + + + + k e ts a								
289-1	k w iː t a x iː l + + + +								
294-1	t e t + a								
296-1	n e n e x i l a a a a								
313-1	t a n + +								
316-1	n e + n e m iː								
318-1	+ + + t x t o n iː k + +								
320-1	+ + o + t +								
324-1	+ iː s t + + a k + + +								
326-1	a + k + +								
1-2		n o Ø Ø +							
2-2		u h h h h n Ø Ø Ø							
8-2		Ø e t t j h							
16-2		h e s + Ø Ø							
24-2		Ø s t Ø + h							
32-2		tɬ Ø Ø Ø							
51-2		h o n h + i h h							
52-2		Ø Ø Ø + k Ø h							
53-2		n a Ø a s e							
54-2		Ø Ø h l e e							
55-2		Ø Ø a t h h							
60-2		Ø Ø t Ø l o l o h h h							
83-2		u u u Ø Ø u h + Ø u							
87-2		Ø a Ø Ø n h Ø							
92-2		tɬ a Ø a							
103-2		tɬ a h h h							
106-2		Ø a Ø i							
138-2		n e Ø Ø Ø							
139-2		tɬ Ø Ø h e + t Ø a t h h							
142-2		tɬ a t i							
145-2		u o + t e u Ø a							
176-2		t Ø u u Ø a h + Ø							
179-2		n a Ø a + Ø							
180-2		tɬ Ø u s + Ø Ø							
186-2		Ø Ø Ø u u u Ø							
190-2		j Ø Ø Ø + tɬ u u							
194-2		s e h h							
220-2		o u + h Ø h Ø h							
231-2		i t Ø a							
240-2		Ø o Ø i							
283-2		u u u u t e h + Ø u							
293-2		h i n h h							
314-2		Ø Ø a Ø Ø + h h t Ø							
315-2		o tɬ e h							
322-2		t e u Ø Ø e t h h t t							
323-2		Ø Ø h u u u							
9-2		t o t o + Ø							
17-2		o h + Ø + Ø							
22-2		Ø a t Ø a t t h t h h							
88-2		Ø Ø Ø Ø							
158-2		Ø Ø e j a Ø t							
159-2		a t Ø n Ø h Ø							
177-2		tɬ Ø u a k h							
184-2		t o Ø Ø Ø h							
187-2		j a n Ø Ø Ø + k							
227-2		h h Ø Ø l e							
235-2		tɬ o + Ø Ø l Ø a t							
249-2		Ø o Ø + Ø Ø							
289-2		Ø Ø Ø Ø a iː Ø l e							
294-2		t e a Ø Ø							
296-2		n e n e Ø i l e e e Ø u e							
313-2		Ø a n Ø iː u							
316-2		n e Ø + n e tɬ Ø							
318-2		Ø t o t Ø n h Ø h Ø							
324-2		u Ø s t u u a Ø t							
326-2		Ø k u u u							
1-3			n o tʃ iː e						
2-3			a + n e x + tɬ iː						
8-3			w i a t j						
16-3			e s + tɬ iː						
24-3			iː s t iː +						
32-3			m iː k						
51-3			a iː n + iː a						
52-3			w a k + t a k						
53-3			n a k a s e						
54-3			tɬ Ø a l e e						
55-3			k w a a a a						
60-3			i x + ʰt e iː l iː e t t						
83-3			tɬ Ø a + tɬ						
87-3			p a tɬ Ø n						
92-3			m a k a						
103-3			m a t u						
106-3			k a k						
138-3			n e e a Ø Ø						
139-3			m iː k t e + t iː a a a a						
142-3			m a t						
145-3			m o + t e k a a a						
176-3			ʰt Ø k a + tɬ						
179-3			n a k a + tɬ						
180-3			m i Ø + tɬ iː						
186-3			k e tʃ e						
190-3			j e k t +						
194-3			s e j						
220-3			o + tɬ iː						
231-3			iː Ø t a						
240-3			k o tʃ						
283-3			a t e + t						
293-3			a iː n iː Ø e						
314-3			k w a w + a a a tɬ						
315-3			iː m e						
322-3			t e iː w e n a a a a a						
323-3			tɬ Ø						
9-3			t iː t Ø + tɬ						
17-3			o m iː + tɬ						
22-3			tɬ a t iː a j j j j j j						
30-3			w ts						
88-3			Ø iː						
158-3			w Ø a e j a k a a						
159-3			e t i m e tɬ						
177-3			m iː t a k a						
184-3			t Ø k a u a j						
187-3			j a n k w iː + k						
227-3			u u x a iː l e						
235-3			m o + tɬ a l iː a a a a a						
