COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ iː +								
2-1	+ + n e x iː								
8-1	w e + + j i +								
16-1	+ e s + t iː								
24-1	iː s t iː x x								
32-1	m iː k iː								
51-1	ø iː u n + + iː + +								
52-1	w a k + t u k								
53-1	n a k a s + +								
54-1	t a a l iː + + +								
55-1	k w a + + +								
60-1	iː x iː iː iː o + +								
1-2		n o tʃ Ø +							
2-2		+ n + n Ø x Ø o							
8-2		b Ø u t j o +							
16-2		e s + Ø Ø							
24-2		iː s t Ø +							
32-2		m Ø k i							
51-2		u Ø n + i + u							
52-2		b a k + tɬ Ø h							
53-2		n a k a s							
54-2		Ø a n l i							
55-2		k b a ø ø ø							
60-2		iː x + t Ø o l o + u u							
1-3			n o tʃ iː +						
2-3			+ n n e x iː						
8-3			w i t j + +						
16-3			+ e s + tɬ iː						
24-3			iː s t i						
32-3			m iː k i						
51-3			+ iː n + iː						
52-3			w a k + k						
53-3			n a k a s						
54-3			tɬ Ø l i						
55-3			k w a + + +						
60-3			i x + t n o l o + u u						
1-4				n o tʃ iː					
2-4				+ + + n e x tɬ l					
8-4				w i j o +					
16-4				+ e s + tɬ iː					
24-4				iː s t i					
32-4				m iː k i					
51-4				+ o n + iː + +					
52-4				w i k + t x k					
53-4				n a k a s					
54-4				tɬ i l i					
55-4				k w a + + +					
60-4				i x iː o + +					
1-5					n o tʃ iː				
2-5					n Ø x Ø Ø iː				
8-5					b e j ø				
16-5					e s + tɬ iː				
24-5					iː s t iː + n				
32-5					m iː k i				
51-5					o n + iː				
52-5					b a k + ʰt n				
53-5					n a k a s iː				
54-5					tɬ ø i l i iː				
55-5					k b a ø				
60-5					iː x o ø u u				
1-6						n o tʃ iː +			
2-6						+ + a n e x + tɬ			
8-6						b e + j +			
16-6						+ e s + tɬ iː			
24-6						iː s t iː tɬ			
32-6						m iː k i			
51-6						+ o n + u iː +			
52-6						b a k + Ø iː n			
53-6						n a k a s + iː iː			
54-6						tɬ a l i iː iː			
55-6						k w a u u u			
60-6						iː x + t e o o + +			
1-7							m o tʃ iː n		
2-7							n e x + tɬ iː		
8-7							b i + j		
16-7							e Ø + tɬ iː		
24-7							iː Ø t iː		
32-7							m iː k iː		
51-7							o n + + i iː +		
52-7							b ø k + iː		
53-7							n a k a Ø +		
54-7							tɬ ø iː iː +		
55-7							Ø w a + + +		
60-7							iː x b b b +		
1-8								n o tʃ iː +	
2-8								+ + + iː + n Ø x + tɬ iː	
8-8								+ + w + e j	
16-8								+ e s + tɬ iː	
24-8								iː s t iː + tɬ	
32-8								m iː k iː	
51-8								a o n + iː + +	
52-8								w ø k + Ø o +	
53-8								n a k a s + iː	
54-8								tɬ ø l i	
55-8								k w a	
60-8								i x + t k o l k + + +	
1-9									n o tʃ iː
2-9									+ + iː + n e x + tɬ i
8-9									b e j + iː
16-9									+ e s + tɬ iː
24-9									iː s t e + tɬ
32-9									m iː k i
51-9									o n + iː
52-9									b ø k + t iː n
53-9									n a k a s + tɬ
54-9									tɬ ø l iː
55-9									k w ø
60-9									i x + t + o u + + +
