COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m i x + tɬ i								
2-1	tɬ a n + tɬ i								
8-1	p oː k + tɬ i								
16-1	i s t aː k								
24-1	i s t aː k								
32-1	m i x + tɬ i								
51-1	i s t aː k								
52-1	tɬ a n + tɬ i								
53-1	j oː l + l i								
54-1	tɬ a n + tɬ i								
55-1	k w aː + tɬ								
60-1	i s t aː k								
83-1	t e p eː + tɬ								
87-1	tɬ a n + tɬ i								
92-1	m i x + tɬ i								
103-1	aː k								
106-1	tɬ a n + tɬ i								
138-1	n e ʔ + n e								
139-1	m i x + tɬ i								
142-1	m i x + tɬ i								
145-1	m i x + tɬ i								
176-1	tɬ a n + tɬ i								
179-1	j oː l + l i								
180-1	m i x + tɬ i								
186-1	m i x + tɬ i								
190-1	j oː l + l i								
194-1	i ʔ t e								
220-1	m i x + tɬ i								
231-1	i s t aː k								
240-1	m i x + tɬ i								
283-1	t e p eː + tɬ								
293-1	i ʔ t e								
314-1	tɬ a n + tɬ i								
315-1	i ʔ t e								
322-1	t e ʔ w aː + tɬ								
323-1	i s t aː k								
9-1	t e ʔ w aː + tɬ								
17-1	m i x + tɬ i								
22-1	tɬ a n + tɬ i								
30-1	m i x + tɬ i								
88-1	i ʔ t e								
158-1	j oː l + l i								
159-1	tɬ a n + tɬ i								
177-1	m i x + tɬ i								
184-1	t e ʔ w aː + tɬ								
187-1	j oː l + l i								
227-1	i ʔ t e								
1-2		j u h + l u							
2-2		ts u n + t i							
8-2		j u h + l u							
16-2		h uː n i							
24-2		i h t i							
32-2		h uː n i							
51-2		ts u n + t i							
52-2		ts u n + t i							
53-2		t aː n							
54-2		ts u n + t i							
55-2		s iː t a l							
60-2		s e s e k							
83-2		t e h e							
87-2		t aː n							
92-2		ts u n + t i							
103-2		a i k							
106-2		p uː k + t i							
138-2		n e h e							
139-2		h uː n i							
142-2		i s t aː k							
145-2		p uː k + t i							
176-2		ts u n + t i							
179-2		p uː k + t i							
180-2		h uː n i							
186-2		h uː n i							
190-2		p uː k + t i							
194-2		h uː n i							
220-2		s e s e k							
231-2		t e h e							
240-2		ts u n + t i							
283-2		t e h e							
293-2		h uː n i							
314-2		ts u n + t i							
315-2		h uː n i							
322-2		t e h e							
323-2		t e h e							
9-2		t aː n							
17-2		i s t aː k							
22-2		t aː n							
88-2		i h t i							
158-2		j u h + l u							
159-2		t e h e							
177-2		h uː n i							
184-2		t aː n							
187-2		j u h + l u							
227-2		ts u n + t i							
1-3			m o + t i ʔ						
2-3			p oː k + t i						
8-3			t e h						
16-3			i s t aː ʔ						
24-3			i s t aː ʔ						
32-3			m o + t i ʔ						
51-3			p oː k + t i						
52-3			m o + t i ʔ						
53-3			p oː k + t i						
54-3			t a n + t i						
55-3			aː ʔ + t i						
60-3			m o + t i ʔ						
83-3			t a n + t i						
87-3			t a n + t i						
92-3			m o + t i ʔ						
103-3			aː ʔ						
106-3			k o s t i ʔ						
138-3			n e h						
139-3			m o + t i ʔ						
142-3			m o + t i ʔ						
145-3			m o + k e ts a						
176-3			t a n + t i						
179-3			p oː k + t i						
180-3			m o + t i ʔ						
186-3			m o + t i ʔ						
190-3			j a w a l						
194-3			i s t aː ʔ						
220-3			m o + t i ʔ						
231-3			t e h						
240-3			k o s t i ʔ						
283-3			t a n + t i						
293-3			t eː n						
314-3			k o s t i ʔ						
315-3			p oː k + t i						
322-3			t a n + t i						
323-3			t a n + t i						
9-3			t e h						
17-3			m o + t i ʔ						
22-3			t a n + t i						
30-3			m o + t i ʔ						
88-3			t a n + t i						
158-3			n e l w a + ʔ						
159-3			t a n + t i						
177-3			m o + t i ʔ						
184-3			t a n + t i						
187-3			j o w a l						
227-3			k o s t i ʔ						
1-4				s i w a + tɬ					
2-4				n e l w a + tɬ					
8-4				s i w a + tɬ					
16-4				i h t e					
24-4				i h t e					
32-4				m o + tɬ i					
51-4				s i w a + tɬ					
52-4				p o k + tɬ i					
53-4				j o l + o					
54-4				ts o n + tɬ i					
55-4				a + tɬ					
60-4				tʃ i tʃ i					
83-4				s i w a + tɬ					
87-4				p o k + tɬ i					
92-4				m e x + tɬ i					
103-4				a + tɬ					
106-4				a + tɬ					
138-4				n e h w a					
139-4				m o + tɬ i					
142-4				m e x + tɬ i					
145-4				m e x + tɬ i					
176-4				s i w a + tɬ					
179-4				j o w a + tɬ					
180-4				m e x + tɬ i					
186-4				i h t e					
190-4				j e w a + tɬ					
194-4				i h t e					
220-4				s i w a + tɬ					
231-4				i h t e					
240-4				m o + tɬ i					
283-4				t e h w a					
293-4				i h t e					
314-4				k w a k o w					
315-4				i h t e					
322-4				t e h w a					
323-4				tɬ a n					
9-4				t e h w a					
17-4				m o + tɬ i					
30-4				s i w a + tɬ					
88-4				i h t e					
158-4				j e w a + tɬ					
177-4				s i w a + tɬ					
184-4				tɬ a n					
187-4				j o l + o					
227-4				a + tɬ					
1-5					m iː x + t i				
2-5					j e k + t i				
8-5					h oː n				
16-5					h oː n				
24-5					i h t i				
32-5					s e s eː k				
51-5					t eː n				
52-5					i s t aː k				
53-5					t a n				
54-5					t a n				
55-5					b aː b aː				
60-5					i h t i				
83-5					t e h a				
87-5					t a n				
92-5					m o + g e ts a				
103-5					h oː n				
106-5					t a n				
138-5					t eː n				
139-5					m iː x + t i				
142-5					m iː x + t i				
145-5					m o + g e ts a				
176-5					t a n				
179-5					t a n				
180-5					m iː x + t i				
186-5					p oː k + t i				
190-5					j e k + t i				
194-5					h oː n				
220-5					h oː n				
231-5					i h t i				
240-5					p oː k + t i				
283-5					t a n				
293-5					h oː n				
314-5					b aː b aː				
315-5					h oː n				
322-5					t e p eː + t				
323-5					t a n				
9-5					t a n				
17-5					s e s eː k				
22-5					t a n				
30-5					i h t i				
88-5					i h t i				
158-5					t a n				
159-5					t a n				
177-5					i s t aː k				
184-5					t a n				
187-5					t a n				
227-5					i s t aː k				
1-6						m i tʃ i n			
2-6						t uː n a l			
8-6						t eː n			
16-6						i s t a k			
24-6						i s t a k			
32-6						m i x + t i			
51-6						t eː n			
52-6						aː + t			
53-6						t a n			
54-6						t eː n			
55-6						p u k + t i			
60-6						p u k + t i			
83-6						t e p eː + t			
87-6						t a n			
92-6						m u + k e ts a			
103-6						p u k + t i			
106-6						p u k + t i			
138-6						t uː n a l			
139-6						m i x + t i			
142-6						m i x + t i			
145-6						m u + k e ts a			
176-6						t a n			
179-6						t a n			
180-6						m i tʃ i n			
186-6						p u k + t i			
190-6						j a k			
194-6						i s t a			
220-6						p u k + t i			
231-6						i s t a k			
240-6						p u k + t i			
283-6						t eː n			
293-6						i h t i			
314-6						p u k + t i			
315-6						i s t a k			
322-6						t eː n			
323-6						t a n			
9-6						t e p eː + t			
17-6						p u k + t i			
22-6						t a n			
30-6						m i x + t i			
88-6						i s t a k			
158-6						t a n			
159-6						t a n			
177-6						i s w a + t			
184-6						t a n			
187-6						j a k			
227-6						p u k + t i			
1-7							m i tʃ o m		
2-7							m i tʃ o m		
8-7							m i tʃ o m		
