COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	ts o n + tɬ i								
2-1	n e m i + tɬ								
8-1	w eː i j a k								
16-1	t oː k aː + tɬ								
24-1	i s t aː k								
32-1	m i tʃ + i n								
51-1	w i ts								
52-1	w eː i j a k								
53-1	t e ʔ w aː + tɬ								
54-1	tɬ e								
55-1	k w aː + tɬ								
60-1	kx i + tɬ								
83-1	tɬ e								
87-1	tɬ a n + tɬ i								
92-1	m i a k iː n								
103-1	aː + tɬ								
106-1	k w aː + tɬ								
138-1	n e ʔ + n e m i								
139-1	m i a k iː n								
142-1	i ʔ t e								
145-1	m o + k e ts a								
176-1	tɬ a t i aː								
179-1	t eː n + t o k								
180-1	m i x + tɬ i								
186-1	tɬ e								
190-1	j o w a + tɬ								
194-1	i s t aː k								
220-1	o m i + tɬ								
231-1	i ʔ t e								
240-1	p oː k + tɬ i								
283-1	t e p eː + tɬ								
293-1	i ʔ t e								
314-1	k w aː + tɬ								
315-1	o m i + tɬ								
322-1	t e p eː + tɬ								
1-2		ts u n + t i							
2-2		r o n t i n							
8-2		w e j a k							
16-2		t aː n							
24-2		i s t aː k							
32-2		m i a k p a							
51-2		aː t i n							
52-2		s u w a + t							
53-2		r o n t i n							
54-2		t a i							
55-2		p uː k + t i							
60-2		x aː h l i							
83-2		t aː n							
87-2		t aː n							
92-2		m i a k p a							
103-2		a i k							
106-2		p uː k + t i							
138-2		r o n t i n							
139-2		p uː k + t i							
142-2		p uː k + t i							
145-2		p uː k + t i							
176-2		t aː n							
179-2		j e k + t i							
180-2		p uː k + t i							
186-2		t e h e							
190-2		j e k + t i							
194-2		s u w a + t							
220-2		ts u n + t i							
231-2		aː t i n							
240-2		p uː k + t i							
283-2		t a t i							
293-2		h uː n i							
314-2		p uː k + t i							
315-2		aː t i n							
322-2		t e h e							
1-3			m i + ʔ						
2-3			n e h						
8-3			w iː ʔ						
16-3			t eː n						
24-3			i s t aː ʔ						
32-3			m i a ʔ						
51-3			t eː n						
52-3			w iː ʔ						
53-3			n e h + n e h						
54-3			t eː n						
55-3			k w aː k w a						
60-3			m i a ʔ						
83-3			t oː k aː + ʔ						
87-3			t a t i a						
92-3			m i a ʔ						
103-3			m i a ʔ						
106-3			k o s t i ʔ						
138-3			n e h						
139-3			m i a ʔ						
142-3			m i a ʔ						
145-3			m o + k e ts a						
176-3			t a t i a						
179-3			n e l w a + ʔ						
180-3			m i a ʔ						
186-3			t oː k aː + ʔ						
190-3			j eː k + t i						
194-3			t eː n						
