COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ i + n								
2-1	n e x + tɬ i								
8-1	w eː								
16-1	e s + tɬ i								
24-1	i s t e + tɬ								
32-1	m i k								
51-1	o n + iː								
52-1	w aː k + k i								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l + l i								
55-1	k w aː								
60-1	iː x + t e l o l o ʔ								
83-1	tɬ e + tɬ								
87-1	p a tɬ aː n								
92-1	m a k a								
103-1	m aː								
106-1	k a k								
138-1	n e ʔ w aː + tɬ								
139-1	m i k iː + t i aː								
142-1	m a t								
145-1	m o + t eː k a								
176-1	t aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
1-2		m u tʃ i							
2-2		k o + n e x + t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		x i + k							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		b w aː							
60-2		iː x							
83-2		t i + t							
87-2		p a r a n i							
92-2		m a							
103-2		m aː + n							
106-2		k a i							
138-2		n e h e							
139-2		m i k + t i							
142-2		m a							
145-2		m u + r e k a + k							
176-2		t aː k a + t							
179-2		n a k a + t							
180-2		m eː ts + t i							
1-3			n o tʃ i						
2-3			k w a + n eː x						
8-3			w e j i						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i + a						
52-3			w aː k + t o ʔ						
53-3			n a k a s						
54-3			t aː h l i						
55-3			k w a						
60-3			iː x						
83-3			t i ʔ + t i						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m a j i ʔ						
106-3			k a k i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t eː c a						
176-3			t aː g a + ʔ						
179-3			n a k a + ʔ						
180-3			m eː ts + t i						
1-4				n o tʃ i + n					
2-4				tɬ e k o + n e x + tɬ i					
8-4				w e j i					
16-4				j e s + tɬ i					
24-4				i s t + n					
32-4				m i k i					
51-4				o n + i					
52-4				w a h + k i					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t e l o l o					
83-4				tɬ e + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a + n					
106-4				k a k i					
138-4				n e h w a + tɬ					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				tɬ a k a tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
1-5					n o tʃ i				
2-5					b a + n eː x				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː k + t o k				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː x + t o l o l o				
83-5					t i + t				
87-5					p a t aː n i				
92-5					m a g a				
103-5					m aː				
106-5					g a g i				
138-5					n e h a				
139-5					m i k + t i a				
142-5					m a t i				
145-5					m o + t e g a				
176-5					t aː g a + t				
179-5					n a g a + t				
180-5					m eː s + t i				
1-6						m u tʃ i			
2-6						n e x + t i			
8-6						w eː j			
16-6						e s + t i			
24-6						i s t i + t			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + t u k			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː x			
83-6						t iː + t			
87-6						p a t aː n i			
92-6						m a k a			
103-6						m e j			
106-6						k aː k i			
138-6						n a			
139-6						m i k + t i a			
142-6						m a t i			
145-6						m u + t eː k a			
176-6						t aː k a + t			
179-6						n a k a + t			
180-6						m eː ts + t i			
1-7							n o tʃ o		
2-7							n o x + t		
8-7							h u h i o m		
16-7							e s + t		
24-7							o x + t		
32-7							m o k		
51-7							t e m + i		
52-7							w a k		
53-7							n e k e s + t		
54-7							t a l		
55-7							k w a		
60-7							i x + t o t o l u + t		
83-7							t e + t		
87-7							p a t a n k		
92-7							m e k a		
103-7							m a i		
106-7							k e k i		
138-7							n e n		
139-7							m o k t i		
142-7							m e t i		
145-7							t e k e		
176-7							o k o x + t		
179-7							n e k e + t		
180-7							m e s + t		
1-8								m o tʃ ɨ + m	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								i h i	
52-8								w aː k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ aː l + l ɨ	
55-8								k w a + h aː	
60-8								iː x	
83-8								tɬ a h i + tɬ	
87-8								p a tɬ aː n i	
92-8								m a k a	
103-8								m a h	
106-8								k a k i	
138-8								n a h a	
139-8								m ɨ k + t ɨ + h a	
142-8								m a t i	
145-8								m o + t eː k a	
176-8								tɬ aː k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
1-9									n o tʃ iː
2-9									tɬ a k o + n e x + tɬ iː
8-9									b i e j iː
16-9									j e s + tɬ iː
24-9									i s t e
32-9									m iː k iː
51-9									o n + i
52-9									w a h + k iː
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t e l o l o
83-9									tɬ e + ts i n + tɬ iː
87-9									p a tɬ ø n i
92-9									m a k a
103-9									m ø
106-9									k a k iː
138-9									n a h a
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t i e k a
176-9									u m b r e
179-9									n a k a + tɬ
180-9									m i e ts + tɬ iː
