COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	i n + tɬ								
2-1	i w a + tɬ								
8-1	i n + tɬ								
16-1	i s w + tɬ								
24-1	i n + tɬ								
32-1	i n + tɬ								
51-1	i n + tɬ								
52-1	eː w a + tɬ								
53-1	eː w a + tɬ								
54-1	eː w a l + l i								
55-1	k w a + tɬ								
60-1	i n + t i k								
83-1	i n + tɬ								
87-1	eː w a + tɬ								
92-1	eː w a + tɬ								
103-1	i n + tɬ								
106-1	k w a + tɬ								
138-1	i n + tɬ								
139-1	i n + tɬ								
142-1	eː w a + t i k								
145-1	k w a + tɬ								
176-1	i n + tɬ								
179-1	eː w a + tɬ								
180-1	i n + tɬ								
186-1	eː w a + tɬ								
190-1	eː w a + tɬ								
194-1	eː w a + tɬ								
220-1	i n + tɬ								
231-1	i n + tɬ								
240-1	eː w a + tɬ								
283-1	i n + tɬ								
293-1	i n + tɬ								
314-1	k w a + tɬ								
315-1	i n + tɬ								
322-1	eː w a + tɬ								
323-1	i n + tɬ								
9-1	t eː n + t i k								
17-1	i n + tɬ								
22-1	k w a + tɬ								
30-1	eː w a + tɬ								
88-1	i n + tɬ								
158-1	eː w a + tɬ								
159-1	i n + tɬ								
177-1	eː w a + tɬ								
184-1	i n + tɬ								
187-1	k w a + tɬ								
227-1	eː w a l + l i								
235-1	eː w a l + l i								
249-1	i n + tɬ								
251-1	eː w a + tɬ								
289-1	i n + t i								
294-1	k w a + tɬ								
296-1	i n + tɬ								
313-1	eː w a + tɬ								
316-1	i n + tɬ								
318-1	k w a + tɬ								
320-1	eː w a + tɬ								
324-1	i s w + tɬ								
326-1	i n + tɬ								
1-2		t a + t							
2-2		ts u n + t i							
8-2		t a + t i							
16-2		ts u n + t i							
24-2		ts u n + t i							
32-2		t a + t							
51-2		t a + t							
52-2		t a + t							
53-2		t a + t							
54-2		t a + t							
55-2		t a + t							
60-2		s h t i							
83-2		t a + t							
87-2		t a + t							
92-2		t a + t							
103-2		t a + t							
106-2		t a + t i							
138-2		t a + t							
139-2		t a + t							
142-2		t a + t							
145-2		t a + t							
176-2		t a + t							
179-2		t a + t							
180-2		t a + t							
186-2		ts u n + t i							
190-2		t a + t							
194-2		j u u + t							
220-2		t a + t							
231-2		t a + t							
240-2		ts u n + t i							
283-2		t a + t							
293-2		t a + t							
314-2		t a + t							
315-2		t a + t							
322-2		t a + t							
323-2		t a + t							
9-2		t a + t							
17-2		t a + t							
22-2		t a + t							
88-2		j u u + t							
158-2		t a + t							
159-2		t a + t							
177-2		t a + t							
184-2		t a + t							
187-2		t a + t							
227-2		j u u + t							
235-2		t a + t							
249-2		s e k a + t							
289-2		t a + t							
294-2		t a + t							
296-2		t i n							
313-2		t a + t							
316-2		t a + t							
318-2		t a + t							
324-2		j u u + t							
326-2		s e k a + t							
1-3			k a + t i						
2-3			k w a + ʔ						
8-3			k a + t i						
16-3			k a + t i						
24-3			k a + t i						
