COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1									
2-1									
8-1	j e w								
16-1									
24-1									
32-1	k o m								
51-1	i i i w aː + tɬ								
52-1	k a w								
53-1									
54-1	aː + tɬ								
55-1	a w k								
60-1	x iː								
83-1									
87-1									
92-1	aː m								
103-1	w aː n								
106-1	a + t i i k								
138-1	a n								
139-1									
142-1	aː m								
145-1									
176-1									
179-1									
180-1									
186-1	e i k tʃ								
190-1	i k j a								
194-1	e s								
220-1									
231-1	aː ʔ t								
240-1									
283-1									
293-1	iː n n								
314-1									
315-1	e m oː								
322-1									
323-1	a tɬ								
9-1									
17-1	o oː n tɬ i								
22-1									
30-1	ts w aː								
88-1	i kx i								
158-1									
159-1									
177-1									
184-1									
187-1									
227-1									
235-1									
249-1									
251-1									
289-1									
294-1	a t								
296-1									
313-1	n a tɬ								
316-1									
318-1									
320-1	aː + tɬ								
324-1									
326-1	k a								
1-2									
2-2									
8-2		eː o							
16-2									
24-2									
32-2		b m + n							
51-2		u w a + + n u w a + t							
52-2		a e r a							
53-2									
54-2		a h + l t							
55-2		a w k							
60-2		x iː							
83-2									
87-2									
92-2									
103-2		a m							
106-2		t b b							
138-2		e n h							
139-2									
142-2		t t m							
145-2									
176-2									
179-2									
180-2									
186-2		b e tʃ							
190-2		j a + k							
194-2		eː s							
220-2									
231-2		a ʰt							
240-2		o b tʃ							
283-2									
293-2		h iː n							
314-2									
315-2		e m oː							
322-2									
323-2		a t							
9-2									
17-2		b n + t							
22-2									
88-2		u kx							
158-2									
159-2									
177-2									
184-2									
187-2									
227-2									
235-2									
249-2									
289-2									
294-2		e t h							
296-2									
313-2		t a n							
316-2									
318-2									
324-2									
326-2		b a							
1-3									
2-3									
8-3			eː w j						
16-3									
24-3									
32-3			k j m						
51-3			i e k o n i w aː + ʔ						
52-3			k l a						
53-3									
54-3			w a a t						
55-3			k w aː						
60-3			x iː						
83-3									
87-3									
92-3			aː ʔ						
103-3			ø m						
106-3			k a k						
138-3			a t						
139-3									
142-3			aː ʔ						
145-3									
176-3									
179-3									
180-3									
186-3			k e tʃ						
190-3			j a k						
194-3			eː s						
220-3									
231-3			a t i						
240-3			k o tʃ						
283-3									
293-3			i i t						
314-3									
315-3			m o						
322-3									
323-3			eː t						
9-3									
17-3			t j +						
22-3									
30-3			ts l i						
88-3			i i kx						
158-3									
159-3									
177-3									
184-3									
187-3									
227-3									
235-3									
249-3									
251-3									
289-3									
294-3			a n						
313-3			a n ʔ						
316-3									
318-3									
320-3			t + a						
324-3									
326-3			k a						
1-4									
2-4									
8-4				j e w					
16-4									
24-4									
32-4				k j o m					
51-4				i i ts o n + t					
52-4				k a w					
53-4									
54-4				l a i n + tɬ i					
55-4				a w k					
60-4				x i					
83-4									
87-4									
92-4				a n					
103-4				a m					
106-4				i a k					
138-4				e n					
139-4									
142-4				a n					
145-4									
176-4									
179-4									
180-4									
186-4				tʃ e k					
190-4				k a j					
194-4				e s					
220-4									
231-4				a i h t					
240-4				o k tʃ					
283-4									
293-4				n i					
314-4									
315-4				o e m					
322-4									
323-4				e tɬ					
9-4									
17-4				i n + tɬ i tʃ j o					
30-4				i w ts					
88-4				i i kx					
158-4									
177-4									
184-4									
187-4									
227-4									
235-4									
249-4									
251-4									
289-4									
294-4				e t					
296-4									
313-4				tɬ a n					
316-4									
318-4									
320-4				i n + tɬ i tʃ a					
324-4									
326-4				k a					
1-5									
2-5									
8-5					eː w				
16-5									
24-5									
32-5					k m iː				
51-5					o aː + t o aː + t h				
52-5					a e a				
53-5									
54-5					oː t a				
55-5					a a e				
60-5					x iː				
83-5									
87-5									
92-5					+ t a m				
103-5					a m				
106-5					a g g				
138-5					n n t				
139-5									
142-5					m t a				
145-5									
176-5									
179-5									
180-5									
186-5					k e tʃ				
190-5					j a k				
194-5					e s				
220-5									
231-5					a i t				
240-5					g o tʃ				
283-5									
293-5					m o aː + t				
314-5									
315-5					m iː oː				
322-5									
323-5					e t				
9-5									
17-5					t b o				
22-5									
30-5					ts i e				
88-5					i kx				
158-5									
159-5									
177-5									
184-5									
187-5									
227-5									
235-5									
249-5									
251-5									
289-5									
294-5					a t				
296-5									
313-5					a m t				
316-5									
318-5									
320-5					t + a				
324-5									
326-5					a a				
1-6									
2-6									
8-6						eː w			
16-6									
24-6									
32-6						k i m			
51-6						i h i			
52-6						k a w			
53-6									
54-6						l a t			
55-6						aː k w			
60-6						x iː			
83-6									
87-6									
92-6						aː m			
103-6						aː m			
106-6						k k a			
138-6						+ t e h			
139-6									
142-6						aː m			
145-6									
176-6									
179-6									
180-6									
186-6						e k tʃ			
190-6						j a k			
194-6						eː s			
220-6									
