COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ								
2-1	n e x + tɬ i								
8-1	w eː i j								
16-1	i s + tɬ i								
24-1	i s + t i								
32-1	m i k								
51-1	o n + i								
52-1	w aː k								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l + l i								
55-1	k w a								
60-1	iː x								
1-2		n u tʃ i							
2-2		n e x + t i							
8-2		w e j i							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w a k + t u k							
53-2		n a k a s + t i							
54-2		t aː h l i							
55-2		b w a							
60-2		x iː							
1-3			m o tʃ i						
2-3			n e x + t i						
8-3			w eː j						
16-3			i s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i						
52-3			w aː k + t o ʔ						
53-3			n a k a s + t i						
54-3			t aː h l i						
55-3			k w a						
60-3			x iː						
1-4				m o tʃ i					
2-4				tɬ a k o + n e x + tɬ i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t i					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t o k					
53-4				n a k a s + tɬ i					
54-4				tɬ a l i					
55-4				k w a					
60-4				x i					
1-5					m o tʃ i				
2-5					n e x + t i				
8-5					w eː j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː k + t o k				
53-5					n a g a s + t i				
54-5					t aː h l i				
55-5					b a				
60-5					iː x				
1-6						n u tʃ i			
2-6						t e k u m a + n e x + t i			
8-6						w e j			
16-6						e s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n + i			
52-6						w a k			
53-6						n a k a s + t i			
54-6						t aː l i			
55-6						k w a			
60-6						i x + t eː l u l u			
1-7							m o tʃ i		
2-7							t e k o + n e x + t		
8-7							w e		
16-7							e s + t		
24-7							i s t i		
32-7							m o k i		
51-7							o n + i		
52-7							w a k		
53-7							n e k e s + t		
54-7							t e l		
55-7							k w a		
60-7							o x + t o l o l o		
1-8								m o tʃ ɨ	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								i s t ɨ + tɬ	
32-8								m ɨ + k ɨ	
51-8								oː n + ɨ	
52-8								w a h ɨ + k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								x i	
1-9									m o tʃ iː
2-9									n e x + tɬ iː
8-9									b e j iː
16-9									i e ts + tɬ iː
24-9									o tʃ + tɬ iː
32-9									m iː k iː
51-9									o n + i
52-9									w a h + k iː
53-9									n a k a s + tɬ iː
54-9									tɬ ø l iː
55-9									k w a
60-9									i x
