COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ								
2-1	tɬ a k o + n e x + tɬ i								
8-1	w eː i j								
16-1	i s + tɬ i								
24-1	i s + t i								
32-1	m i + k i								
51-1	o n + i								
52-1	w aː k								
53-1	n a k s + tɬ i								
54-1	tɬ a l + l i								
55-1	k w a								
60-1	iː x								
83-1	t e + tɬ								
87-1	p a tɬ a n + tɬ i								
92-1	m a k								
103-1	m aː								
106-1	k a k i								
138-1	n e ʔ w aː + tɬ								
139-1	m i k + t i aː								
142-1	m a t i								
145-1	m o + t e k aː + tɬ								
176-1	t aː k aː + tɬ								
179-1	n a k + tɬ								
180-1	m e ts + tɬ i								
1-2		n u tʃ i							
2-2		n e x + t i							
8-2		w e j i							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		o h o m a i k							
53-2		n a k a s + t i							
54-2		t aː h l i							
55-2		b w a							
60-2		x iː							
83-2		t e + t							
87-2		p a t aː n i							
92-2		m a k a							
103-2		m a + n							
106-2		k a i k							
138-2		n e h e							
139-2		m i k + t i							
142-2		m a t i							
145-2		m u + t e k a							
176-2		t aː k a + t							
179-2		n a k a + t							
180-2		m e ts + t i							
1-3			m o tʃ i						
2-3			t e k o n + n e x + t i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i ʔ						
51-3			o n + i						
52-3			w aː k + t o ʔ						
53-3			n + t i a k s + t i						
54-3			t aː l i						
55-3			k w a						
60-3			x iː						
83-3			t e ʔ + t i						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m aː + ʔ						
106-3			k a k i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t e k aː + ʔ						
176-3			t aː k a + ʔ						
179-3			n a k + t i						
180-3			m eː s + t i						
1-4				m o tʃ i					
2-4				tɬ a k o + n e x + tɬ i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t i					
32-4				m i k i					
51-4				o n + i					
52-4				w a k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				x i					
83-4				t i + tɬ					
87-4				p a tɬ a n					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h w a + tɬ					
139-4				m i k + t i a					
142-4				m a tɬ i					
145-4				m o + t e k a					
176-4				t a k a + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
1-5					m o tʃ i				
2-5					t e g o n + m iː x + t i				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i k				
51-5					o n + i				
52-5					w aː k				
53-5					n a g a s + t i				
54-5					t aː h l i				
55-5					b a				
60-5					iː x				
83-5					t e + t				
87-5					p a t a n				
92-5					m a g a				
103-5					m a				
106-5					g a k				
138-5					n e h a				
139-5					m i k + t i				
142-5					m a t i				
145-5					m o + t e g a				
176-5					t aː k a + t				
179-5					n a g a + t				
180-5					m e ts + t i				
1-6						n u tʃ i			
2-6						n e tʃ + k uː j u			
8-6						w e j			
16-6						e s + t i			
24-6						e tʃ + k uː j u			
32-6						m i k i			
51-6						u n + i			
52-6						w a k			
53-6						n a k a s + t i			
54-6						t a l			
55-6						k w a			
60-6						x iː			
83-6						t e + t			
87-6						p a t a n i			
92-6						m a k			
103-6						m a + t			
106-6						k a k			
138-6						n e h w a + t			
139-6						m i k + t i a			
142-6						m a t i			
145-6						m u + t a k			
176-6						t a k a + t			
179-6						n a k a + t			
180-6						m e ts + t i			
1-7							n o tʃ i		
2-7							k w e + n e x + t		
8-7							w e j		
16-7							o s e + t		
24-7							i s t i		
32-7							m i k i		
51-7							o n + i		
52-7							w a k		
53-7							n e k e s		
54-7							t e l		
55-7							k w a		
60-7							a x + t e l o l o		
83-7							t o + t		
87-7							p a t e n a		
92-7							m e k e		
103-7							a m		
106-7							k a k		
138-7							n a		
139-7							m i k e + t a		
142-7							m a t i		
145-7							x + m o + t e k e + t a		
176-7							t a k e + t		
179-7							n e k e + t		
180-7							m e ts + t		
1-8								m o tʃ ɨ	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								i s t ɨ + tɬ	
32-8								m ɨ + k	
51-8								tɬ a + m ɨ + ɨ	
52-8								w a h ɨ + k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								x i	
83-8								t ɨ + tɬ	
87-8								p a + tɬ a n ɨ	
92-8								m a k a	
103-8								m a	
106-8								k a + k	
138-8								n ɨ h w a + tɬ	
139-8								m ɨ + k + t ɨ + h a	
142-8								m a + tɬ ɨ	
145-8								m o + t ɨ + k a	
176-8								tɬ a k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
1-9									m o tʃ iː
2-9									n e x + tɬ iː
8-9									b e j
16-9									j e s + tɬ iː
24-9									iː s t iː
32-9									m iː k iː
51-9									o n + i
52-9									w ø k iː n u
53-9									n e k a s + tɬ iː
54-9									tɬ ø l iː
55-9									k w a
60-9									i x
83-9									t iː + tɬ
87-9									p a tɬ a n iː
92-9									m a k a
103-9									m a
106-9									k a k iː
138-9									n e h w a + tɬ
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t e k a
176-9									t ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
