COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ iː +								
2-1	+ + n e x + iː								
8-1	w e + + j i +								
16-1	+ e s + t iː								
24-1	iː s t iː x x								
32-1	m iː k iː								
51-1	w iː u n + + iː + +								
52-1	w a k + t u k								
53-1	n a k a s + +								
54-1	t a a l iː + + +								
55-1	k w a + + +								
60-1	iː x iː iː iː u + +								
83-1	+ + t iː + w + t +								
87-1	p a tɬ a n iː +								
92-1	m a k a								
103-1	m a x + + +								
106-1	k a k iː								
138-1	n e h + a + +								
139-1	m iː k + + + t iː a + + +								
142-1	m a t								
145-1	m o + t e + k a +								
176-1	t a + + k a + t								
179-1	n a k a + t								
180-1	m e + ts + t iː								
186-1	k e tʃ + + + + + +								
190-1	j a k a + + +								
194-1	s e + +								
220-1	o h + + t + iː +								
231-1	iː + t a								
240-1	k o tʃ iː								
283-1	+ + t e + + t +								
293-1	a iː n iː i								
314-1	k w a x iː + + + + t								
315-1	o m e +								
322-1	t e h iː m e n + + + + +								
1-2		n o Ø Ø +							
2-2		+ u u + n Ø x + tɬ o							
8-2		b Ø u t j u							
16-2		e s + Ø Ø							
24-2		i s t Ø + h							
32-2		m Ø k i							
51-2		u Ø n w + i u u							
52-2		b a k + k Ø h							
53-2		n a k a s e							
54-2		Ø a u l i e							
55-2		k b a w w w							
60-2		i x t Ø Ø l o u u							
83-2		+ Ø Ø u w + Ø u							
87-2		Ø a Ø a n u i							
92-2		m a k a							
103-2		m a u u							
106-2		k a k iː							
138-2		n e h Ø Ø							
139-2		m Ø k u u + t Ø a w w w							
142-2		m a t iː							
145-2		m o + t e k a							
176-2		t Ø k a + Ø							
179-2		n a k a + Ø							
180-2		m Ø s + Ø Ø							
186-2		k Ø x + + tɬ							
190-2		j a k Ø + tɬ u							
194-2		s e							
220-2		o h + u Ø u Ø u							
231-2		iː t Ø a							
240-2		k o Ø							
283-2		t e u + Ø u							
293-2		n i n u i							
314-2		k b a b i + w w w Ø							
315-2		o m e u							
322-2		t e h b e w w w w w							
1-3			n o tʃ iː +						
2-3			n n e x + tɬ iː						
8-3			w e t j u						
16-3			e s + tɬ iː						
24-3			iː s t iː						
32-3			m iː k iː						
51-3			u iː n + iː i						
52-3			w a k + k						
53-3			n a k a s						
54-3			tɬ Ø l iː						
55-3			k w a u u						
60-3			i x + t n iː l iː u u u						
83-3			tɬ iː u + tɬ						
87-3			p a tɬ Ø n u iː						
92-3			m a k a						
103-3			m a u u n						
106-3			k a k						
138-3			n e h u a +						
139-3			m iː k u u + t iː a u u						
142-3			m a t						
145-3			m o + t e k a i i						
176-3			t Ø k a u + tɬ						
179-3			n a k a + tɬ						
180-3			m e ts + tɬ iː						
186-3			k e tʃ + tɬ						
190-3			j a k n +						
194-3			s e u						
220-3			o h + u tɬ u iː u						
231-3			iː t a						
240-3			k o tʃ						
283-3			i i i t e + t						
293-3			iː n u Ø						
314-3			k w a w + u u tɬ						
315-3			o m e u						
322-3			t e h w e n u u u						
1-4				n o tʃ iː					
2-4				+ + n e x + tɬ j					
8-4				w e j + +					
16-4				+ e s + tɬ iː					
24-4				iː s t i					
32-4				m iː k i					
51-4				+ o n + + iː + +					
52-4				w i k + t x k					
53-4				n a k a s					
54-4				tɬ i l i					
55-4				k w a + + +					
60-4				i x iː iː + +					
83-4				+ + t iː + + tɬ +					
87-4				p a tɬ i n + i					
92-4				m a k a					
103-4				m a + + +					
106-4				k a k iː					
138-4				n e h					
139-4				m iː k + + + t iː a + + +					
142-4				m a t iː					
145-4				m o + t e + k a + +					
176-4				t i + + k a + + tɬ					
179-4				n a k a + tɬ					
180-4				m e + ts + tɬ iː					
186-4				k e tʃ + +					
190-4				j a k + + +					
194-4				s e +					
220-4				o h + + tɬ + iː +					
231-4				iː t a					
240-4				k o tʃ iː					
283-4				+ + + + t e + t +					
293-4				+ iː n x					
314-4				k w a b iː + + + + tɬ					
315-4				u m e +					
322-4				t e h a m e n + + + + +					
1-5					n o Ø iː +				
2-5					ø n Ø x Ø Ø iː				
8-5					b e j ø				
16-5					e s + tɬ iː				
24-5					iː s t iː + n				
32-5					m iː k iː				
51-5					w o n + i iː ø ø				
52-5					b a k + t n				
53-5					n a k a s iː				
54-5					tɬ a i l i iː				
55-5					k b a w w				
60-5					iː x o ø u u				
83-5					tɬ e w + tɬ				
87-5					p a tɬ a n ø iː				
92-5					m a k a				
103-5					m a ø u n				
106-5					k a k				
138-5					n e h				
139-5					m iː k u u + t iː a w w				
142-5					m a t				
145-5					m o + t e k a i i				
176-5					t Ø k a ø + tɬ				
179-5					n a k a + tɬ				
180-5					m e ts + tɬ iː				
186-5					k e x + tɬ				
190-5					j a k + Ø				
194-5					s e ø				
220-5					o h + ø tɬ ø iː ø				
231-5					t a				
240-5					k o Ø				
283-5					i i i t e + tɬ				
293-5					i iː n i				
314-5					k b a w + w w tɬ				
315-5					u m e ø				
322-5					t Ø h b a n w w w				
1-6						n iː tʃ i + iː			
2-6						+ + + n e x + tɬ			
8-6						b e + j +			
16-6						e s + tɬ i			
24-6						i s t iː + tɬ			
32-6						m i k i			
51-6						+ iː n + u i n n			
52-6						b a k Ø iː n			
53-6						n a k a s iː iː			
54-6						tɬ a l i iː iː			
55-6						k w a u u u			
60-6						iː x + t e iː + +			
83-6						+ tɬ e u + tɬ			
87-6						p a tɬ a n + i			
92-6						m a k a			
103-6						m a + +			
106-6						k a k iː			
138-6						n e h Ø +			
139-6						m i k + + + t i a u u u			
142-6						m a t iː			
145-6						m iː + t e k a i i			
176-6						t a k a + + tɬ			
179-6						n a k a + tɬ			
180-6						m e ts + tɬ i			
186-6						k e tʃ + + tɬ iː			
190-6						j e k + + Ø +			
194-6						s e +			
220-6						iː h + + tɬ + iː +			
231-6						iː + t a			
240-6						k iː tʃ iː			
283-6						+ t e + tɬ			
293-6						u i n u			
314-6						k w a b i + u u tɬ			
315-6						u m e +			
322-6						t e h u b Ø n u u u u u			
1-7							n o tʃ iː n		
2-7							iː n e x + tɬ iː		
8-7							b e iː iː j		
16-7							e Ø + tɬ iː		
24-7							iː Ø t iː n		
32-7							m iː k iː		
51-7							o n + iː iː iː iː iː		
52-7							b a k + t iː n		
53-7							n a k a Ø + iː		
54-7							tɬ a iː iː +		
55-7							Ø w a iː iː iː		
60-7							iː x b b b iː		
83-7							iː iː tɬ iː iː iː + tɬ iː		
87-7							Ø a tɬ a n iː		
92-7							m a k a		
103-7							m a iː iː iː n		
106-7							k a k iː		
138-7							n e b a tɬ		
139-7							m iː k iː + t iː a iː iː iː		
142-7							m a t iː		
145-7							m o + t e iː k a iː iː		
176-7							t a iː iː k a + Ø		
179-7							n a k a + Ø		
180-7							m e iː ts + tɬ iː		
186-7							k e tʃ + tɬ iː iː		
190-7							j a k + tɬ iː iː		
