COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	aː + tɬ								
2-1	tɬ a + tɬ								
8-1	m i + tɬ								
16-1	tɬ a n + tɬ								
24-1	tɬ a + tɬ								
32-1	aː + tɬ i								
51-1	tɬ a + tɬ								
52-1	aː + tɬ								
53-1	tɬ a + tɬ								
54-1	tɬ a + tɬ								
55-1	tɬ a + tɬ								
60-1	m i + tɬ								
83-1	tɬ a + tɬ								
87-1	tɬ a + tɬ								
92-1	aː k								
103-1	tɬ a + tɬ								
106-1	tɬ a + tɬ								
138-1	tɬ a n + tɬ								
139-1	m o + t oː k								
142-1	tɬ a n + tɬ i								
145-1	tɬ a n + tɬ								
176-1	tɬ a n + tɬ								
179-1	tɬ a + tɬ								
180-1	aː + tɬ								
186-1	tɬ a + tɬ								
190-1	aː + tɬ								
194-1	aː + tɬ								
220-1	tɬ a n + tɬ								
231-1	tɬ a + tɬ								
240-1	aː + tɬ								
283-1	t oː n + tɬ								
293-1	m i + tɬ								
314-1	tɬ a + tɬ								
315-1	aː + tɬ								
322-1	t e m i + tɬ								
1-2		t a i							
2-2		t a t i							
8-2		t a i							
16-2		t a t i							
24-2		t a t i							
32-2		t a i							
51-2		t a i							
52-2		t a t i							
53-2		t a t i							
54-2		t a i							
55-2		t a t i							
60-2		t a t i							
83-2		t a t i							
87-2		t a i							
92-2		t a i							
103-2		t a t i							
106-2		t a i							
138-2		t a t i							
139-2		t a t i							
142-2		t a i							
145-2		t a t i							
176-2		t a t i							
179-2		t a t i							
180-2		t a t i							
186-2		t a t i							
190-2		t a t i							
194-2		t a i							
220-2		t a t i							
231-2		t a i							
240-2		t a i							
283-2		t a t i							
293-2		t a t i							
314-2		t a t i							
315-2		t a i							
322-2		t a t i							
1-3			m o + t i						
2-3			t a n + t i						
8-3			t eː n						
16-3			k w aː + ʔ						
24-3			t eː n						
32-3			aː ʔ						
51-3			k w aː + ʔ						
52-3			aː ʔ + t i ʔ						
53-3			t a n + t i						
54-3			t eː n						
55-3			t a n + t i						
60-3			m o + t i						
83-3			aː ʔ						
87-3			t eː						
92-3			t a n + t i						
103-3			aː ʔ						
106-3			t a t i						
138-3			t eː						
139-3			t eː n + t i						
142-3			t eː n						
145-3			t eː n + t i						
176-3			t eː						
179-3			t a n + t i						
180-3			k w aː + ʔ						
186-3			t oː k + t i						
190-3			t a n + t i						
194-3			t eː n						
220-3			k w aː + ʔ						
231-3			t eː n						
240-3			t eː						
283-3			t eː n						
293-3			t eː						
314-3			t a n + t i						
315-3			t eː						
322-3			t eː n						
1-4				m i + tɬ i					
2-4				tɬ a n					
8-4				tɬ a n					
16-4				t e n					
24-4				i h t e					
32-4				i h tɬ i					
51-4				tɬ e n					
52-4				tɬ a k					
53-4				tɬ a n					
54-4				tɬ a l i					
55-4				j e w a + tɬ					
60-4				i a k					
83-4				tɬ a k					
87-4				tɬ a n					
92-4				j e w a + tɬ					
103-4				tɬ a l i					
106-4				tɬ a k					
138-4				tɬ a n					
139-4				i h t i k					
142-4				tɬ a k					
145-4				m o + tɬ a					
176-4				tɬ a n					
179-4				t e n					
180-4				m o + tɬ i					
186-4				m o + tɬ i					
190-4				tɬ a k					
194-4				tɬ a n					
220-4				m o + tɬ					
231-4				tɬ a n					
240-4				tɬ a k					
283-4				t e n					
293-4				i n					
314-4				j e w a + tɬ					
315-4				tɬ e n					
322-4				t e n					
1-5					t eː n				
2-5					m o + t i				
8-5					i h t i				
16-5					t eː n				
24-5					i h t i				
32-5					i s t i				
51-5					aː k				
52-5					aː + t				
53-5					t eː n				
54-5					t e h a				
55-5					t e t i				
60-5					i h t i				
83-5					t a + t				
87-5					t eː n				
92-5					m o + t i				
103-5					t eː				
106-5					m i + t i				
138-5					t e h a				
139-5					i h t i				
142-5					t a t i				
145-5					t eː n				
176-5					t a + t				
179-5					t eː n				
180-5					m o + t i				
186-5					m i + t i				
190-5					m i + t i				
194-5					t e h a				
220-5					i h t i				
231-5					t a t i				
240-5					i h t i				
283-5					t eː n				
293-5					t a n				
314-5					t a t i				
315-5					t e h a				
322-5					t e h a				
1-6						aː + t a			
2-6						t i + t i			
8-6						aː + t i			
16-6						aː + t i			
24-6						aː + t i			
32-6						aː + t i			
51-6						t eː + t			
52-6						aː + t i			
53-6						t a n			
54-6						aː + t i			
55-6						aː + t i			
60-6						aː + t i			
83-6						aː + t i			
87-6						t a n			
92-6						t a k			
103-6						aː + t i			
106-6						aː + t i			
138-6						t a k			
139-6						aː + t i			
142-6						aː + t i			
145-6						aː + t i			
176-6						t a n			
179-6						t a n			
180-6						aː + t i			
186-6						t a n			
190-6						aː + t i			
194-6						aː + t i			
220-6						aː + t i			
231-6						t a			
240-6						t eː + t			
283-6						t a k			
293-6						aː + t i			
314-6						aː + t i			
315-6						t a k			
322-6						t a k			
1-7							a t		
2-7							a + t		
8-7							a t		
16-7							t e n		
24-7							t e n		
32-7							a t		
51-7							a t		
52-7							a + t		
53-7							t e n		
54-7							t e n		
55-7							a t		
60-7							a t		
83-7							a + t		
87-7							t e n		
92-7							a t		
103-7							a t		
106-7							a t		
138-7							t e		
139-7							t e n		
142-7							a t		
145-7							a + t		
176-7							t e n		
179-7							t e n		
180-7							t e n		
186-7							a + t		
190-7							t e n		
194-7							a t		
220-7							t e n		
231-7							a t		
240-7							a t		
283-7							a + t		
293-7							t e n		
314-7							a + t		
315-7							a t		
322-7							a + t		
1-8								tɬ a	
2-8								tɬ a + tɬ ɨ	
8-8								tɬ a + tɬ	
16-8								tɬ a + tɬ	
24-8								aː k	
32-8								ɨ kx ɨ	
51-8								tɬ a	
52-8								tɬ a + tɬ	
53-8								tɬ a n	
54-8								tɬ a	
55-8								tɬ a	
60-8								tɬ a + tɬ ɨ	
83-8								tɬ a	
87-8								tɬ a	
92-8								tɬ a k	
103-8								aː + tɬ	
106-8								tɬ a	
138-8								tɬ a + tɬ ɨ	
139-8								tɬ a + tɬ ɨ	
142-8								tɬ a + tɬ ɨ	
145-8								tɬ a k	
176-8								tɬ a n	
179-8								tɬ a k	
180-8								m ɨ + tɬ	
186-8								tɬ a + tɬ ɨ	
190-8								tɬ a + tɬ ɨ	
194-8								tɬ a + tɬ	
220-8								aː + tɬ	
231-8								tɬ a n	
240-8								tɬ a + tɬ	
283-8								tɬ a + tɬ ɨ	
293-8								tɬ a	
314-8								tɬ a n	
315-8								tɬ a	
322-8								tɬ a + tɬ ɨ	
1-9									t u n + tɬ iː
2-9									t e n + tɬ iː
8-9									tɬ a n + tɬ iː
16-9									t e n + tɬ iː
24-9									tɬ a n + tɬ iː
32-9									tɬ a n + tɬ iː
51-9									t u n + tɬ iː
52-9									tɬ a n + tɬ iː
53-9									tɬ a n + tɬ iː
54-9									tɬ a n + tɬ iː
55-9									tɬ a n + tɬ iː
60-9									tɬ a l iː
83-9									tɬ a n + tɬ iː
87-9									tɬ a n + tɬ iː
92-9									tɬ a n + tɬ iː
103-9									tɬ a n + tɬ iː
106-9									tɬ a n + tɬ iː
138-9									tɬ a n + tɬ iː
139-9									tɬ a n + tɬ iː
142-9									tɬ a n + tɬ a
145-9									tɬ a n + tɬ iː
176-9									tɬ a n + tɬ iː
179-9									tɬ a n + tɬ iː
180-9									tɬ a n + tɬ iː
186-9									tɬ a n + tɬ iː
190-9									tɬ a n + tɬ iː
194-9									t e j a k
220-9									tɬ a n + tɬ iː
231-9									tɬ a n + tɬ iː
240-9									tɬ a n + tɬ iː
283-9									tɬ a n + tɬ iː
293-9									tɬ a n + tɬ iː
314-9									tɬ a n + tɬ iː
315-9									tɬ a n + tɬ iː
322-9									tɬ a n + tɬ iː
