COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	i ʔ t e								
2-1	t e p eː + tɬ								
8-1	j oː l + l i								
16-1	i s w a + tɬ								
24-1	i ʔ t e								
32-1	m i x + tɬ i								
51-1	i ʔ t e								
52-1	eː w a + tɬ								
53-1	tɬ a n + k w a i								
54-1	tɬ iː l + l i								
55-1	k w aː + tɬ								
60-1	m i tʃ + tɬ								
83-1	t e p eː + tɬ								
87-1	tɬ a n + k w a i								
92-1	tɬ a n + k w a i								
103-1	j oː l + l i								
106-1	k i j a w + tɬ								
138-1	i n + oː n								
139-1	m i x + tɬ i								
142-1	m i tʃ + tɬ								
145-1	k o s w a + tɬ								
176-1	tɬ a n + k w a i								
179-1	tɬ a n + k w a i								
180-1	m i x + tɬ i								
186-1	s i w aː + tɬ								
190-1	j e l w a + tɬ								
194-1	i ʔ t e								
220-1	ʔ t o aː								
231-1	i h w i + tɬ								
240-1	ts o n + tɬ i								
283-1	t e p eː + tɬ								
293-1	i ʔ t e								
314-1	j o w a l + l i								
315-1	m i x + tɬ i								
322-1	t eː n + tɬ i								
323-1	tɬ iː l + l i								
9-1	t e p eː + tɬ								
17-1	ʔ t e								
22-1	tɬ a n + k w a i								
30-1	ts o n + tɬ i								
88-1	i ʔ t e								
158-1	j e l w a + tɬ								
159-1	m i x + tɬ i								
177-1	m i x + tɬ i								
184-1	t e p eː + tɬ								
187-1	k i j a w + tɬ								
227-1	s i w aː + tɬ								
235-1	k o s w a + tɬ								
249-1	ts o n + tɬ i								
251-1	k o s w a + tɬ								
289-1	k i j a w + tɬ								
294-1	t e p eː + tɬ								
296-1	i n + oː n								
313-1	t e p eː + tɬ								
316-1	i ʔ t e								
318-1	t e p eː + tɬ								
320-1	a tʃ + tɬ i								
324-1	iː ts + t i k								
326-1	a ʔ m oː								
1-2		ts u n + t i							
2-2		j u h + l u							
8-2		j u h l u							
16-2		i h t i							
24-2		i h t i							
32-2		j u h + l u							
51-2		ts u n + t i							
52-2		ts u n + t i							
53-2		r o n t i n							
54-2		ts u n + t i							
55-2		s u w a + t							
60-2		s u w a + t							
83-2		r o n t i n							
87-2		r o n t i n							
92-2		ts u n + t i							
103-2		j u h + l u							
106-2		ts u n + t i							
138-2		j u h + l u							
139-2		ts u n + t i							
142-2		ts u n + t i							
145-2		ts u n + t i							
176-2		ts u n + t i							
179-2		r o n t i n							
180-2		j u h + l u							
186-2		ts u n + t i							
190-2		j e k + t i							
194-2		s e s e k							
220-2		ts u n + t i							
231-2		r o n t i n							
240-2		ts u n + t i							
283-2		t eː n							
293-2		i h t i							
314-2		j e k + t i							
315-2		ts u n + t i							
322-2		t eː n							
323-2		t eː n							
9-2		t eː n							
17-2		ts u n + t i							
22-2		r o n t i n							
88-2		i h t i							
158-2		j e k + t i							
159-2		ts u n + t i							
177-2		ts u n + t i							
184-2		t eː n							
187-2		j u h + l u							
227-2		tʃ u tʃ u							
235-2		ts u n + t i							
249-2		i h t i							
289-2		j u h l u							
294-2		r o n t i n							
296-2		j u h + l u							
313-2		r o n t i n							
316-2		i h t i							
318-2		t eː n							
324-2		i s w a + t							
326-2		j e k + t i							
1-3			m i x + t i						
2-3			t a n + k w a						
8-3			j eː k + t i						
16-3			m i x + t i						
24-3			i s w a ʔ						
32-3			m i x + t i						
51-3			t e p eː + ʔ						
52-3			k + i h t o a						
53-3			t a n + k w a						
54-3			j oː l						
55-3			k + i h t o a						
60-3			m i x + t i						
83-3			t oː p eː + ʔ						
87-3			m i w aː + ʔ						
92-3			m i w a ʔ						
103-3			m i x + t i						
106-3			k i a h u a l						
138-3			n e l w a + ʔ						
139-3			m i x + t i						
142-3			k i a h u a l						
145-3			k + i h t o a						
176-3			t a n + k w a						
179-3			t a n + k w a						
180-3			m i x + t i						
186-3			k i s t i ʔ						
190-3			j oː l						
194-3			s e s eː ʔ						
220-3			j eː k + t i						
231-3			t a n + k w a						
240-3			k i s ʔ						
283-3			t e p eː + ʔ						
293-3			m i x + t i						
314-3			k + i h t o a						
315-3			m i x + t i						
322-3			t oː p eː + ʔ						
323-3			t oː p o h						
9-3			t e p eː + ʔ						
17-3			m i x + t i						
22-3			t a n + k w a						
30-3			j oː l						
88-3			m i x + t i						
158-3			k + i h t o a						
159-3			m i x + t i						
177-3			m i w aː + ʔ						
184-3			t e p eː + ʔ						
