COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r e θ a									
18-1	θ a ɴ									
35-1	h i sː a r i									
36-1	h u r u s a r i									
48-1	n aː									
60-1	θ u s i									
63-1	s i ɴ d o									
64-1	x i									
67-1	h w a									
68-1	n aː									
71-1	tɕ i									
76-1	h u s u									
83-1	ts ɨ n a									
87-1	h a n a									
95-1	m i tɕ i									
98-1	h a n a									
99-1	k u b i									
-102-1	ɕ aː tɕ i									
103-1	ts ɨ b u s i									
110-1	θ ɨ ɴ									
116-1	m eː r u r i									
120-1	n uː									
132-1	k i m o									
139-1	k u r u s a r i									
140-1	ʔ u θ u r i									
156-1	θ a n a									
168-1	ts ɨ z ɨ									
169-1	h u s u									
14-2		k o r o kʲ a								
18-2		d a k e r u								
35-2		h i t o								
36-2		h u r u t a								
48-2		n a g a r a								
60-2		t o								
63-2		s i r a								
64-2		k iː								
67-2		h a								
68-2		n e t e								
71-2		tɕ i								
76-2		h o r u								
83-2		ts u n a								
87-2		h a g e								
95-2		m i z u								
98-2		h a n a								
99-2		k u b i								
-102-2		s i t a								
103-2		ts u d a k i								
110-2		t e								
116-2		m i z u								
120-2		n u k u								
132-2		k i k i								
139-2		k o r o kʲ a								
140-2		o t e r u								
156-2		t a g a r u								
168-2		tɕ i k i								
169-2		h o s i								
14-3			k o k e							
18-3			d a m e							
35-3			h i j i							
36-3			h u r u							
48-3			n a g a							
60-3			t o j e							
63-3			s i j i tɕ o							
64-3			k i							
67-3			h a							
68-3			n a i							
71-3			tɕ i							
76-3			h e i							
83-3			ts u b a							
87-3			h a i n e							
95-3			m i							
98-3			h a i n a							
99-3			k u							
-102-3			s i d e							
103-3			ts u b a							
110-3			t e							
116-3			m u							
120-3			n u ɴ							
132-3			k i d o							
139-3			k o s u							
140-3			o i s							
156-3			t a m a							
168-3			ts u							
169-3			h e i							
14-4				k u r e r u						
18-4				d a m e						
35-4				h i t o						
