COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k Ø r Ø									
18-1	Ø a r Ø									
35-1	h i Ø Ø Ø u									
36-1	h u Ø Ø Ø u									
48-1	n a ŋ a Ø Ø Ø									
60-1	Ø Ø r Ø Ø i									
63-1	Ø Ø r a m i									
64-1	k i									
67-1	h a Ø									
68-1	n Ø									
71-1	Ø Ø Ø Ø i									
76-1	h Ø n e									
83-1	Ø u n Ø									
87-1	h a Ø n e									
95-1	m i m Ø									
98-1	h a Ø n a									
99-1	Ø u Ø Ø									
-102-1	Ø Ø Ø a									
103-1	Ø u m e									
110-1	Ø Ø									
116-1	m u n Ø Ø e									
120-1	n Ø m u Ø									
132-1	k Ø k u Ø									
139-1	k Ø r Ø Ø u Ø									
140-1	Ø Ø Ø Ø u									
156-1	Ø a Ø Ø Ø									
168-1	Ø u k Ø									
169-1	h Ø Ø Ø Ø									
170-1	m i Ø u									
173-1	i Ø Ø									
180-1	Ø u m Ø									
185-1	h Ø a Ø i									
186-1	m Ø Ø r u Ø									
187-1	m Ø Ø Ø									
190-1	a Ø k a Ø Ø Ø									
193-1	k a r Ø Ø									
194-1	Ø Ø r Ø Ø Ø Ø									
195-1	Ø u r Ø Ø Ø Ø									
216-1	m a r Ø Ø i Ø Ø Ø									
221-1	n a Ø Ø									
239-1	i Ø u									
252-1	m i Ø u									
253-1	Ø Ø Ø u									
254-1	i Ø u Ø u									
266-1	k a Ø Ø e									
267-1	n a ŋ a r Ø r u Ø									
268-1	u m Ø									
272-1	a m a Ø									
276-1	a Ø r a u Ø									
281-1	m u Ø Ø Ø i									
304-1	Ø u Ø k a									
305-1	Ø i a i									
308-1	h a n a									
309-1	Ø u Ø a									
310-1	Ø Ø									
311-1	n i									
342-1	Ø u k Ø									
346-1	Ø u r a Ø Ø Ø									
347-1	k Ø r u Ø									
348-1	h Ø Ø r Ø Ø Ø Ø									
351-1	Ø Ø Ø Ø Ø									
361-1	Ø Ø m Ø Ø									
379-1	Ø u Ø a r a Ø Ø Ø									
394-1	h Ø Ø n a r Ø									
395-1	m Ø Ø Ø									
400-1	h i Ø a r a Ø Ø									
412-1	Ø a k Ø r u Ø									
413-1	Ø Ø Ø Ø a Ø u Ø									
414-1	h Ø r u Ø									
422-1	h u k u r Ø r u									
423-1	k a n ŋ a Ø r u									
430-1	h a k u Ø									
435-1	h u k u Ø									
446-1	Ø Ø Ø Ø Ø a									
447-1	Ø a Ø Ø Ø									
458-1	Ø Ø Ø Ø									
56-1	h u Ø Ø									
62-1	Ø i n u									
70-1	Ø a n Ø									
96-1	m Ø									
101-1	h a									
114-1	Ø u Ø i									
119-1	k Ø m o									
134-1	Ø Ø Ø Ø r u									
138-1	Ø i n u									
146-1	Ø a r u Ø u									
161-1	Ø Ø u u Ø									
182-1	Ø Ø Ø m u Ø i									
188-1	Ø a m a									
196-1	Ø Ø r u									
262-1	h Ø i r m a									
300-1	h e Ø Ø Ø									
313-1	Ø Ø e									
350-1	Ø e Ø a Ø a Ø									
352-1	Ø i k a Ø a Ø									
396-1	h u r u Ø Ø Ø Ø									
401-1	Ø Ø Ø u									
420-1	Ø Ø i r u									
424-1	Ø u Ø a Ø u Ø									
442-1	Ø i m e Ø u k Ø r u									
455-1	Ø i k i Ø Ø Ø a									
15-1	Ø a r Ø									
49-1	o n n a ŋ Ø									
130-1	m i r u									
149-1	k u r u									
175-1	Ø u n a									
199-1	Ø a ts Ø Ø Ø									
230-1	Ø a n Ø Ø i Ø o									
233-1	a Ø Ø h i Ø Ø Ø a i									
264-1	k Ø r Ø									
274-1	n u r e Ø Ø Ø Ø a									
298-1	k e ŋ a Ø u a									
303-1	h a r a u a Ø a									
354-1	a Ø Ø Ø Ø Ø									
369-1	k Ø r Ø r u									
376-1	Ø a r Ø Ø Ø									
415-1	m a Ø a Ø a Ø									
418-1	n u Ø Ø									
456-1	Ø u n a									
59-1	Ø Ø Ø Ø									
118-1	Ø i n Ø Ø Ø									
142-1	Ø Ø Ø u Ø									
14-2		k o r								
18-2		d a r e								
35-2		h i t o u								
36-2		h u t aː u								
48-2		n a ŋ a i								
60-2		t o r i								
63-2		s i r a m o								
64-2		k i								
67-2		h aː								
68-2		n e								
71-2		a a tɕ i								
76-2		h o n i								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u ts i								
-102-2		s i t a								
103-2		ts u m i								
110-2		t e								
116-2		m u n u e								
120-2		n o m								
132-2		k i k u								
139-2		k o r o s								
140-2		o ŋ o w								
156-2		t a k o r								
168-2		ts u k i								
169-2		h o s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i ts i								
190-2		a k a i								
193-2		k i r o u								
194-2		s i r o i								
195-2		k u r o i								
216-2		m a u r o w w kː								
221-2		n aː u								
239-2		i u								
252-2		m i u								
253-2		o u								
254-2		i ts u u								
266-2		k a Ø e								
267-2		n a ŋ a r e r u								
268-2		u m i								
272-2		a m a								
276-2		a r a o u								
281-2		m u s i								
304-2		ts u b iː								
305-2		tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		u k i								
346-2		k u r a i								
347-2		k i r								
348-2		h i r u								
351-2		t o								
361-2		o m u i								
379-2		k u s a r a								
394-2		h i d a r i								
395-2		m i i								
400-2		h i ts a r u								
412-2		s a k e r								
413-2		ts u k i a s u								
414-2		h o r								
422-2		h u k u r o r o								
423-2		k a n ŋ a r u								
430-2		h a k								
435-2		h u k u								
446-2		s i t a a								
447-2		w u								
458-2		t o s i								
56-2		h o t o								
65-2		k a w a								
70-2		tɕ a n e								
75-2		k a w a								
114-2		k u b i								
119-2		k i m o								
161-2		u u								
171-2		k a w a								
188-2		a m a								
196-2		u r u								
262-2		h i r m a								
300-2		h e u s o								
313-2		w d e								
350-2		kː e m a w o								
352-2		tɕ i k w w a i								
396-2		h u r u w w								
