COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u									
18-1	θ a n ɨ									
35-1	tɕ u									
36-1	h u r u s a r i									
48-1	n a ɴ θ ɨ									
60-1	θ u b u									
63-1	ɕ aː tɕ i									
64-1	k i r i									
67-1	h a g i									
68-1	n uː									
71-1	tɕ i									
76-1	h u s u									
83-1	ts ɨ n a									
87-1	h a g i									
95-1	n i g i r i									
98-1	h a g i									
99-1	k u b i									
-102-1	ɕ aː tɕ i									
103-1	ts ɨ b u s i									
110-1	θ uː									
116-1	m iː s a r i									
120-1	n o u r i									
132-1	k i r u r i									
139-1	k u s a r i									
140-1	ʔ u d u ɴ									
156-1	θ a n ɨ									
168-1	ts ɨ b u s i									
169-1	h u									
170-1	mʲ uː r i									
173-1	ʔ i ɴ									
180-1	k u s a r i									
185-1	h w a									
186-1	m u θ u									
187-1	n i g i r i									
190-1	ʔ a ɴ tɕ u									
193-1	k u r i									
194-1	s i mʲ u r i									
195-1	k u r i									
216-1	m a ɕ u									
221-1	n a tɕ i									
239-1	ʔ i ɴ									
252-1	mʲ uː r i									
253-1	j u k i									
254-1	ʔ i ɴ									
266-1	x a ɴ g e									
267-1	n a g e									
268-1	ʔ u s u r i									
272-1	ʔ a ɴ tɕ u									
276-1	ʔ a m a									
281-1	m u s i									
304-1	ts ɨ n a									
305-1	tɕ i									
308-1	h a g i									
309-1	k u s a r i									
310-1	θ u dʑ i									
311-1	n a g i									
14-2		k o r i								
18-2		t a n e								
35-2		h i t o								
36-2		h u k u								
48-2		n a g u a								
60-2		t o kʲ a								
63-2		s i t a								
64-2		k iː								
67-2		h a r a								
68-2		n e								
71-2		tɕ i tɕ i								
76-2		h e tsː o g o								
83-2		ts u n a								
87-2		h a n e								
95-2		m i								
98-2		h a g u								
99-2		k u b i								
-102-2		s i t a								
103-2		ts u n a								
110-2		d e								
116-2		m u s u b u								
120-2		n o m u								
132-2		k i r u								
139-2		k o r u								
140-2		o m o kʲ a								
156-2		t a m a								
168-2		tɕ i tɕ i								
169-2		h o k o r i								
170-2		m i								
173-2		i k i								
180-2		k u b i								
185-2		h a								
186-2		m o kʲ a								
187-2		m i								
190-2		a ts u kʲ a								
193-2		k oː r i								
194-2		s i t a								
195-2		k u r u								
216-2		m a sː u n a								
221-2		n a g o								
239-2		i d e								
252-2		m i								
253-2		j u k i								
254-2		i d e								
266-2		k u a								
267-2		n a g u a								
268-2		u d e								
272-2		a o kʲ a								
276-2		a ts u kʲ a								
281-2		m u s i								
304-2		ts u n a								
305-2		tɕ i tɕ i								
308-2		h a g u								
309-2		k u b i								
310-2		t o kʲ a								
311-2		n i g i								
14-3			k oː							
18-3			t a n e							
35-3			h i j i							
36-3			h u k u r u							
48-3			n a g o							
60-3			t o i							
63-3			s i t e							
64-3			k i j i							
67-3			h a							
68-3			n uː							
71-3			tɕ i							
76-3			h e							
83-3			ts u i u							
87-3			h a							
95-3			m iː							
98-3			h a							
99-3			k ui							
-102-3			s i t e							
103-3			ts u i u							
110-3			t e i							
116-3			m e							
120-3			n uː							
132-3			k i d o							
139-3			k oː							
140-3			o ts u							
156-3			t a g u							
168-3			ts u i u							
169-3			h o							
170-3			m i							
173-3			i ɴ							
180-3			k ui							
185-3			h a							
186-3			m o i							
187-3			m i							
190-3			a i tɕ i							
193-3			k e i							
194-3			s i o							
195-3			k ui							
216-3			m a g u							
221-3			n a k a							
239-3			i ɴ							
252-3			m i							
253-3			j ui							
254-3			pː e							
266-3			k a i w a							
267-3			n a g u							
268-3			ui s i							
272-3			a j u ɴ							
276-3			a iː							
281-3			m e							
304-3			ts u g u							
305-3			tɕ i							
308-3			h a							
309-3			k e i m ui							
310-3			t o							
311-3			n e							
14-4				k oː r u						
18-4				t a n e						
35-4				h i r o i						
36-4				h u r u						
48-4				n a n i						
60-4				t o						
63-4				s i t a						
64-4				k e						
67-4				h a						
68-4				n uː						
71-4				h i						
76-4				h e b i						
83-4				s u n a						
87-4				h a r u						
95-4				m i g i						
98-4				h a r a						
99-4				k u b i						
-102-4				s i t a						
103-4				t u k i						
110-4				d e						
116-4				m u b i						
120-4				n uː						
132-4				k i r u						
139-4				k o r i						
140-4				o d o r u						
156-4				t a m a						
168-4				t u k i						
169-4				h o r i						
170-4				m i						
173-4				i n u						
180-4				k u t i						
185-4				h a						
186-4				m e r u						
187-4				m i						
190-4				a k o						
193-4				k i r u						
194-4				s i j o						
195-4				k u r a i						
216-4				m a g o						
221-4				n a						
239-4				i n u						
252-4				m i						
253-4				j o r u						
254-4				i n u						
266-4				k a w a						
267-4				n a w a						
268-4				u d e						
272-4				a b u r a						
276-4				a r u k u						
281-4				m i b i						
304-4				t u k i						
305-4				t i k a i						
308-4				h a r a						
309-4				k u s a b u						
310-4				t o						
311-4				n i						
14-5					k o r u					
18-5					t a ɴ					
35-5					h i t o					
36-5					h u k u					
48-5					n a i					
60-5					t o i					
63-5					s i t a e					
64-5					k iː					
67-5					h a r a					
68-5					n uː					
71-5					tɕ i r u					
76-5					h e s o					
83-5					ts u tɕ i					
87-5					h a n e					
95-5					m i ɴ n a					
98-5					h a n a					
99-5					k u b i					
-102-5					s i t a e					
103-5					ts u k i					
110-5					t eː					
116-5					m i ɴ n a					
120-5					n uː					
132-5					k i m o					
139-5					k o s u r u					
140-5					o s u					
156-5					t a n e					
168-5					ts u k i					
169-5					h o r u					
170-5					m i ɴ n a					
173-5					i n u					
180-5					k u b i					
185-5					h aː					
186-5					m o ts u					
187-5					m i ŋ i					
190-5					a k o					
193-5					k oː r u					
194-5					s i o					
195-5					k u b i					
216-5					m a ɴ					
221-5					n a i					
239-5					i n u					
252-5					m i ŋ i					
253-5					j uː					
254-5					i n u					
266-5					k a n a					
267-5					n a m a					
268-5					u dʑ ui					
272-5					a s i					
276-5					a r u k u					
281-5					m u s i					
304-5					ts u r i					
305-5					tɕ i r u					
308-5					h a n a					
309-5					k u s a ɴ					
310-5					t o					
311-5					n a i					
14-6						k aː				
18-6						t a n i				
35-6						pˢ ɨ s u				
36-6						fː u				
48-6						n a ɭ				
60-6						t uː				
63-6						s ɨ n				
64-6						tʃː i				
67-6						p aː				
68-6						n a u				
71-6						ɨː s ɨ				
76-6						p u k i				
83-6						ts ɨ n a				
87-6						p a f u				
95-6						m iː				
98-6						p a f u				
99-6						fː u				
-102-6						s ɨ n				
103-6						ts ɨ f u				
110-6						t i n				
116-6						mː n a				
120-6						n i v				
132-6						ts ɨ m u				
139-6						k u s ɨ				
140-6						u d i				
156-6						t a n i				
168-6						ts ɨ m u				
169-6						p u k i				
170-6						m iː				
173-6						i n				
180-6						f u s ɨ				
185-6						p aː				
186-6						m iː				
187-6						mː n a				
190-6						a ts ɨ				
193-6						fː a				
194-6						s ɨ n				
195-6						f iː ɭ				
216-6						m a n				
221-6						n a				
239-6						i z o				
252-6						m iː				
253-6						j u ɭ				
254-6						i z o				
266-6						k a n u				
267-6						mː n a				
268-6						i v u				
272-6						a ts ɨ				
276-6						a ts ɨ				
281-6						m u s ɨ				
304-6						ts ɨ f u				
305-6						ɨː s ɨ				
308-6						p a f u				
309-6						fː a				
310-6						t u s ɨ				
311-6						n a u				
14-7							k oː			
18-7							t a n e			
35-7							ɸ u t o			
36-7							ɸ u k u			
48-7							n a n eː			
60-7							t o w eː			
63-7							s i t a			
64-7							k e			
67-7							ɸ a			
68-7							n oː			
71-7							tɕ i tɕ i			
76-7							ɸ e s o			
83-7							ts u n o			
87-7							h a n e			
95-7							m e ŋ i			
98-7							ɸ a n a			
99-7							k u b i			
-102-7							s i t a			
103-7							s a s u			
110-7							t e			
116-7							m o s i			
120-7							n o s u			
132-7							k i r u			
139-7							k o r u			
140-7							o t a o			
156-7							t a n e			
168-7							s uː			
169-7							ɸ e s o			
170-7							m i ŋ i			
173-7							e k e			
180-7							k u b i			
185-7							ɸ a			
186-7							m o r u			
187-7							m e ŋ i			
190-7							a s u k o			
193-7							k oː r i			
194-7							s i ɴ z oː			
195-7							k u r eː			
216-7							m a r u			
221-7							n eː			
239-7							e n o			
252-7							m i ŋ i			
253-7							j o r u			
254-7							e n o			
266-7							k a n a			
267-7							n a ŋ e r u			
268-7							o d e			
272-7							a e r a			
276-7							a r e			
281-7							m o s i			
304-7							ts u n a			
305-7							tɕ i tɕ i			
308-7							ɸ a n a			
309-7							k u s a tː a			
310-7							t o w eː			
311-7							n eː			
14-8								k o r u		
18-8								t a n e		
35-8								h i r o i		
36-8								h u k u		
48-8								n a g i		
60-8								t oː k ui		
63-8								s i t a		
64-8								k e		
67-8								h a		
68-8								n oː		
71-8								m i		
76-8								h o r u		
83-8								s i n u		
87-8								h a		
95-8								m i g i		
98-8								h a r a ɴ		
99-8								k u b i		
-102-8								s i n a		
103-8								ts u k i		
110-8								d e		
116-8								m e s u		
120-8								n oː k i		
132-8								k i r u		
139-8								k o r u		
140-8								o m o		
156-8								t a m a		
168-8								ts u k i		
169-8								h o b i		
