COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	ʔ a r u r i									
35-1	k i r u r i									
36-1	ʔ a r u r i									
48-1	ʔ a s a r i									
60-1	k u r i									
63-1	k i r i									
64-1	k i r i									
67-1	ʔ a r i									
68-1	k u r i									
71-1	k i r i									
76-1	k u r i									
83-1	k u r i									
87-1	ʔ a s a r i									
95-1	k i r i									
98-1	ʔ a s a r i									
99-1	k u r i									
-102-1	k i r i									
103-1	k u r i									
110-1	h u r i									
116-1	k i r u r i									
120-1	k u r i									
132-1	k i r u r i									
139-1	k u r i									
140-1	k u r i									
156-1	ʔ a r u r i									
168-1	k i r u r i									
169-1	h u r i									
170-1	k i r u r i									
173-1	k i r i									
180-1	k u r i									
185-1	k i r i									
186-1	k i r u r i									
187-1	k i r i									
190-1	ʔ a s a r i									
193-1	k i r i									
194-1	k i r i									
195-1	k u r i									
216-1	ʔ a r u r i									
221-1	k u r i									
239-1	k i r i									
252-1	k i r u r i									
253-1	k u r i									
254-1	k i r u r i									
266-1	s a r i									
267-1	ʔ a r i									
268-1	k u r i									
272-1	ʔ a s a r i									
276-1	ʔ a r u r i									
281-1	k i r u r i									
304-1	ʔ a r u r i									
305-1	k i r i									
308-1	ʔ a s a r i									
309-1	k i r u r i									
310-1	k u r i									
311-1	k i r i									
342-1	k u r i									
346-1	k i r u r i									
347-1	k i r i									
348-1	k i r u r i									
351-1	h u r i									
361-1	k u r i									
379-1	ʔ a r i									
394-1	k i r i									
395-1	k i r i									
400-1	k i r u r i									
412-1	k i r u r i									
413-1	k u r i									
414-1	k u r i									
422-1	k u r i									
423-1	ʔ a s a r i									
430-1	ʔ a r i									
435-1	k u r i									
446-1	k i r i									
447-1	k u r i									
458-1	k u r i									
56-1	k i r u r i									
62-1	s u r i									
70-1	ʔ a r u r i									
96-1	k i r i									
101-1	ʔ a r i									
14-2		k u r u								
18-2		j u								
35-2		h e r u								
36-2		h u r u								
48-2		j a kʲ a								
60-2		i t e								
63-2		w a r e								
64-2		k i								
67-2		h a								
68-2		k e r u								
71-2		h i								
76-2		h o								
83-2		j o								
87-2		h a n e								
95-2		m i								
98-2		h a								
99-2		k u r u								
-102-2		a s a								
103-2		k e r u								
110-2		h e								
116-2		k u r u								
120-2		n o k u								
132-2		k u r u								
139-2		k o k o								
140-2		o k u								
156-2		j u r u								
168-2		m i								
169-2		h o								
170-2		k i r u								
173-2		i pː i								
180-2		k u r u								
185-2		h a								
186-2		k u r u								
187-2		m i								
190-2		w a r e								
193-2		k u r u								
194-2		a s i								
195-2		k u r u								
216-2		h a r u								
221-2		j a								
239-2		i k e								
252-2		m i								
253-2		o s u								
254-2		h u r u								
266-2		k i								
267-2		j a r u								
268-2		j u								
272-2		i m e								
276-2		a r u								
281-2		k i r u								
304-2		h u r u								
305-2		h i								
308-2		h a								
309-2		k u								
310-2		j o								
311-2		m i								
342-2		k u								
346-2		k u r u								
347-2		k i r u								
348-2		h i r i								
351-2		w a r e								
361-2		n o k a								
379-2		k u a								
394-2		h i r i								
395-2		m i								
400-2		h i r u								
412-2		k u r u								
413-2		k i r u								
414-2		h o r u								
422-2		h u r u								
423-2		k i r u								
430-2		h i r u								
435-2		h u r u								
446-2		a s i								
447-2		j u								
458-2		o s i								
56-2		h i								
65-2		k a								
70-2		h a n e								
75-2		k a								
14-3			k e							
18-3			k a i							
35-3			h e i							
36-3			h e i							
48-3			n a							
60-3			t o							
63-3			s i j i							
64-3			k e							
67-3			h a							
68-3			k e							
71-3			s i							
76-3			h e							
83-3			k e							
87-3			h a iː							
95-3			k i							
98-3			h a m a							
99-3			k e							
-102-3			h e							
103-3			k i							
110-3			k e							
116-3			k e i							
120-3			k o							
132-3			k e							
139-3			k o k o							
140-3			o k o							
156-3			a iː							
168-3			k e							
169-3			h e							
170-3			k i							
173-3			h i							
180-3			k ui							
185-3			h e							
186-3			k i							
187-3			m i							
190-3			a t a							
193-3			k e i							
194-3			s i							
195-3			k ui							
216-3			k e i							
221-3			n a							
239-3			j u							
252-3			k i							
253-3			k o							
254-3			i k e							
266-3			k a i							
267-3			n a iː							
268-3			iː o							
272-3			a iː							
276-3			a iː							
281-3			k e i							
304-3			h e							
305-3			s i							
308-3			h a m a							
309-3			k ui							
310-3			t o							
311-3			k e							
342-3			k e							
346-3			k ui							
347-3			k iː							
348-3			h i							
351-3			t o							
361-3			o k o							
379-3			k e i							
394-3			h e i							
395-3			k i							
400-3			h e i							
412-3			s i m e							
413-3			k e i m ui							
414-3			h u							
422-3			s i k e							
423-3			k a i							
430-3			h a i							
435-3			h e							
446-3			h e							
447-3			d e							
458-3			t o							
56-3			h i							
62-3			j i							
65-3			k a							
70-3			n a							
75-3			k a i							
96-3			m i							
101-3			h a							
14-4				k o r u						
18-4				a r e						
35-4				k i r u						
36-4				h u r a						
48-4				n a i						
60-4				h o r i						
63-4				k i r u						
64-4				k i						
67-4				h a r a						
68-4				k i r u						
71-4				h i						
76-4				h o k o						
83-4				h u r u						
87-4				h a r e						
95-4				m i						
98-4				h a r a						
99-4				k u b i						
-102-4				k e r u						
103-4				k e						
110-4				h e						
116-4				h i r u						
120-4				n o k u						
132-4				k i r u						
139-4				k o r u						
140-4				o j o						
156-4				h a r u						
168-4				h i r u						
169-4				k i r u						
170-4				k i r u						
173-4				s i						
180-4				k i r u						
185-4				h i						
186-4				k i r u						
187-4				m i						
190-4				a t i						
193-4				k e r u						
194-4				s i r i						
195-4				k u r u						
216-4				k i r u						
221-4				n a i						
239-4				u r u						
252-4				m i r u						
253-4				j o r u						
254-4				s i r u						
266-4				k i r u						
267-4				j a r u						
268-4				u r u						
272-4				a s e						
276-4				a r u						
281-4				k i r u						
304-4				k i r u						
305-4				h i						
308-4				h a r a						
309-4				k i r u						
310-4				a n o						
311-4				n i						
342-4				k i r u						
346-4				k u b i						
347-4				k i r u						
348-4				h i r i						
351-4				t a i						
361-4				o o i						
379-4				k i r u						
394-4				h i r a						
395-4				m i						
400-4				h i r u						
412-4				k i r u						
413-4				k i r u						
414-4				h o r u						
422-4				k i r u						
423-4				k a r u						
430-4				k i r u						
435-4				h u r u						
446-4				s i						
447-4				i k e						
458-4				a i						
56-4				h i r u						
62-4				h i r u						
65-4				k a w a						
70-4				a r e						
75-4				k a w a						
96-4				m e						
101-4				h i r u						
14-5					k o r u					
18-5					j a r e					
35-5					h i r u					
36-5					h u r u					
48-5					n a i					
60-5					s i r u					
63-5					s i n a					
64-5					k i r u					
67-5					h a r a					
68-5					n e					
71-5					k i r u					
76-5					h o k e					
83-5					k u r u					
87-5					h a n e					
95-5					m iː					
98-5					h a r a					
99-5					k u r u					
-102-5					s i					
103-5					k u r u					
110-5					d e					
116-5					h u r u					
120-5					n o k u					
132-5					k i r u					
139-5					k o r u					
140-5					o s u					
156-5					t a r u					
168-5					k u r u					
169-5					h o s i					
170-5					m i r u					
173-5					i s i					
180-5					k o k o					
185-5					h iː					
186-5					m o r u					
187-5					k i r u					
190-5					a k a i					
193-5					k i r u					
194-5					s i					
195-5					k u r u					
216-5					m a r ui					
221-5					n a i					
239-5					a r e					
252-5					m i r u					
253-5					j o b u					
254-5					i r u					
266-5					k a w a					
267-5					n a r u					
268-5					oː					
272-5					a m a					
276-5					a r u					
281-5					m u s i					
304-5					s i r u					
305-5					k i r u					
308-5					h a r a					
309-5					k u s a					
310-5					k i r u					
311-5					n i					
342-5					k u b i					
346-5					k u r u					
347-5					k i r u					
348-5					k i r u					
351-5					t a i					
361-5					a r u					
379-5					k u s a					
394-5					k i r i					
395-5					k i r u					
400-5					h i r u					
412-5					k i r u					
413-5					k a r u					
414-5					h o r u					
422-5					h u r u					
423-5					k a r u					
430-5					h a k u					
435-5					h u r u					
446-5					s i					
447-5					n e					
458-5					t o s i					
56-5					s i r u					
62-5					s i r u					
65-5					k a n a					
70-5					n a n e					
75-5					k a n a					
96-5					k iː					
101-5					h iː					
14-6						ts ɨ n u				
18-6						a vː a				
35-6						u s ɨ				
36-6						a vː a				
48-6						a vː a				
60-6						u s ɨ				
63-6						s ɨ n				
64-6						u s ɨ				
67-6						a vː a				
68-6						s ɨ n				
71-6						u k i				
76-6						u k i				
83-6						ts ɨ n u				
87-6						a vː a				
95-6						m u s ɨ				
98-6						a vː a				
99-6						s ɨ n				
-102-6						a vː a				
103-6						s ɨ n				
110-6						a vː a				
116-6						s ɨ n				
120-6						u s ɨ				
132-6						s ɨː				
139-6						m u s ɨ				
140-6						u s ɨ				
156-6						a vː a				
168-6						a ɭ ɨ				
169-6						u k i				
170-6						s ɨː				
173-6						u s ɨ				
180-6						ts ɨ n u				
185-6						a vː a				
186-6						s ɨː				
187-6						s ɨː				
190-6						a vː a				
193-6						s ɨ n				
194-6						s ɨ n				
195-6						ts ɨ n u				
216-6						a vː a				
221-6						a vː a				
239-6						u s ɨ				
252-6						s ɨː				
253-6						u s ɨ				
254-6						s ɨ n				
266-6						u k i				
267-6						s ɨ n				
268-6						u s ɨ				
272-6						a vː a				
276-6						a vː a				
281-6						s ɨː				
304-6						a vː a				
305-6						u k i				
308-6						a vː a				
309-6						u k i				
310-6						u s ɨ				
311-6						a vː a				
342-6						s ɨː				
346-6						a vː a				
347-6						s ɨː				
348-6						s ɨ n				
351-6						u k i				
361-6						u s ɨ				
379-6						u k i				
394-6						a vː a				
395-6						s ɨː				
400-6						s ɨ n				
412-6						s ɨ n				
413-6						s ɨ n				
414-6						u k i				
422-6						s ɨ n				
423-6						s ɨ n				
430-6						m u s ɨ				
435-6						ts ɨ n u				
446-6						s ɨː				
447-6						u s ɨ				
458-6						u s ɨ				
56-6						a vː a				
62-6						u s ɨ				
65-6						a vː a				
70-6						a vː a				
75-6						a vː a				
96-6						m u s ɨ				
101-6						a vː a				
14-7							k e			
18-7							a r e			
35-7							ɸ i r u			
36-7							ɸ u r u			
48-7							n eː			
60-7							o s i			
63-7							s i r u			
64-7							k e			
67-7							h a w a			
68-7							k e			
71-7							m i			
76-7							h o k e			
83-7							m o r u			
87-7							h a n a			
95-7							m i			
98-7							h a w a			
99-7							k u tɕ i			
-102-7							s i			
103-7							o s i			
110-7							d e			
116-7							m o r u			
120-7							m o r u			
132-7							k i r u			
139-7							k o s u			
140-7							o s u			
156-7							t a r u			
168-7							o s i			
169-7							o s i			
170-7							m i			
173-7							e o			
180-7							k u b u			
185-7							ɸ i			
186-7							m o r u			
187-7							m i			
190-7							a s i			
193-7							k e r i			
194-7							s i n eː			
195-7							k u b i			
216-7							m a r iː			
221-7							n a			
239-7							a r e			
252-7							m i			
253-7							o s u			
254-7							a r e			
266-7							k a m e			
267-7							j a r u			
268-7							o s i			
272-7							a s i			
276-7							a r u			
281-7							m o s i			
304-7							o s i			
305-7							m i			
308-7							h a w a			
309-7							k e			
310-7							e o			
311-7							k i			
342-7							o s u			
346-7							k u b i			
347-7							k i r u			
348-7							ɸ i r u			
351-7							o s i			
361-7							o s i			
379-7							k u n a			
394-7							s i r u			
395-7							m i			
400-7							ɸ i r u			
412-7							ɸ i r u			
413-7							s i r u			
414-7							j o r u			
422-7							ɸ u r u			
423-7							k a b u			
430-7							o s i			
435-7							s u k u			
446-7							s i			
447-7							e o			
458-7							o s i			
56-7							ɸ i			
62-7							s i			
65-7							k a			
70-7							t a n e			
75-7							k a			
96-7							k e			
101-7							h a n a			
14-8								k o r u		
18-8								n a r u		
35-8								h i r u		
36-8								h u s u		
48-8								n a i		
60-8								h o r u		
63-8								s i k a i		
64-8								k e		
67-8								h i		
68-8								n e		
71-8								h i		
76-8								h o r u		
83-8								n a r u		
87-8								h e		
95-8								m i		
98-8								h a r a		
99-8								k u b i		
-102-8								s i		
103-8								ts u tɕ i		
110-8								d e		
116-8								m u s u		
120-8								k o k o		
132-8								k i		
139-8								k o s u		
140-8								o r u		
156-8								n a r u		
168-8								ts u		
169-8								h o s i		
170-8								m i k u		
173-8								i k i		
180-8								k u k o		
185-8								h i		
186-8								m o r u		
187-8								m i		
190-8								a r u		
193-8								k u r u		
194-8								s i m a i		
195-8								k u r u		
216-8								m a r ui		
221-8								n a i		
239-8								u s u		
252-8								m i		
253-8								j o s u		
254-8								i k u		
266-8								k a m i		
267-8								n a r u		
268-8								u r u		
272-8								a m a		
276-8								a r u		
281-8								m u tɕ i		
304-8								n a r u		
305-8								a r u		
308-8								h a r a		
309-8								k u		
310-8								h i		
311-8								n i		
342-8								k u		
346-8								k u b i		
347-8								k e r u		
348-8								h i k a i		
351-8								h i		
361-8								o s i		
379-8								k u m a		
394-8								h i r a		
395-8								m i		
400-8								h i r u		
412-8								s a r u		
413-8								s u m a u		
414-8								h o r u		
422-8								h u r u		
423-8								k a r u		
430-8								h o r u		
435-8								h u r u		
446-8								s i		
447-8								a r u		
458-8								o s i		
62-8								n e		
65-8								k a		
70-8								w a r u		
75-8								k a		
96-8								k e		
101-8								h a i		
14-9									k u b u ɴ	
18-9									ʔ a r i	
35-9									h u r u	
36-9									h w i r u	
48-9									ɕ i n a	
60-9									h u r u	
63-9									s i n a	
64-9									h u s i	
67-9									ʔ a r i	
68-9									n i ɴ	
71-9									ʔ a r i	
76-9									h u r u	
83-9									h u r u	
87-9									ʃ i n a	
95-9									m u s i	
98-9									ʃ i n a	
99-9									h u s i	
-102-9									s i n a	
103-9									h u r u	
110-9									t i	
116-9									ʔ u t i	
120-9									m u b u ɴ	
132-9									h u r u	
139-9									k u b u ɴ	
140-9									ʔ u ɕ u ɴ	
156-9									ʔ a ɕ i ɴ	
168-9									h u s i	
169-9									h u s i	
170-9									tɕ i m u	
173-9									h u s i	
180-9									k u b u ɴ	
185-9									ʔ a r i	
186-9									tɕ i m u	
187-9									h u s i	
190-9									ʔ a ɕ i	
193-9									h u s i	
194-9									h u s i	
195-9									m u b u ɴ	
216-9									ʔ a ɕ i ɴ	
221-9									ʔ a ɕ i	
239-9									h u r u	
252-9									tɕ i m u	
253-9									h u r u	
254-9									h u r u	
266-9									ʔ a ɕ i	
267-9									ʔ a r i	
268-9									h u r u	
272-9									ʔ a r i	
276-9									ʔ a ɕ i ɴ	
281-9									m u s i	
304-9									ʔ a r i	
305-9									h u s i	
308-9									ʃ i n a	
309-9									h u s i	
310-9									h u s i	
311-9									k iː	
342-9									k iː	
346-9									h w iː	
347-9									h u s i	
348-9									h w iː	
351-9									h u s i	
361-9									h u r u	
379-9									ʔ a r i	
394-9									ʔ a r i	
395-9									s i n a	
400-9									h u s i	
412-9									h u r u	
413-9									h u r u	
414-9									ʔ u ɕ u ɴ	
422-9									ʔ u t i	
423-9									ʃ i n a	
430-9									h u r u	
435-9									h u r u	
446-9									s i n a	
447-9									h u s i	
458-9									h u s i	
