COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k o r Ø									
18-1	d a r Ø									
35-1	h i t o Ø u									
36-1	h u t a Ø u									
48-1	n a ŋ a a a									
60-1	t o r i									
63-1	s i r a m									
64-1	k i									
67-1	h a									
68-1	n Ø									
71-1	ts i									
76-1	h o n e									
83-1	Ø u n o									
87-1	h a n e									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i t a									
103-1	Ø u m e									
110-1	t Ø									
116-1	m u n e									
120-1	n o m u a									
132-1	k i k u a									
139-1	a k o r o s u a									
140-1	o j o u									
156-1	t a Ø e Ø									
168-1	Ø u k i									
169-1	h o s i									
170-1	m i Ø u									
173-1	i s i									
180-1	k u m o									
185-1	h a i									
186-1	m o r u a									
187-1	m i ts i									
190-1	a k a a a									
193-1	k ui r Ø									
194-1	s i r Ø a									
195-1	k u r Ø a									
216-1	m a r a Ø Ø									
221-1	n a									
239-1	i Ø u									
252-1	m i Ø u									
253-1	j o Ø u									
254-1	i Ø u Ø u									
266-1	k a z e									
267-1	n a ŋ a r i r u a									
268-1	u m i									
272-1	a m Ø									
276-1	a r a u a									
281-1	m u s i									
304-1	Ø u b a									
305-1	ts i									
308-1	h a n a									
309-1	k u s a									
310-1	t o									
311-1	n i									
14-2		k a r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t aː ts u								
48-2		n a ŋ a i								
60-2		t a r i								
63-2		s i r a m o								
64-2		k i								
67-2		h aː								
68-2		n e								
71-2		tɕ i								
76-2		h a n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u ts i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n a m u								
132-2		k i k u								
139-2		k a r o s u								
140-2		o j a u								
156-2		t a tː a r u								
168-2		ts u k i								
169-2		h a s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i ts i								
190-2		a k a i								
193-2		k iː r o u								
194-2		s i r o i								
195-2		k u r o i								
216-2		m a r o								
221-2		n aː								
239-2		i ts u								
252-2		m i u								
253-2		j o u								
254-2		i ts u ts u								
266-2		k a r e								
267-2		n a ŋ a r e r u								
268-2		u m i								
272-2		a m a								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b iː								
305-2		tɕ i i								
308-2		h a n a								
309-2		k u s a								
310-2		t a								
311-2		n i								
14-3			k o r e							
18-3			d a r e							
35-3			h i t o ts u							
36-3			h u t a ts u							
48-3			n a ŋ a a							
60-3			t o r i							
63-3			s i m u							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts u m e							
110-3			t e							
116-3			m u n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r o s u							
140-3			o j o u							
156-3			t a t uː r							
168-3			ts u k i							
169-3			h o s i							
170-3			m i z u							
173-3			i s i							
180-3			k u m o							
185-3			h a i							
186-3			m o e r u							
187-3			m i tɕ i							
190-3			a k a i							
193-3			k i r o i							
194-3			s i r u u							
195-3			k u r u u							
216-3			m a r a							
221-3			n a							
239-3			i ts u							
252-3			m i ts u							
253-3			j o ts u							
254-3			i ts u ts u							
266-3			k a z e							
267-3			n a ŋ a r e r u							
268-3			u m i							
272-3			a m a							
276-3			a r a u							
281-3			m u s i							
304-3			ts u k i							
305-3			tɕ i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n i							
14-4				k o r e						
18-4				d a r e						
35-4				h t o s u						
36-4				h u t a ts u						
48-4				n a ŋ a i						
60-4				t o i						
63-4				s i r a m i						
64-4				k i						
67-4				h tː a						
68-4				n e						
71-4				tɕ i						
76-4				h o n e						
83-4				ts u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u tɕ i						
-102-4				s i t a						
103-4				ts u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m						
132-4				k i k						
139-4				k o r o s u						
140-4				o j o						
156-4				t a t u						
168-4				ts u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r						
187-4				m i tɕ i						
190-4				a k a i						
193-4				k e i						
