COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	θ a									
35-1	tɕ u r i									
36-1	h a x u r i									
48-1	n a									
60-1	θ u r i									
63-1	s e s a r i									
64-1	k i									
67-1	h w a									
68-1	n a ɴ									
71-1	tɕ i									
76-1	h u									
83-1	ts ɨ n a									
87-1	h a									
95-1	s i tɕ i									
98-1	h a									
99-1	k u r i									
-102-1	ɕ aː tɕ i									
103-1	ts ɨ k i									
110-1	n a ɴ									
116-1	m u s u r i									
120-1	n o u r i									
132-1	k i r u r i									
139-1	k u r i									
140-1	j u r i									
156-1	θ a kː u r i									
168-1	ʔ u s u r i									
169-1	h u s i									
170-1	m i									
173-1	ʔ i r i									
180-1	k u r i									
185-1	h u s a r i									
186-1	m u s u r i									
187-1	s i r i									
190-1	ʔ a s a r i									
193-1	k u r i									
194-1	s i r u r i									
195-1	k u s a r i									
216-1	m a									
221-1	n a									
239-1	tɕ i									
252-1	m i m o									
253-1	j u r i									
254-1	m u r i									
266-1	x a									
267-1	n a g ɨ r u r i									
268-1	ʔ u k i									
272-1	ʔ a									
276-1	ʔ a kː u r i									
281-1	m u s i									
304-1	ts ɨ n a									
305-1	tɕ i									
308-1	h a									
309-1	k u s a r i									
310-1	θ u									
311-1	n i									
14-2		k o								
18-2		t a								
35-2		h i t o								
36-2		h u t a								
48-2		n a n a								
60-2		t o								
63-2		s i t a								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o								
83-2		ts u								
87-2		h a								
95-2		m i								
98-2		h a								
99-2		k u								
-102-2		s i t a								
103-2		ts u								
110-2		t e								
116-2		m u								
120-2		n o s u								
132-2		k i r u								
139-2		k o r u								
140-2		o r u								
156-2		t a r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i								
173-2		i n i								
180-2		k u m o								
185-2		h a								
186-2		m o r u								
187-2		m i kʲ a								
190-2		a k a								
193-2		k e r o kʲ a								
194-2		s i r o								
195-2		k u r e								
216-2		m a r u								
221-2		n a								
239-2		i r u								
252-2		m i								
253-2		j o								
254-2		i m e								
266-2		k u a								
267-2		n a n e r u								
268-2		u s i								
272-2		a n e								
276-2		a r u								
281-2		m o s i								
304-2		ts u tɕː a								
305-2		tɕ i tɕ i								
308-2		h a								
309-2		k u								
310-2		t o								
311-2		n i								
14-3			k o							
18-3			t a							
35-3			h i t o							
36-3			h u r a							
48-3			n a ɴ							
60-3			t o							
63-3			s i t e							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o							
83-3			ts u							
87-3			h a							
95-3			m i							
98-3			h a							
99-3			k ui							
-102-3			s i t e							
103-3			ts u							
110-3			t e							
116-3			m e							
120-3			n e							
132-3			k i							
139-3			k o s u							
140-3			o t o							
156-3			t a m a							
168-3			ts u							
169-3			h o							
170-3			m i							
173-3			i ɴ							
180-3			k ui							
185-3			h a							
186-3			m o							
187-3			m i							
190-3			a iː							
193-3			k e i							
194-3			s i m e							
195-3			k ui							
216-3			m a							
221-3			n a							
239-3			i ɴ							
252-3			m iː							
253-3			j o							
254-3			pː u							
266-3			k a							
267-3			n a n a							
268-3			ui							
272-3			a m a							
276-3			a iː							
281-3			m e							
304-3			ts u n a							
305-3			k i							
308-3			h a							
309-3			k ui							
310-3			t o							
311-3			n e							
14-4				k o						
18-4				t a r e						
35-4				h i t o						
36-4				h u t a						
48-4				n a i						
60-4				t o						
63-4				s i r a i						
64-4				k i						
67-4				h a						
68-4				n uː						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n u						
95-4				m i						
98-4				h a n a						
99-4				k u r i						
-102-4				s i t a						
103-4				t u k e						
110-4				t e						
116-4				m u n e						
120-4				n o n u						
132-4				k i k u						
139-4				k u r u						
140-4				o j o						
156-4				t a r u						
168-4				t u k i						
169-4				h o s i						
170-4				m i g i						
173-4				i n i						
180-4				k u m o						
185-4				h i						
186-4				m o r u						
187-4				m i r i						
190-4				a k a i						
193-4				k e r u						
194-4				s i r o i						
195-4				k u r a i						
216-4				m a r u						
221-4				n a						
239-4				i n u						
252-4				m i						
253-4				j o r u						
254-4				i t u						
266-4				k a w a						
267-4				n a r u						
268-4				u m i						
272-4				a m a						
276-4				a r u						
281-4				m u s i						
304-4				t u t a						
305-4				t i						
308-4				h a n a						
309-4				k u b a						
310-4				t o						
311-4				n i						
14-5					k o					
18-5					t a r e					
35-5					h i t o					
36-5					h a r u					
48-5					n a ɴ					
60-5					t o r i					
63-5					s i r u					
64-5					k i					
67-5					h a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u k i					
-102-5					s i t a i					
