COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	ʔ a ɴ tɕ u									
35-1	ʔ u θ u r i									
36-1	w a θ a									
48-1	h a ɴ g e									
60-1	θ u b u r i									
63-1	s i ɴ d o									
64-1	k i r i									
67-1	w a θ a									
68-1	n o u r i									
71-1	n o u r i									
76-1	h a ɴ g e									
83-1	ts ɨ n a									
87-1	h a ɴ g e									
95-1	m iː s a r i									
98-1	w a θ a									
99-1	x u r i									
-102-1	s ɨ n a									
103-1	m u θ u r i									
110-1	θ ɨ ɴ									
116-1	m u s u b u r i									
120-1	n eː θ a									
132-1	k i r i r u ɴ									
139-1	x u r i									
140-1	ʔ u θ u r i									
156-1	w a θ a									
168-1	m iː s a r i									
169-1	ʔ u d u ɴ									
170-1	m iː s a r i									
173-1	ʔ i x i									
180-1	x u r i									
185-1	h a ɴ g e									
186-1	m u θ u r i									
187-1	m iː s a r i									
190-1	ʔ a ts ɨ s a r i									
193-1	k i r i									
194-1	s i ɴ d o									
195-1	x u r i									
216-1	m a sː ɨ g u									
221-1	n o u r i									
239-1	m iː s a r i									
252-1	m iː s a r i									
253-1	m u θ u r i									
254-1	m iː s a r i									
266-1	x ɨ ɴ x o									
267-1	n a g ɨ r u r i									
268-1	m iː s a r i									
272-1	ʔ a tɕ i ɕ a r i									
276-1	ʔ a ɴ tɕ u									
281-1	m iː s a r i									
304-1	ts ɨ n a									
305-1	n o u r i									
308-1	w a θ a									
309-1	x ɨ ɴ x o									
310-1	θ u b u r i									
311-1	n o u r i									
342-1	m iː s a r i									
346-1	x ɨ ɴ x o									
347-1	k i r i r u ɴ									
348-1	h i sː a r i									
351-1	θ ɨ ɴ									
361-1	ʔʲ u									
379-1	x ɨ ɴ x o									
394-1	h a ɴ g e									
395-1	m iː s a r i									
400-1	h a ɴ g e									
412-1	x ɨ ɴ x o									
413-1	ts ɨ n a									
414-1	θ u b u r i									
422-1	m a sː ɨ g u									
423-1	x ɨ ɴ x o									
430-1	h a ɴ g e									
435-1	ʔ u θ u r i									
446-1	s i ɴ d o									
447-1	ʔʲ u									
458-1	θ u dʑ i									
56-1	h a g i									
62-1	m iː s a r i									
70-1	w a θ a									
96-1	m iː s a r i									
101-1	h a ɴ g e									
114-1	x u r i									
119-1	k i r i r u ɴ									
134-1	s i ɴ d o									
138-1	s i ɴ d o									
146-1	ʔ a ɴ tɕ u									
161-1	m iː s a r i									
182-1	x u r i									
188-1	w a θ a									
196-1	m u θ u r i									
262-1	m a sː ɨ g u									
300-1	h a g ɨ g u									
313-1	ʔ u d u ɴ									
350-1	s ɨ n a									
352-1	ʔ i x i									
396-1	m a sː ɨ g u									
401-1	ʔ u θ u r i									
420-1	ʔ u θ u r i									
424-1	ʔ u θ u r i									
442-1	s i ɴ d o									
455-1	ʔ i x i									
15-1	ʔ a ɴ tɕ u									
49-1	ʔ a ɴ tɕ u									
130-1	m iː s a r i									
14-2		k o k o r i								
18-2		k a k a								
35-2		h i								
36-2		h e b u m e								
48-2		n a g u t a								
60-2		h o k u a								
63-2		s i ɴ z oː								
64-2		k i r i								
67-2		h a r a								
68-2		n e t e								
71-2		h i								
76-2		h o k u a								
83-2		ts u n a								
87-2		h a n e								
95-2		m i								
98-2		h a n e								
99-2		k i r e r o								
-102-2		s i ɴ z oː								
103-2		ts u b u r u								
110-2		i pː i a								
116-2		m u s u b u								
120-2		n o m u								
132-2		k i r e r o								
139-2		k o d o m o								
140-2		j o m o								
156-2		t a m a g o								
168-2		k i r e r o								
169-2		h o k o r i								
170-2		m i								
173-2		i pː i a								
180-2		k o s u r u								
185-2		h a r u kʲ a								
186-2		m u s u b u								
187-2		m i								
190-2		a o kʲ a								
193-2		k oː r i								
194-2		s i ɴ z oː								
195-2		k u r u								
216-2		m a sː u kʲ a								
221-2		n a g u t a								
239-2		m i								
252-2		m i								
253-2		m o s i								
254-2		m u s u b u								
266-2		k e g u a								
267-2		n a g u t a								
268-2		m i								
272-2		a ts u kʲ a								
276-2		a ts u kʲ a								
281-2		m i								
304-2		ts u n a								
305-2		tɕ i tɕ i								
308-2		h a n e								
309-2		k u a tː e								
310-2		h o k u a								
311-2		n i k u								
342-2		m o s i								
346-2		k u r u								
347-2		k i r e r o								
348-2		h i								
351-2		h i								
361-2		u m u								
379-2		k u a tː e								
394-2		h e b u m e								
395-2		m i								
400-2		h e b u m e								
412-2		k e g u a								
413-2		k i r e r o								
414-2		h o k u a								
422-2		h e b u m e								
423-2		k u a tː e								
430-2		h a r u kʲ a								
435-2		h oː r u								
446-2		s i ɴ z oː								
447-2		u d e								
458-2		h o k o								
56-2		h o k u a								
65-2		k u a tː e								
70-2		t a m a g i								
75-2		k u a tː e								
114-2		k u r u								
119-2		k i r e r o								
161-2		n i k u								
171-2		k u a tː e								
188-2		t a m a g o								
196-2		m o s i								
262-2		h e b u m e								
300-2		h e b u m e								
313-2		u d e								
350-2		s i ɴ z oː								
352-2		i pː i a								
396-2		h e b u m e								
401-2		o b a								
420-2		u m u								
424-2		w a r u kʲ a								
442-2		k i r e r o								
455-2		i k e								
22-2		n e t e								
24-2		ts u n a								
49-2		t a m a g o								
78-2		a ts u kʲ a								
89-2		k i r i								
14-3			k o s u							
18-3			t o i							
35-3			h u t e							
36-3			h u t e							
48-3			n a g u							
60-3			t o i							
63-3			s i ɴ i z oː							
64-3			k i j i							
67-3			h a i n e							
68-3			n uː							
71-3			h i							
76-3			h o k a ɴ							
83-3			ts u n a							
87-3			h a i n e							
95-3			m iː							
98-3			h a i n e							
99-3			k u							
-102-3			s i ɴ i z oː							
103-3			ts u n a							
110-3			t e i ɴ							
116-3			m u tɕː o i							
120-3			n uː							
132-3			k i r u							
139-3			k o s u							
140-3			t o i							
156-3			t a m a g o							
168-3			k i j i							
169-3			h o k a ɴ							
170-3			m iː							
173-3			pː e							
180-3			k u							
185-3			h i							
186-3			m o ɕ i k a							
187-3			m iː							
190-3			a ɕ							
193-3			k o i							
194-3			s i o							
195-3			k o i							
216-3			m a sː u g u							
221-3			n a g u							
239-3			s u i u							
252-3			m iː							
253-3			t o i							
254-3			s u i u							
266-3			k a i n e							
267-3			n a g u							
268-3			m iː							
272-3			a i tɕ i							
276-3			a iː							
281-3			m o ɕ i k a							
304-3			ts u n a							
305-3			h i							
308-3			h a i n e							
309-3			k oː i							
310-3			t o i							
311-3			n uː							
342-3			m iː							
346-3			k u							
347-3			k i r u							
348-3			h i							
351-3			t o i							
361-3			d o k o							
379-3			k oː i							
394-3			h i							
395-3			m iː							
400-3			h i							
412-3			s a m i							
413-3			ts u n a							
414-3			h o k a ɴ							
422-3			h u							
423-3			k a e t a							
430-3			h a i n e							
435-3			h u							
446-3			s i ɴ i z oː							
447-3			ui s i							
458-3			t o i							
56-3			h i							
62-3			m iː							
65-3			k a e t a							
70-3			h a i n e							
75-3			k a e t a							
96-3			m iː							
101-3			h a i n e							
114-3			k u							
119-3			k i r u							
134-3			s u i u							
138-3			s u i u							
146-3			a iː							
161-3			m iː							
171-3			k a e t a							
182-3			k oː i							
188-3			h a r a							
262-3			h e							
300-3			h i							
313-3			s u i u							
350-3			s e n a k a							
352-3			h i							
396-3			h u							
401-3			o iː							
420-3			u tː a k u							
424-3			u r e i t a							
442-3			k i r u							
455-3			k i r u							
15-3			a tɕ i							
22-3			n a iː							
49-3			ts u n a							
78-3			a tɕ i							
89-3			k i j i							
130-3			m iː							
14-4				k o d o m o						
18-4				d oː r i						
35-4				h i						
36-4				t u n a						
48-4				n a n i						
60-4				t o b i						
63-4				s i j a i						
64-4				k i r i						
67-4				h a r a						
68-4				n e j uː						
71-4				t u t i						
76-4				h o k a n o						
83-4				t u n a						
87-4				h a r a						
95-4				m i						
98-4				h a r a						
99-4				k u r u						
-102-4				s i j a i						
103-4				t u t i						
110-4				h i						
116-4				m u s u b u						
120-4				n o m u						
132-4				k i r i						
139-4				k o d o m o						
140-4				t o b u						
156-4				t a m a g o						
168-4				t u t i						
169-4				h o k o r i						
170-4				m i z o i						
173-4				i k e						
180-4				k u r u						
185-4				h i						
186-4				m u s u b u						
187-4				m i						
190-4				a s i						
193-4				k i r i						
194-4				s i j o						
195-4				k u r u						
216-4				m a sː u g u						
221-4				n a n i						
239-4				m i						
252-4				m i						
253-4				t o b u						
254-4				k u r u						
266-4				k a w a i						
267-4				n a n i						
268-4				u s ui						
272-4				a t ui						
276-4				a t ui						
281-4				m i z o i						
304-4				t u n a						
305-4				t u t i						
308-4				h a r a						
309-4				k u g a w a						
310-4				t o b u						
311-4				n i k u						
342-4				t u t i						
346-4				k u r u						
347-4				k i r i						
348-4				h i j a i						
351-4				h i j a i						
361-4				u o						
379-4				k e g a w a						
394-4				h i j a i						
395-4				m i						
400-4				h i j a i						
412-4				k e g a w a						
413-4				m i z o i						
414-4				h o k u r u						
422-4				h u s u b u						
423-4				k a w a i						
