COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k i r i r a ɴ									
18-1	k i r i r a ɴ									
35-1	m u θ u r i									
36-1	m a sː ɨ g u									
48-1	h a ɴ g e									
60-1	m u θ u r i									
63-1	k i r i r a ɴ									
64-1	k i r i									
67-1	h a g i									
68-1	ʔ i x i									
71-1	ʔ u d u ɴ									
76-1	ʔ i x i									
83-1	m u θ u r i									
87-1	h a ɴ g e									
95-1	m u θ u r i									
98-1	h a ɴ g e									
99-1	k i r i r a ɴ									
-102-1	m a sː ɨ g u									
103-1	m u θ u r i									
110-1	θ ɨ ɴ									
116-1	m u θ u r i									
120-1	ʔ u θ u r i									
132-1	k i r i r a ɴ									
139-1	k i r u r i									
140-1	ʔ u θ u r i									
156-1	m a sː ɨ g u									
168-1	m u θ u r i									
169-1	ʔ u θ u r i									
170-1	m u θ u r i									
173-1	ʔ i x i									
180-1	k i r i r a ɴ									
185-1	h a ɴ g e									
186-1	m u θ u r i									
187-1	m u θ u r i									
190-1	h a ɴ g e									
193-1	k i r i									
194-1	k i r i r a ɴ									
195-1	k i r i r a ɴ									
216-1	m a sː ɨ g u									
221-1	n a g i									
239-1	m u θ u r i									
252-1	m u θ u r i									
253-1	m u θ u r i									
254-1	m u θ u r i									
266-1	k i r i r a ɴ									
267-1	n a ɴ g e									
268-1	ʔ u d u ɴ									
272-1	h a ɴ g e									
276-1	h a ɴ g e									
281-1	m iː s a r i									
304-1	m u θ u r i									
305-1	m u θ u r i									
308-1	h a ɴ g e									
309-1	k u r ɨ r u r i									
310-1	θ u ɴ									
311-1	ʔ i x i									
342-1	ʔ u θ u r i									
346-1	k i r i r a ɴ									
347-1	k i r i r a ɴ									
348-1	h a ɴ g e									
351-1	m u θ u r i									
361-1	ʔ u θ u r i									
379-1	k i r i r a ɴ									
394-1	h a ɴ g e									
395-1	m u θ u r i									
400-1	h a ɴ g e									
412-1	h a ɴ g e									
413-1	ʔ u θ u r i									
414-1	m u θ u r i									
422-1	m a sː ɨ g u									
423-1	k i r i r a ɴ									
430-1	h a ɴ g e									
435-1	ʔ i x i									
446-1	m a sː ɨ g u									
447-1	ʔ u θ u r i									
458-1	m u θ u r i									
56-1	h a ɴ g e									
62-1	ʔ i x i									
70-1	h a ɴ g e									
96-1	θ ɨ ɴ									
101-1	ʔ i x i									
114-1	k i r i r a ɴ									
119-1	k i r i r a ɴ									
134-1	k i r i r a ɴ									
138-1	k i r i r a ɴ									
146-1	ʔ a m u r i									
161-1	m u θ u r i									
182-1	k i r i r a ɴ									
188-1	h a ɴ g e									
196-1	ʔ u θ u r i									
262-1	m a sː ɨ g u									
300-1	m u θ u r i									
313-1	ʔ i x i									
350-1	ʔ i x i									
352-1	ʔ i x i									
396-1	ʔ u θ u r i									
401-1	ʔ u θ u r i									
420-1	m u θ u r i									
424-1	ʔ u θ u r i									
442-1	m a sː ɨ g u									
455-1	k i r i r a ɴ									
15-1	h a ɴ g e									
49-1	m a sː ɨ g u									
130-1	m u θ u r i									
149-1	k i r i r a ɴ									
175-1	m a sː ɨ g u									
199-1	m a sː ɨ g u									
230-1	h a ɴ g e									
233-1	h a ɴ g e									
264-1	k i r i									
274-1	m a sː ɨ g u									
298-1	k i r i r a ɴ									
303-1	h a sː ɨ g u									
354-1	m a sː ɨ g u									
369-1	k i r i r a ɴ									
376-1	h a ɴ g e									
415-1	m u θ u r i									
418-1	h a ɴ g e									
456-1	ʔ u d u ɴ									
59-1	m u θ u r i									
118-1	m a sː ɨ g u									
142-1	m u θ u r i									
14-2		k o k o								
18-2		h a n e								
35-2		h e b u m e								
36-2		h a n e								
48-2		h a n e								
60-2		ɕ o								
63-2		s a k a n a								
64-2		k oː r i								
67-2		h a n e								
68-2		h a n e								
71-2		tɕ i tɕ i								
76-2		h oː r u								
83-2		tɕ i tɕ i								
87-2		h a n e								
95-2		m i								
98-2		h a n e								
99-2		k ui ts u k u								
-102-2		s a k a n a								
103-2		tɕ i tɕ i								
110-2		i t e								
116-2		h a n e								
120-2		ɕ o								
132-2		k oː r u								
139-2		k o d o m o								
140-2		d o k o								
156-2		h a r a								
168-2		tɕ i tɕ i								
169-2		h oː r u								
170-2		m i								
173-2		ɕ o								
180-2		k o d o m o								
185-2		h a n e								
186-2		m i								
187-2		m i								
190-2		h a r a								
193-2		k oː r i								
194-2		ɕ o								
195-2		k oː r u								
216-2		h a n e								
221-2		h a n e								
239-2		i t e								
252-2		m i								
253-2		d o k o								
254-2		u s u kʲ a								
266-2		k a k a								
267-2		h a n e								
268-2		u m u								
272-2		h a n e								
276-2		h a n e								
281-2		m i								
304-2		tɕ i tɕ i								
305-2		tɕ i tɕ i								
308-2		h a n e								
309-2		k oː r u								
310-2		d o k o								
311-2		h a r a								
342-2		u s u kʲ a								
346-2		k ui ts u k u								
347-2		k oː r u								
348-2		h e b u m e								
351-2		ɕ o								
361-2		tɕ i tɕ i								
379-2		k u a tː e								
394-2		h a r a								
395-2		m i								
400-2		h a n e								
412-2		h a n e								
413-2		tɕ i tɕ i								
414-2		h oː r u								
422-2		h oː r u								
423-2		k u a tː e								
430-2		h a n e								
435-2		h oː r u								
446-2		s a k a n a								
447-2		u s u kʲ a								
458-2		ɕ o								
56-2		h oː r u								
65-2		k a k a								
70-2		h a n e								
75-2		k a k a								
114-2		k oː r u								
119-2		k oː r i								
161-2		j o								
171-2		k a k a								
188-2		h a n e								
196-2		d o k o								
262-2		h oː r u								
300-2		h oː r u								
313-2		i t e								
350-2		s a k a n a								
352-2		k i t a n a kʲ a								
396-2		h e b u m e								
401-2		j o								
420-2		u m u								
424-2		u s u kʲ a								
442-2		z u b u r u								
455-2		i k e								
22-2		h a n e								
24-2		h a n e								
49-2		h a r a								
78-2		h a r a								
89-2		k oː r u								
149-2		k oː r u								
183-2		h oː r u								
192-2		h a r a								
250-2		k a k a								
264-2		k oː r i								
298-2		k u a tː e								
303-2		h a b a r a								
314-2		m i								
354-2		h a n e								
369-2		k i r e								
376-2		h a r a								
