COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u									
18-1	n a									
35-1										
36-1										
48-1										
60-1	θ u b u									
63-1	j a m a									
64-1	k i									
67-1	h w a									
68-1	n a ɴ									
71-1	tɕ i									
76-1										
83-1										
87-1										
95-1	m eː r i									
98-1										
99-1	k u									
-102-1										
103-1										
110-1	θ ɨ									
116-1	n a n ɨ									
120-1	n a ɴ									
132-1	k i r u r i									
139-1										
140-1	ʔ u									
156-1										
168-1										
169-1										
14-2		k o								
18-2		d a								
35-2										
36-2										
48-2										
60-2		t o								
63-2		a								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2										
83-2										
87-2										
95-2		m i								
98-2										
99-2		k u								
-102-2										
103-2										
110-2		t e								
116-2		n a								
120-2		n a g i								
132-2		k i								
139-2										
140-2		o								
156-2										
168-2										
169-2										
14-3										
18-3			h a							
35-3										
36-3										
48-3										
60-3			t e i							
63-3			a i r u							
64-3			k e							
67-3			h a							
68-3			n e							
71-3			tɕ i tɕ i							
76-3										
83-3										
87-3										
95-3			m e							
98-3										
99-3										
-102-3										
103-3										
110-3			t e i							
116-3			n e i ɴ							
120-3			h i							
132-3										
139-3										
140-3										
156-3										
168-3										
169-3										
14-4				k a r u						
18-4				h a						
35-4										
36-4										
48-4										
60-4				t o						
63-4				a m a						
64-4				k u						
67-4				h a						
68-4				n e						
71-4				t i						
76-4										
83-4										
87-4										
95-4				m i tː u						
98-4										
99-4				k a r e						
-102-4										
103-4										
110-4				t i						
116-4				n a e						
120-4				n o						
132-4				k a i						
139-4										
140-4				o d o						
156-4										
168-4										
169-4										
14-5					k o					
18-5					d a					
35-5										
36-5										
48-5										
60-5					t o					
63-5					a k a					
64-5					k i					
67-5					h a					
68-5					n e					
71-5					tɕ i tɕ i					
76-5										
83-5										
87-5										
95-5					m i r u					
98-5										
99-5					k u					
-102-5										
103-5										
110-5					t e					
116-5					n a i					
120-5					n a m o					
132-5					k iː					
139-5										
140-5					o					
156-5										
168-5										
169-5										
14-6						f u				
18-6						a n a				
35-6										
36-6										
48-6										
60-6						t u				
63-6										
64-6						ts ɨː				
67-6						p aː				
68-6						n				
71-6						ts ɨː				
76-6										
83-6										
87-6										
95-6						m				
98-6										
99-6						f u				
-102-6										
103-6										
110-6						t u				
116-6						n				
120-6						i n				
132-6						f ts ɨ				
139-6										
140-6						i ts ɨ				
156-6										
168-6										
169-6										
14-7							k o			
18-7							d a			
35-7										
36-7										
48-7										
60-7							t o			
63-7							a m a			
64-7							k i			
67-7							ɸ a			
68-7							n e			
71-7							tɕ i			
76-7										
83-7										
87-7										
95-7							m e			
98-7										
99-7							k i			
-102-7										
103-7										
110-7							t e			
116-7							n e n			
120-7							n o			
132-7							k i			
139-7										
140-7							o			
156-7										
168-7										
169-7										
14-8								k o		
18-8								d a		
35-8										
36-8										
48-8										
60-8								t o		
63-8								a m e		
64-8								k u		
67-8								h a		
68-8								n i		
71-8								tɕ i		
76-8										
83-8										
87-8										
95-8								m i		
98-8										
99-8								k u		
-102-8										
103-8										
110-8								t e		
116-8								n a i		
120-8								n o		
132-8								k e r u		
139-8										
140-8								o d o		
156-8										
168-8										
169-8										
14-9									k u b a	
18-9									n a	
35-9										
36-9										
48-9										
60-9									t i	
63-9									s a m a	
64-9									tɕ iː	
67-9									h a	
68-9									n a	
71-9									tɕ i	
76-9										
83-9										
87-9										
95-9									m i	
98-9										
99-9									k u b a dʑ i	
-102-9										
103-9										
110-9									t i	
116-9									n a	
120-9									n a ɴ	
132-9									tɕ i b i	
139-9										
140-9									ʔ u j u	
156-9										
168-9										
169-9										
14-10										k o iː o i
18-10										d a r e
35-10										
36-10										
48-10										
60-10										j o
63-10										a
64-10										k i
67-10										h a
68-10										n e
71-10										o tɕ i
76-10										
83-10										
87-10										
95-10										m i
98-10										
99-10										k iː
-102-10										
103-10										
110-10										t e
116-10										n a i
120-10										n u k i
132-10										k iː
139-10										
140-10										o s u
156-10										
168-10										
169-10										
