COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k o r e									
18-1	d a r e									
35-1	h i t o Ø u									
36-1	h u t a Ø u									
48-1	n a ŋ a o a o									
60-1	t o r o o i									
63-1	s i r a m i									
64-1	k i									
67-1	h a a									
68-1	n e									
71-1	o o o tɕ i									
76-1	h o n e									
83-1	ts u n o									
87-1	h a a n o o e									
95-1	m i m i									
98-1	h a a n a									
99-1	k u tɕ i									
-102-1	s i t o o o o a									
103-1	ts u m e									
110-1	t e									
116-1	m u n o o e									
120-1	n o m u o									
132-1	k i k u o									
139-1	o k o r o s u o									
140-1	o o o j o u									
156-1	t a Ø e Ø o									
168-1	o ts u k i									
169-1	h o a s i									
14-2		k a r a								
18-2		d a r e								
35-2		h i t o u								
36-2		h u t a ts u								
48-2		n a ŋ o o a i								
60-2		t a r i								
63-2		s i r a m o								
64-2		k i								
67-2		h aː o								
68-2		n a								
71-2		o o o tɕ i								
76-2		h a n a								
83-2		ts u n o								
87-2		h a o n o e								
95-2		m i m i								
98-2		h a o n a								
99-2		k u tɕ i								
-102-2		s i t o o o o a								
103-2		ts u m a								
110-2		t a								
116-2		m u n o o a								
120-2		n a m o								
132-2		k i k u								
139-2		o k a r o s u o								
140-2		o o j a u								
156-2		t a tː a r o								
168-2		o ts u k i								
169-2		h a o s i								
14-3			k o r e							
18-3			d a r e							
35-3			h i t o ts u							
36-3			h u t a ts u							
48-3			n a ŋ a a							
60-3			t o r i							
63-3			s i r m u							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			o o o tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n o e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t o o o o a							
103-3			ts u m e							
110-3			t e							
116-3			m u n o o e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r o s u							
140-3			o j o u							
156-3			t a t e r o							
168-3			ts u k i							
169-3			h o s i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o ts u						
36-4				h u t a ts u						
48-4				n a ŋ a i						
60-4				t o a i						
63-4				s i r a m i						
64-4				k i						
67-4				h tː a						
68-4				n e						
71-4				tɕ i						
76-4				h o n e						
83-4				ts u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u tɕ i						
-102-4				s i t a						
103-4				ts u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m						
132-4				k i k						
139-4				k o r o s u						
140-4				o j o u						
156-4				t a t r u						
168-4				ts u k a						
169-4				h o s i						
14-5					k o r e					
18-5					d a r e					
35-5					h i t Ø ts u					
36-5					h u t a ts u					
48-5					n a ŋ a i					
60-5					t o a i					
63-5					s i r a m i					
64-5					k i					
67-5					h w a					
68-5					n a					
71-5					o o o tɕ i					
76-5					h o n a					
83-5					ts u n o					
87-5					h a n o e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t o o o o a					
103-5					ts u m a					
110-5					t a					
116-5					m u n o o a					
120-5					n o m					
132-5					k i k u					
139-5					o k o r Ø s u					
140-5					o Ø j o u					
156-5					t a t o u					
168-5					o ts u k i					
169-5					h o s i					
14-6						k o r e				
18-6						d a r Ø				
35-6						h i t Ø ts u				
36-6						h u t a ts u				
48-6						n a ŋ a i				
60-6						t o r a o i				
63-6						s i r a m i				
64-6						k i				
67-6						h o a				
68-6						n e				
71-6						tɕ i				
76-6						h o n e				
83-6						ts u n o				
87-6						h a n o e				
95-6						m i m i				
98-6						h a n a				
99-6						k u tɕ i				
-102-6						s i t o o o o a				
103-6						ts u m e				
110-6						t e				
116-6						m u n e				
120-6						n o m u				
132-6						k i k u				
139-6						k o r o s u				
140-6						o j o ŋ u				
156-6						t a Ø r o u				
168-6						o ts u k i				
169-6						h o s i				
14-7							k o r e			
18-7							d a r e			
35-7							h i t o ts u			
36-7							h u t a ts u			
48-7							n a ŋ a i			
60-7							t o r o i			
63-7							s i r a m i			
64-7							k i			
67-7							h a			
68-7							n a			
71-7							o o o tɕ i			
76-7							h o n e			
83-7							ts u n o			
87-7							h a n o e			
95-7							m i m i			
98-7							h a n a			
99-7							k u tɕ i			
-102-7							s i t o o o o a			
103-7							ts u m e			
110-7							t a			
116-7							m u n o o e			
120-7							n o m u			
132-7							k i k u			
139-7							o k o r o s u			
140-7							o o j o u			
156-7							t a ts r o u			
168-7							o ts u k i			
169-7							h o s i			
14-8								k o r e		
18-8								d a r e		
35-8								h i t o ts u		
36-8								h u t a ts u		
48-8								n a ŋ a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n a		
71-8								o o o tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n o o e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i t a		
103-8								ts u m e		
110-8								t a		
116-8								m u n o o e		
120-8								n o m u		
132-8								k i k u		
139-8								o k o r o s u o		
140-8								o o j o ŋ u		
156-8								t a k r u		
168-8								o ts u k i		
169-8								h o s i		
14-9									k o r e	
18-9									d a r e	
35-9									h i t o ts u	
36-9									h u t a ts u	
48-9									n a ŋ a i	
60-9									t o r a o i	
63-9									s i r a m i	
64-9									k i	
67-9									h o a	
68-9									n e o	
71-9									o o o tɕ i	
76-9									o n e	
83-9									ts u n o	
87-9									h a n o e	
95-9									m i m i	
98-9									h a n a	
99-9									k u tɕ i	
-102-9									s i t o o o o a	
103-9									ts u m e	
110-9									t e	
116-9									m u n o o e	
120-9									n o m u	
132-9									k i k u	
139-9									o k o r o s u	
140-9									o j o ŋ u	
156-9									t a t e r o u	
168-9									o ts u k i	
169-9									o s i	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a ts u
48-10										n a ŋ a i
60-10										t o r i
63-10										s i r a m i
64-10										k i
67-10										h a
68-10										n e
71-10										o o o tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i m i
98-10										h a n a
99-10										k u tɕ i
-102-10										s i t o o o o a
103-10										ts u m e
110-10										t e
116-10										m u n o o e
120-10										n o m u
132-10										k i k u
139-10										o k o r o s u
140-10										o j o ŋ u
156-10										t a t e r o u
168-10										o ts u k i
169-10										h o s i
