COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
240		d o k o	d o k o	d o k o	d o k o		d o k o	d o k o		d o k o
245		k o k o	k o k o	k o k o	k o k o		k o k o	k o k o		k o k o
-260	θ ɨ ɴ		t e i ɴ		t e ɴ	t i n	t e ɴ	t e ɴ dʑ i k u	t i ɴ	
294	h a ɴ g e	h a n e	h a i n e		h a n e		h a n e		h a n i	h a n e
307		m i	m iː	m i	m iː		m i	m i		m i
339		ɕ o	s i o	s i j o	s i o		s i o	s i o		s i o
341		k oː r i	k oː i	k oː r i	k oː r i		k oː r i	k oː r i		k oː r i
343		k oː r u	k oː	k oː r u	k oː r u		k oː r u	k oː r u		k oː r u
344		k o d o m o	k o i d o ɴ	k o d o m o	k o d o m o		k o d o m o	k o d o m o		k o d o m o
356		u s u kʲ a	ui s i	u s ui	u s ui		o s iː	u s ui		u s ui
359		m i dʑ i k a kʲ a	m i ɕ k e	m i z o i	m i dʑ i k a i		m e tɕ i k eː	m i dʑ i k a i		m i dʑ i k a i
384	m a sː ɨ g u	m a sː u g u d u a	m a sː u g u	m a sː u g u	m a sː u ŋ u n a			m a sː u g u		m a sː u ŋ u n a
398		k o s u r u	k o s u	k o s u r u	k o s u r u		k o s u r u	k o s u r u		k o s u r u
444	m u θ u r i				m o ts u	m u ts ɨ	m o ts u	m o ts u	m u ts u ɴ	m o ts u
20			n a iː	n a n i	n a n i		n a n i	n a n i		n a n i
53			o t o k o	o t o k o	o t o k o		o t o k o	o t o k o		o t o k o
111		h a r a	h a r a	h a r a	h a r a		ɸ a r a	h a r a		
153			s u w a iː tɕ o	s u w a r u	s u w a tː e r u		s u w a r u	s u w a r u		s u w a tː e r u
179		tɕ i tɕ i		t u t i	ts u tɕ i		tɕ i tɕ i	ts u tɕ i		ts u tɕ i
247			a s i k o	a k o	a k o		a s u k o	a k o		a s u k o
278		h e b u m e	h e	h e b i	h e b i			h e b i		h e b i
283			s e n a k a	s e n a k a	s e n a k a		s e n a	s e n a k a		s e n a k a
289		u d e		u d e		u d i	o d e	u d e		u d e
296		k u tɕ i b i r u		k u t i b i r o	k u tɕ i b i r u		k u tɕ i b e r o	k u tɕ i b e r a		k u tɕ i b i r u
318		k a k a	o k aː h a ɴ	o k aː s a ɴ	o k aː tɕ a ɴ		k a k a			o k aː s a ɴ
362	k i r i r a ɴ	k i r e ɴ n u a	k i r e ɴ		k i r e h e ɴ		k i r e ɴ			k i r e n a i
404	n a g ɨ r u r i		n a g u				n a ŋ e r u	n a g e r u	n a g i j u ɴ	n a ŋ e r u
84		o b a		o	oː		o	o		
91				a t a m a	a t a m a		a t a m a	a t a m a		a t a m a
128			k a ɴ ts u		k a m i ts u k u		k a m u	k a m i ts u k u		k a m i ts u k u
136	n ɨ b u r u r i		n e i m u tɕː o i			n i v			n i ɴ z u ɴ	n e m u r u
203			s a m i		s a b ui		s a b iː	s a m ui		s a m ui
211				eː	eː		eː	eː		iː
218		k u a tː e	k a e t a	k a w a i t a	k a w a i t a					k a w a i t a
238				d oː	d oː		d o ŋ e	d o g a i n i		d oː
269	ʔ i x i	i k e		i k e			e k e	i k e		
288			a ɕ	a s i	a s i		a s i			a s i
370		k i t a n a kʲ a	k i sː a n e		k i t a n a i		k i t a n eː			k i t a n a i
432			s u i u		s uː		s uː	s uː		s uː
448	ʔ u d u ɴ	u m u				mː		u ɴ d a	ʔ ɴ d oː r u	
1	w a ɴ	w a r e				b a n			w a ɴ	
11	w a x j a	w a r e ɴ i s a				b a n t iː			w a tː aː	
38					oː k iː	u k u		oː k iː		oː k iː
43			tɕ i ɴ k e		tɕ iː s a i			tɕ iː s a i		tɕ i tɕː a i
107		h i dʑ a k a b u r a			h i z a			h i z a		h i z a
126	k ui ts ɨ k ɨ r u r i	k ui ts u k u		k ui t u k u					k uː j u ɴ	
-136				n e r u	n e r u		n e r u	n e b u r u		
160	k u r ɨ r u r i		k ui r u			f iː ɭ			k w iː j u ɴ	
164				o h i s a m a	o h i s a ɴ		o ɸ i s a ɴ			o h i s a m a
201	h i g u r u s a r i			h i j a i		p i ʃ i			h w iː s a ɴ	
210	m iː s a r i		n i k e			m ɨː			m iː s a ɴ	
207		a t a r a s i kʲ a					a t a r a s i	a t a r a s iː		a t a r a s iː
256			s u nː e		s u k e n a i			s u k u n a i		s u k u n a i
297	ʔ w ɨː s ɨ b a		s u b a			s u b a			ʃ i b a	
323			o t o tsː a ɴ	o t oː s a ɴ	o t o tɕː a ɴ					o t oː s a ɴ
331	u θ u					b u t u		o tː o	u t u	
338				k a n a i	k a k a			k aː s a ɴ		k a n a i
382			ts u r u ɴ		ts u r u ts u r u		ts u r u ts u r u	ts u r a ts u r a		
387				eː	eː		eː			iː
440	ʔ u θ u r u ɕ a		o t o r o sː e s ui				o s o r e r u		ʔ u t u r u s a	
2				a s i	w a t e					w a t a s i
3			o iː				o r a	o r e		
10	ʔʲ a					vː a			ʔʲ aː	
12				a s i r aː	w a t e r a					w a t a s i t a tɕ i
13			o i d o ɴ				o r a r a	o r a tɕ i		
21	n uː					n a u			n uː	
39			h u t e	h u t o i			ɸ u t eː			
58		s a k a n a			s a k a n a					s a k a n a
73	s i s i					s ɨː s ɨ			s i s i	
85	z u b u					dz uː			z uː	
109	ts ɨ b u s i					ts ɨ g u s ɨ			tɕ i ɴ s i	
113	w a θ a					b a t a			w a t a	
122				t a b e r u	t a b e r u					t a b e r u
123			k uː				k uː	k uː		
155	i r u r i	i t e							i ts oː n	
159				j a r u			j a r u	j a r u		
167	θ e d a					t i d a			t iː d a	
178	m i tɕ a					m t a			ɴ ts a	
217	x o r a tɕ a ɴ					k aː r a ts ɨ			k aː r a ts oː r u	
222	ʔʲ a x j a					vː a d u			ʔ i tː aː	
235	x j a s i		i k e ɴ						ts aː	
244	x u m a					k o m a n			k u m a	
261		s o r a		s o r a						s o r a
270			m i z u i u ɴ		m i z uː m i					m i z uː m i
287	h a g i	h a g i				k a r a p a dz ɨ				
290			t e		t eː				t iː	
306	n a r i					n a ɭ			n a i	
330				ɕ u dʑ i ɴ	ɕ u dʑ i ɴ					ɕ u dʑ i ɴ
336	θ u dʑ i					t u dz ɨ			t u dʑ i	
340	m a ɕ u					m aː s o			m aː ɕ u	
345	w a r a b ɨ					j a r a b i			w a r a b i	
357	h i sː a r i					pˢ ɨ s ɨ			h w i sː a ɴ	
381		z u b e r u a		s u b e s u b e s i tʲ uː						s u b e kː o i
403		h oː r u		h oː r u	h o r u					
406		n a g u r u						n a g u r u		n a ŋ u r u
410	ʔ u θ u r i		u tː a k u						ʔ u ts u ɴ	
427							k a ŋ u	k a g u		k a ŋ u
429	x a z a m u r i		k a i z u ɴ						k a dʒ a ɕ u ɴ	
450			u r e i t a	u r e t a			o r e t a			
5					a ɴ t a					a n a t a
23	ʔ a r a ɴ					a r a ŋ				
34	ɕ o g o ɕ a ɴ					u k aː ʃ a				
32				j o k e	j oː k e					
45							k o m eː		g u m a s a ɴ	
54						b ɨ k i d u m			w i k i g a	
81	x o g a								k uː g a	
86			s iː b o							s i pː o
88	h i g i					pˢ ɨ g i				
90		ts u b u r i							ɕ i b u r u	
106						p ɨ s a			h w i ɕ a	
-107			h iː z a				ɸ u z a			
117				k i m o					tɕ i m u	
124	x a m u r i								k a n u ɴ	
151	n ɨ h u θ u r i								n i ɴ t oː ɴ	
158					a ŋ e r u					a ŋ e r u
184	u a ts ɨ					u m a ts ɨ				
191	ʔ oː s a r i								ʔ oː s a ɴ	
206						m t i			m iː	
215		j o kː j a	j o k a							
224					a ɴ t a r a					a ɴ t a t a tɕ i
248	ʔ a m a								ʔ a m a	
251	b i tɕ i n a								b i ɕ i n u	
258	ʔ i k i r a s a r i								ʔ i k i r a s a ɴ	
