COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	h i									
18-1	h i									
35-1	ʔ u θ u r i									
36-1	ʔ u θ u r i									
48-1	h a ɴ									
60-1	m u θ u									
63-1	h a ɴ									
64-1	k i									
67-1	h i									
68-1	ʔ i									
71-1	h a ɴ									
76-1	k i r i									
83-1	ʔ u θ u r i									
87-1	h a ɴ									
95-1	ʔ i									
98-1	h a ɴ									
99-1	k i r i									
-102-1	ʔ i									
103-1	k u r i									
110-1	ʔ i									
116-1	k i r i									
120-1	k u r i									
132-1	h i									
139-1	ʔ u θ u r i									
140-1	ʔ u θ u r i									
156-1	ʔ u θ u r i									
168-1	ʔ i									
169-1	ʔ i									
170-1	ʔ i									
173-1	k i									
180-1	ʔ i									
185-1	h a ɴ									
186-1	ʔ u θ u r i									
187-1	ʔ i									
190-1	h a ɴ									
193-1	k i r i									
194-1	k i r i									
195-1	k i r i									
216-1	k i r i									
221-1	h i									
239-1	ʔ i									
252-1	ʔ i									
253-1	k u r i									
254-1	k u r i									
266-1	h a ɴ									
267-1	h a ɴ									
268-1	θ u r i									
272-1	h a ɴ									
276-1	h a ɴ									
281-1	θ u r i									
304-1	ʔ u θ u r i									
305-1	k i r i									
308-1	h a ɴ									
309-1	k i r i									
310-1	ʔ i									
311-1	ʔ i									
342-1	ʔ i									
346-1	k i r i									
347-1	h i									
348-1	k i r i									
351-1	ʔ i									
361-1	ʔ u θ u r i									
379-1	k i r i									
394-1	h a ɴ									
395-1	h a ɴ									
400-1	h a ɴ									
412-1	h a ɴ									
413-1	k i r i									
414-1	θ u r i									
422-1	ʔ u θ u r i									
423-1	h a ɴ									
430-1	h a ɴ									
435-1	θ u r i									
446-1	ʔ i									
447-1	h a ɴ									
458-1	m u θ u									
56-1	ʔ i									
62-1	k i x i									
70-1	h i									
96-1	k i x i									
101-1	h i									
114-1	ʔ i									
119-1	h a ɴ									
134-1	k u r i									
138-1	ʔ u θ u r i									
146-1	ʔ u θ u r i									
161-1	ʔ i									
182-1	ʔ u θ u r i									
188-1	h a ɴ									
196-1	θ u r i									
262-1	k i r i									
300-1	k i r i									
313-1	k i									
350-1	ʔ u θ u r i									
