COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	θ a									
35-1	h i j a s i									
36-1	h ɨ r u r a ts ɨ									
48-1	n a g a s a r i									
60-1	θ ɨ u θ u r i									
63-1	s i r a r i									
64-1	k									
67-1	h a									
68-1	ɴ g e									
71-1	a x a θ u r i									
76-1	h i g u n i									
83-1	n u θ u r i									
87-1	h a ɴ g e									
95-1	m a r i m a r i									
98-1	h a ɴ g e a									
99-1	x u ts ɨ b									
-102-1	ʔ w ɨː s ɨ b a									
103-1	m u θ u h a ɴ									
110-1	θ e									
116-1	r a ɴ g e									
120-1	n a m u r i									
132-1	k i k ɨ r u r i									
139-1	x u r u ɕ u r i									
140-1	ʔ u r u b u u r i									
156-1	θ ɨ a tɕː u θ u r u r i									
168-1	ts ɨ k i									
169-1	h i g u s i									
170-1	m i dʑ i									
173-1	ʔ i s i									
180-1	x u m u									
185-1	h i g u									
186-1	m u θ ɨ r u r i									
187-1	m θ u r i									
190-1	ʔ a x a s a r i									
193-1	θ u r o s a r u									
194-1	s ɨ r u s a r i									
195-1	x u r u s a r i									
216-1	m a r u s a r i									
221-1	n a									
239-1	ʔ i tɕ i									
252-1	m iː tɕ i									
253-1	r uː tɕ i									
254-1	x u r i u r i									
266-1	x a z i									
267-1	n a g a r i ɨ k ɨ r u r i									
268-1	ʔ u m i									
272-1	a m x i									
276-1	ʔ a r a ɨ r u r i									
281-1	m u s i									
304-1	ts ɨ θ u r i									
305-1	θ u iː s a r i									
308-1	h a ɴ g e a									
309-1	x u s a									
310-1	θ u									
311-1	n a x a r i									
342-1	w u θ u r i									
346-1	x u r a s a r i									
347-1	k i r u r i									
348-1	h i r u s a r i									
351-1	θ uː s a r i									
361-1	ʔ u b u s a r i									
379-1	k ɨ r u r i s a u a									
394-1	h i d a r i									
395-1	n θ u r i									
400-1	h i r u r i									
412-1	s a x ɨ r u r i									
413-1	m i ts ɨ b x u dʑ i r u r i									
414-1	h i g u r u r i									
422-1	e a m u r u r i									
423-1	ʔ i a d u ɴ a g ɨ r u r i									
430-1	h a k ɨ r u r i									
435-1	h i g u θ u r i									
446-1	s i tɕ a r i k a r i									
447-1	w x i									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔ i r i									
70-1	r u r a ɴ g e									
96-1	m i									
101-1	g e									
114-1	x u b ɨ									
119-1	m u θ u r i									
134-1	s iː s a									
138-1	s i n u r i									
146-1	a r u r u r i									
161-1	ʔ u θ u									
182-1	x ɨ b u s i									
188-1	w a m a									
196-1	ɨ r u r u									
262-1	h i r u									
300-1	h i g u ɕ u									
313-1	ʔ i									
350-1	ɨː s ɨ b a s a r i									
352-1	ts ɨ b tɕ a s a r i									
396-1	h i g u r u s a r i									
401-1	ʔ u m u r i									
420-1	ʔ u θ ɨ r u r i									
424-1	ʔ u θ a ɨ r u r i									
442-1	s i m ɨ r u r i									
455-1	i k i r u r i									
15-1	ʔ a r i									
49-1	n a u d u ɴ									
130-1	m x ɨ r u r									
149-1	i u r i r u r i									
175-1	ʔ w ɨː s i n a									
199-1	ʔ a m i s a r i									
230-1	a a									
233-1	ʔ a x j a									
264-1	k i r i r r									
274-1	g u θ u r i r a θ ɨ a									
298-1	k x i g u a									
303-1	h a ɨ r u r a									
354-1	ʔ a m i s a r i									
369-1	k i r i r u r									
376-1	w a sː a r i									
415-1	m u s u b u r i									
418-1	oː n									
456-1	tɕ i n a									
59-1	ʔ u θ u									
118-1	ʔ x z a m oː r u r u r i									
142-1	θ u b u r i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t a tɕ u								
48-2		n a g u a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		tɕ u m e								
110-2		ɴ i s a								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		i uː								
