COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	s o ŋ o							
37-1	g o ŋ							
46-1	g o ŋ							
98-1	g a ɾ a							
125-1	s o ŋ o							
162-1	s o ŋ							
171-1	s o ŋ o							
219-1	g a ŋ p u							
247-1	ŋ a m							
282-1	s o ŋ							
292-1	s o ŋ o							
301-1	g o ŋ							
354-1	g o ŋ							
363-1	ŋ a m							
397-1	g a ɾ a							
406-1	b o ŋ							
426-1	g a ɾ a							
473-1	s o ŋ o							
499-1	n a ŋ							
526-1	g a ɾ a							
544-1	s o ŋ							
553-1	s o ŋ o							
599-1	s o ŋ o							
608-1	s o ŋ o							
617-1	s o ŋ							
645-1	g o ŋ							
663-1	s o ŋ o							
672-1	s o ŋ o							
681-1	s o ŋ							
690-1	s o ŋ o							
708-1	s o ŋ							
717-1	s o ŋ							
726-1	s o ŋ							
744-1	n a ŋ							
782-1	s o							
791-1	s a ŋ							
800-1	s a ŋ							
809-1	s o ŋ o							
836-1	s o ŋ							
881-1	s a							
890-1	s a ɾ a							
899-1	s o ŋ							
926-1	ŋ a m							
944-1	s o ŋ a							
953-1	s o ŋ							
980-1	s o ŋ							
998-1	s o ŋ o							
1022-1	s o ŋ							
1031-1	s o ŋ o							
1069-1	s o ŋ o							
1079-1	s o ŋ o							
1098-1	s o ŋ							
1117-1	s o ŋ							
1141-1	s o ŋ							
1189-1	ŋ a m							
1198-1	s o ŋ							
1208-1	s a ɾ a							
1217-1	g o ŋ							
1253-1	n a ŋ							
1271-1	s o ŋ							
1289-1	s o ŋ o							
1316-1	s a ŋ							
1325-1	g a ɾ a							
1334-1	b i l o							
1343-1	s o ŋ							
1361-1	s o ŋ							
1370-1	b o ŋ							
1388-1	ŋ a m							
1397-1	s o ŋ							
1406-1	s o ŋ							
1424-1	s o ŋ o							
1433-1	s o ŋ							
1442-1	s a							
1451-1	s o ŋ a							
1468-1	g a ɾ a							
1477-1	ŋ a m							
1502-1	ŋ a m							
1511-1	s o ŋ							
1529-1	ŋ a m							
1538-1	s o ŋ							
1557-1	s o ŋ							
1618-1	g o ŋ							
1663-1	s o ŋ							
1689-1	s o ŋ							
1698-1	s o ŋ							
1707-1	s o ŋ							
1716-1	ŋ a m							
1742-1	s o ŋ							
1751-1	s o ŋ							
1778-1	g o ŋ							
1787-1	s o ŋ							
