COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	s a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ dʒ i l a							
125-1	b i j a ŋ ɾ a							
162-1	l e s i							
171-1	o m ʃ a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m u							
397-1	g a m t i							
406-1	kʰ a m u ŋ							
426-1	m ŭ k p a							
473-1	pʰ i n a ŋ							
499-1	ɾ a m ĭ n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o tʰ a m							
608-1	b a t u							
617-1	j e n							
645-1	a n a							
663-1	s o n i ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	s a ŋ ɾ i ŋ m u							
717-1	s o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m u m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a b a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a ɾ a ŋ							
980-1	w a r o ŋ							
998-1	pʰ a j i							
1022-1	dʒ a tʰ u r							
1031-1	b i n a ŋ							
1069-1	tʃ o l o k a ŋ z o k a							
1079-1	ʃ a w a							
1098-1	j a ŋ p u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ m u							
1189-1	m a							
1198-1	n u							
1208-1	z o k a l a							
1217-1	l e j a n i ŋ tʰ u r							
1253-1	a m a							
1271-1	n o a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a g u ŋ							
1388-1	m a b a							
1397-1	tʰ u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a r							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a d̪ a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u d i ɾ e ŋ m a							
1529-1	tʃ a l u							
1538-1	s o l u l a							
1557-1	tʃ o i d̪ u ŋ							
1618-1	i n l a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m							
1742-1	m u g i							
1751-1	b u ʃ i l a							
1778-1	z o k a							
1787-1	p u r p u							
1823-1	l e m							
1832-1	k a ɾ a m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m pʰ i							
1897-1	s e							
1932-1	ɾ i n a ŋ							
1950-1	z u							
1968-1	t o ŋ t a							
1978-1	k u t p a ŋ							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ ʃ o							
2238-1	ŋ a r k a							
2507-1	t e n o ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a i ŋ tʰ u r							
2578-1	n i tʃ i ŋ							
2596-1	d u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i d̪ i							
2728-1	k o tʃ u ŋ							
2747-1	ɲ i ŋ							
2756-1	s e r b u							
2774-1	b o ɲ i ŋ							
19-1	n a i b a							
28-1	n a i b a							
89-1	g a ŋ p u							
107-1	d̪ i m i l o							
190-1	p u tʃ i							
229-1	kʰ a							
257-1	tʰ a ŋ a							
338-1	b r u ŋ							
436-1	ɾ u l u l a							
483-1	l a							
535-1	s o s o							
571-1	g e l a d̪ i							
699-1	d̪ o ŋ p o k a							
845-1	ɾ o k							
971-1	tʃ i t p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ a							
1226-1	l e j a n i ŋ							
1235-1	n a m n i ŋ							
1280-1	ɕ i ŋ tʃ a							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b i n tʃ a							
